control,mode,k,mean_test_r2,std_test_r2,mean_test_cos,mean_eff_rank,tau,in_expected_zone,silhouette
random_ids_random_vals,center_spread,500,-0.0692348965892085,0.0018449181019678,0.9943040388601796,63.73167918073533,22.0,True,0.0039535593241453
random_ids_random_vals,center_spread,1000,-0.0495540874975699,0.0015363566894024,0.9971906012958952,63.73715428168892,13.0,False,0.0048590563237667
random_ids_random_vals,center_spread,2000,-0.0366128462332266,0.001717556896926,0.9986078981999996,63.707015089355245,13.0,False,0.0068001169711351
random_ids_random_vals,center_spread,5000,-0.030039178000556,0.0009354238850929,0.9994466415158024,63.640984475232734,12.0,False,0.0048388284631073
random_ids_random_vals,entropy,500,-0.0442811824657298,0.0708874401650203,1.0,1.0,22.0,True,0.548595130443573
random_ids_random_vals,entropy,1000,-0.0347366178477252,0.0547673278647724,1.0,1.0,,False,0.6791562438011169
random_ids_random_vals,entropy,2000,-0.0313048119898195,0.0621916089023073,1.0,1.0,15.0,False,0.5444230437278748
random_ids_random_vals,entropy,5000,-0.014608206572356,0.0223835781432222,1.0,1.0,22.0,True,0.599735677242279
real,center,500,0.5972272356351217,0.0774694955174122,0.9763851121619896,62.47026620018247,19.0,False,0.0576982572674751
real,center,1000,0.6509938482885007,0.0659187712506105,0.9850696038316796,62.46060976202278,19.0,False,0.0711925402283668
real,center,2000,0.6927312458003009,0.0590052986950308,0.990274221808822,62.34725544218674,19.0,False,0.0833227708935737
real,center,5000,0.7252606484625075,0.0547974863762666,0.994172469333366,62.01856608097062,19.0,False,0.0940596759319305
real,center_spread,500,0.6016344891654121,0.0773568461221619,0.9842891759342618,62.389846144694125,20.0,True,0.0543629638850688
real,center_spread,1000,0.6555156619460495,0.0661551032342301,0.9900232111966168,62.35348710391386,19.0,False,0.070010632276535
real,center_spread,2000,0.6970807622980189,0.0596172535028223,0.9934601099402816,62.21708830554736,20.0,True,0.0858426168560981
real,center_spread,5000,0.729533643634231,0.055521084381765,0.9960550687931202,61.86919440591079,19.0,False,0.0951564982533454
real,center_spread_entropy,500,0.5991797579659356,0.0738706446356222,0.9902425231756988,62.38122445862586,19.0,False,0.0470599457621574
real,center_spread_entropy,1000,0.6523640420701768,0.0621778311245913,0.9937533714153148,62.33512462475576,19.0,False,0.0647933259606361
real,center_spread_entropy,2000,0.6931997670067681,0.0550733475247939,0.9958742547918248,62.189837406558766,20.0,True,0.0769839584827423
real,center_spread_entropy,5000,0.7245296504762437,0.0505749584524278,0.9974774674133018,61.83309651419649,19.0,False,0.0921033024787902
real,entropy,500,-0.1061883988203825,1.235107214114871,1.0,1.0,21.0,True,0.8632832169532776
real,entropy,1000,-0.1351666031060395,1.3953981602645995,1.0,1.0,21.0,True,0.8974192142486572
real,entropy,2000,-0.1367580051775332,1.4140617693965447,1.0,1.0,21.0,True,0.8604960441589355
real,entropy,5000,-0.1112200021743774,1.2920524638816109,0.998488284923412,1.0,21.0,True,0.8444704413414001
real,spread,500,0.5394040677282546,0.2672859873711502,1.0,1.0,17.0,False,0.5435194969177246
real,spread,1000,0.5466024412049187,0.2666093117674109,1.0,1.0,17.0,False,0.5647051930427551
real,spread,2000,0.549602190653483,0.2664575766965773,1.0,1.0,17.0,False,0.5550650954246521
real,spread,5000,0.5547171676600421,0.2628506084535864,1.0,1.0,22.0,True,0.5448212623596191
