model_key,k,window,start,end,length,start_frac,end_frac,layers,preserve_distance_mean,structure_change_distance_mean,invariance_score_1_minus_preserve,structure_separation_auc,structure_lift_over_preserve,mechanism_acc_group,mechanism_macro_f1_group,downstream_deltaU_r2_group,downstream_deltaU_corr_group,topology_score,mechanism_score,downstream_score,overall_score
qwen,100,L10_11,10,11,2,0.37037037037037035,0.4074074074074074,"[10, 11]",0.12464721083830542,0.04042816957234357,0.8753527891616946,0.4446244855967078,-0.6756591980114205,0.6363636363636364,0.6397744679318446,0.43986242281239296,0.6668764240439989,0.8753527891616946,0.6397744679318446,0.6668764240439989,1.482997108161522
qwen,500,L10_11,10,11,2,0.37037037037037035,0.4074074074074074,"[10, 11]",0.1713946835832521,0.059023618697659326,0.828605316416748,0.41090534979423865,-0.6556274440959307,0.6363636363636364,0.6430595900537135,0.41306947806447125,0.6454534160103619,0.828605316416748,0.6430595900537135,0.6454534160103619,1.4451130630596343
qwen,100,L11_12,11,12,2,0.4074074074074074,0.4444444444444444,"[11, 12]",0.13082719965035275,0.03437746773404909,0.8691728003496473,0.4476337448559671,-0.7372299093902107,0.6616161616161617,0.6647594845536001,0.38628897065586054,0.6222551255527139,0.8691728003496473,0.6647594845536001,0.6222551255527139,1.464198088259875
qwen,500,L11_12,11,12,2,0.4074074074074074,0.4444444444444444,"[11, 12]",0.2071899398527156,0.05658847284702446,0.7928100601472844,0.41538065843621397,-0.7268763138016525,0.6136363636363636,0.619250079690086,0.3789481959988026,0.6182447350259399,0.7928100601472844,0.619250079690086,0.6182447350259399,1.386400881846463
qwen,100,L0_2,0,2,3,0.0,0.07407407407407407,"[0, 1, 2]",0.29798828937017047,0.05380103464359785,0.7020117106298296,0.40300925925925923,-0.8194524927411176,0.5833333333333334,0.5831490490933215,0.3705380420436287,0.6095195062054151,0.7020117106298296,0.5831490490933215,0.6095195062054151,1.305140699553904
qwen,500,L0_2,0,2,3,0.0,0.07407407407407407,"[0, 1, 2]",0.34567837896126175,0.055457208185153206,0.6543216210387383,0.39336419753086416,-0.8395699009365379,0.6464646464646465,0.6475671549412937,0.4125993716194204,0.6445481122882871,0.6543216210387383,0.6475671549412937,0.6445481122882871,1.360853024303034
qwen,100,L1_3,1,3,3,0.037037037037037035,0.1111111111111111,"[1, 2, 3]",0.27636609447168675,0.06861796999086561,0.7236339055283132,0.3862397119341564,-0.7517134739730884,0.5883838383838383,0.5904939641036375,0.3807855878082471,0.6179709391796061,0.7236339055283132,0.5904939641036375,0.6179709391796061,1.3285888753907515
qwen,500,L1_3,1,3,3,0.037037037037037035,0.1111111111111111,"[1, 2, 3]",0.3194121968082086,0.07034148793240529,0.6805878031917914,0.3745884773662551,-0.779778303918604,0.6111111111111112,0.6129549050449373,0.3996154092241063,0.6339581687018055,0.6805878031917914,0.6129549050449373,0.6339581687018055,1.33782436059329
qwen,100,L2_4,2,4,3,0.07407407407407407,0.14814814814814814,"[2, 3, 4]",0.2468978590210927,0.085382445259735,0.7531021409789073,0.3993055555555556,-0.6541790514504574,0.5656565656565656,0.5687949616521045,0.384502954224189,0.6210589339941631,0.7531021409789073,0.5687949616521045,0.6210589339941631,1.3284341870064678
qwen,500,L2_4,2,4,3,0.07407407407407407,0.14814814814814814,"[2, 3, 4]",0.2891011316932695,0.08232006348211633,0.7108988683067305,0.39627057613168726,-0.7152551076070939,0.547979797979798,0.5498815031770063,0.37668784721914883,0.6144655171715196,0.7108988683067305,0.5498815031770063,0.6144655171715196,1.2869270504321861
qwen,100,L3_5,3,5,3,0.1111111111111111,0.18518518518518517,"[3, 4, 5]",0.20149931668539345,0.08178421867977964,0.7985006833146066,0.4228137860082305,-0.5941215783441716,0.6717171717171717,0.6718783445381563,0.4629722782558935,0.6847915905549786,0.7985006833146066,0.6718783445381563,0.6847915905549786,1.4845862897318114
qwen,500,L3_5,3,5,3,0.1111111111111111,0.18518518518518517,"[3, 4, 5]",0.2637284140715113,0.07623012718462162,0.7362715859284887,0.4227366255144033,-0.7109521377796144,0.6590909090909091,0.6547874060805096,0.48868340610121486,0.7001101663041592,0.7362715859284887,0.6547874060805096,0.7001101663041592,1.4520538508719794
qwen,100,L4_6,4,6,3,0.14814814814814814,0.2222222222222222,"[4, 5, 6]",0.19851935370853221,0.0778070291803837,0.8014806462914678,0.4356224279835391,-0.6080632250331981,0.7272727272727273,0.7308930863112925,0.4844517121886106,0.7063068997626041,0.8014806462914678,0.7308930863112925,0.7063068997626041,1.5505003120048513
qwen,500,L4_6,4,6,3,0.14814814814814814,0.2222222222222222,"[4, 5, 6]",0.2646526605567718,0.07196240566381085,0.7353473394432282,0.42947530864197536,-0.7280873247474982,0.7323232323232324,0.7364378622489015,0.5625499588799965,0.7544685641426793,0.7353473394432282,0.7364378622489015,0.7544685641426793,1.5603988108348787
