seed,layer,transition,baseline,test_r2,test_cos
1,17,L17->L18,mean_predictor,-0.0168961286544799,0.9856902360916138
1,17,L17->L18,shuffled_pair_ridge,-0.3976658582687378,0.9802582263946532
1,18,L18->L19,ridge,0.7468628883361816,0.9962767958641052
1,18,L18->L19,identity_carryover,0.559406042098999,0.9935447573661804
1,18,L18->L19,mean_predictor,-0.018574833869934,0.9849688410758972
1,18,L18->L19,shuffled_pair_ridge,-0.1963462829589843,0.9823027849197388
1,19,L19->L20,ridge,0.7455794811248779,0.9963956475257874
1,19,L19->L20,identity_carryover,0.5413121581077576,0.9935277700424194
1,19,L19->L20,mean_predictor,-0.0175015926361084,0.9855306148529052
1,19,L19->L20,shuffled_pair_ridge,-0.380136489868164,0.980311930179596
1,20,L20->L21,ridge,0.7741179466247559,0.9967800974845886
1,20,L20->L21,identity_carryover,0.5502133369445801,0.9936420917510986
1,20,L20->L21,mean_predictor,-0.0163264274597167,0.9855038523674012
1,20,L20->L21,shuffled_pair_ridge,-0.2463167905807495,0.982202410697937
1,21,L21->L22,ridge,0.8116092681884766,0.9970523118972778
1,21,L21->L22,identity_carryover,0.6067118644714355,0.9939952492713928
1,21,L21->L22,mean_predictor,-0.0165377855300903,0.9842079281806946
1,21,L21->L22,shuffled_pair_ridge,-0.2020792961120605,0.9812158942222596
1,22,L22->L23,ridge,0.8323425054550171,0.99728924036026
1,22,L22->L23,identity_carryover,0.7108942866325378,0.995355486869812
1,22,L22->L23,mean_predictor,-0.014958381652832,0.983725905418396
1,22,L22->L23,shuffled_pair_ridge,-0.4000557661056518,0.9775360226631165
1,23,L23->L24,ridge,0.8321837186813354,0.9972176551818848
1,23,L23->L24,identity_carryover,0.7717353701591492,0.9962229132652284
1,23,L23->L24,mean_predictor,-0.018212080001831,0.9832750558853148
1,23,L23->L24,shuffled_pair_ridge,-0.2883847951889038,0.9787935614585876
1,24,L24->L25,ridge,0.8273820281028748,0.9970214366912842
1,24,L24->L25,identity_carryover,0.7496947050094604,0.9957005381584167
1,24,L24->L25,mean_predictor,-0.0184272527694702,0.9825591444969176
1,24,L24->L25,shuffled_pair_ridge,-0.4366660118103027,0.9753654599189758
1,25,L25->L26,ridge,0.8332660794258118,0.997137188911438
1,25,L25->L26,identity_carryover,0.8002535700798035,0.996601104736328
1,25,L25->L26,mean_predictor,-0.0164521932601928,0.9827011227607728
1,25,L25->L26,shuffled_pair_ridge,-0.3443232774734497,0.9770625233650208
1,26,L26->L27,ridge,0.7660099267959595,0.9965044260025024
1,26,L26->L27,identity_carryover,0.4053539633750915,0.9914502501487732
1,26,L26->L27,mean_predictor,-0.0204252004623413,0.9846134781837464
1,26,L26->L27,shuffled_pair_ridge,-0.3110151290893554,0.9802215695381165
2,0,L0->L1,ridge,0.6955711841583252,0.9955995678901672
2,0,L0->L1,identity_carryover,-0.0180143117904663,0.9855940937995912
2,0,L0->L1,mean_predictor,-0.0253069400787353,0.9852533340454102
2,0,L0->L1,shuffled_pair_ridge,-0.4555728435516357,0.9790390133857728
2,1,L1->L2,ridge,0.6614168882369995,0.9953842759132384
2,1,L1->L2,identity_carryover,0.0688608884811401,0.9875091910362244
2,1,L1->L2,mean_predictor,-0.0214790105819702,0.9861164689064026
2,1,L1->L2,shuffled_pair_ridge,-0.3032553195953369,0.98228257894516
2,2,L2->L3,ridge,0.7118932008743286,0.9957031607627868
2,2,L2->L3,identity_carryover,0.2033188343048095,0.9881764650344848
