seed,layer,r2,cos,gain_vs_identity,mean_delta_norm_pred,mean_delta_norm_true,mean_spread_delta_pred,mean_spread_delta_true,std_spread_delta_true
2,11,0.7252445220947266,0.9960635304450989,0.12792301177978516,0.13897255063056946,0.12713642418384552,0.008028795942664146,0.006954851094633341,0.0251463633030653
2,12,0.6615323424339294,0.9950263500213623,0.09500747919082642,0.14124345779418945,0.1346970796585083,-0.0029546229634433985,-0.0017606823239475489,0.022314749658107758
2,13,0.7151509523391724,0.9957168698310852,0.08232700824737549,0.14105099439620972,0.1253645122051239,0.0033171263057738543,0.0015205704839900136,0.018427401781082153
2,14,0.7159336805343628,0.9958498477935791,0.0442691445350647,0.1325577348470688,0.11640419065952301,-0.0012671668082475662,-0.003798207500949502,0.021161096170544624
2,15,0.7282549142837524,0.9961667656898499,0.056839823722839355,0.13355106115341187,0.11527469009160995,-0.0009003269369713962,-0.00034538458567112684,0.01737695187330246
2,16,0.7325882911682129,0.9962298274040222,0.09079718589782715,0.1369786262512207,0.120148204267025,-0.00018105337221641093,0.0015642910730093718,0.02047605998814106
2,17,0.7388099431991577,0.9963575005531311,0.09625470638275146,0.1341974139213562,0.11987857520580292,-0.0013831902761012316,-0.0004634017823264003,0.017205776646733284
2,18,0.7488791942596436,0.9963778257369995,0.17541873455047607,0.14381973445415497,0.13342733681201935,0.004465739242732525,0.00414758687838912,0.017961647361516953
2,19,0.7564074993133545,0.996587336063385,0.2099076509475708,0.1458411067724228,0.13497380912303925,-0.003004889003932476,-0.004399275407195091,0.01747537963092327
2,20,0.7781662940979004,0.9968854784965515,0.24799013137817383,0.14436332881450653,0.1374388039112091,-0.0024434728547930717,-0.002454481553286314,0.01928444765508175
2,21,0.8135258555412292,0.9972379207611084,0.19867616891860962,0.13665172457695007,0.1254030019044876,-0.002697619842365384,-0.0035400341730564833,0.028068123385310173
2,22,0.8289498090744019,0.9974281787872314,0.131605863571167,0.1278333216905594,0.11459134519100189,0.002780742710456252,0.0024826331064105034,0.013999653980135918
2,23,0.8298836946487427,0.9973453879356384,0.07849788665771484,0.11888837814331055,0.10574784874916077,0.00048099609557539225,0.0016352217644453049,0.011384988203644753
2,24,0.8283733129501343,0.9972323775291443,0.10991120338439941,0.12412748485803604,0.1132267564535141,0.002227409742772579,0.002792510436847806,0.0202986728399992
2,25,0.8277798295021057,0.9972419142723083,0.04174596071243286,0.1163218542933464,0.0991649329662323,-0.001903095981106162,-0.0013399355811998248,0.012720201164484024
2,26,0.7767300009727478,0.9966248273849487,0.271700918674469,0.14749543368816376,0.1394263505935669,0.004003753419965506,0.0035742544569075108,0.040567997843027115
3,0,0.6385903358459473,0.9945682883262634,0.6511470079421997,0.18919037282466888,0.20422586798667908,-0.0036466317251324654,-0.000749806989915669,0.051533713936805725
3,1,0.5629410743713379,0.994103729724884,0.5862430334091187,0.18018591403961182,0.19538776576519012,-0.004995701368898153,-0.004505685530602932,0.043078478425741196
3,2,0.6386165022850037,0.9945404529571533,0.43425166606903076,0.1711331605911255,0.18582022190093994,0.004445718135684729,0.00966839399188757,0.03247267007827759
3,3,0.7041032314300537,0.9957262277603149,0.40277743339538574,0.17076507210731506,0.17028453946113586,-0.0010247838217765093,-0.003245246596634388,0.02527104876935482
3,4,0.6136435270309448,0.9943954348564148,0.37319761514663696,0.1681780368089676,0.17880761623382568,0.0006483999895863235,-0.0006978621240705252,0.02154352143406868
3,5,0.6692368984222412,0.9954624772071838,0.45618003606796265,0.1744142472743988,0.1753537952899933,-0.005960109177976847,-0.001901331008411944,0.029198389500379562
3,6,0.6398249268531799,0.9948598742485046,0.3572298288345337,0.16722333431243896,0.17132176458835602,0.0034436851274222136,0.0025120743084698915,0.02836894616484642
3,7,0.6154654026031494,0.9948160648345947,0.32858508825302124,0.1614004373550415,0.1646416336297989,-0.00469568045809865,-0.005495981313288212,0.029797472059726715
3,8,0.6297986507415771,0.9948878884315491,0.15919607877731323,0.14952407777309418,0.14378033578395844,0.0014775736490264535,-0.0018961125751957297,0.02512151002883911
3,9,0.5488701462745667,0.9937306642532349,0.22531676292419434,0.15679746866226196,0.16268381476402283,0.0021617948077619076,0.0026812346186488867,0.028158603236079216
3,10,0.6338479518890381,0.9947786927223206,0.10322403907775879,0.14934931695461273,0.137490913271904,-0.0019476194866001606,0.001478782738558948,0.026663506403565407
3,11,0.6633779406547546,0.9951698780059814,0.0770995020866394,0.146795392036438,0.12898805737495422,0.0030670033302158117,0.0025677657686173916,0.025478336960077286
