model_key,k,window,start,end,length,start_frac,end_frac,layers,preserve_distance_mean,structure_change_distance_mean,invariance_score_1_minus_preserve,structure_separation_auc,structure_lift_over_preserve,mechanism_acc_group,mechanism_macro_f1_group,downstream_deltaU_r2_group,downstream_deltaU_corr_group,topology_score,mechanism_score,downstream_score,overall_score
llama,100,L5_6,5,6,2,0.3333333333333333,0.4,"[5, 6]",0.2803662667095672,0.19946937144023197,0.7196337332904328,0.4579989711934156,-0.288540034909893,0.6843434343434344,0.6899665520529497,0.062488264943212246,0.25059978355728324,0.7196337332904328,0.6899665520529497,0.25059978355728324,1.1122699351334027
llama,500,L5_6,5,6,2,0.3333333333333333,0.4,"[5, 6]",0.2655077655152122,0.18532574638026542,0.7344922344847877,0.45550411522633744,-0.3019949942307915,0.6363636363636364,0.6445995436643462,0.07241459432270025,0.26924805209399116,0.7344922344847877,0.6445995436643462,0.26924805209399116,1.0983241938490638
llama,100,L0_2,0,2,3,0.0,0.13333333333333333,"[0, 1, 2]",0.14654747834695406,0.06939274506361598,0.853452521653046,0.4714506172839506,-0.5264828087716709,0.7247474747474747,0.7249582764726297,0.10003331482599775,0.31712959169012206,0.853452521653046,0.7249582764726297,0.31712959169012206,1.2603965553567245
llama,500,L0_2,0,2,3,0.0,0.13333333333333333,"[0, 1, 2]",0.16984194264776498,0.07763887861636218,0.830158057352235,0.4717592592592592,-0.5428756711401136,0.7095959595959596,0.7085415513775021,0.1448463991694544,0.3816732362761628,0.830158057352235,0.7085415513775021,0.3816732362761628,1.2872508587990494
llama,100,L1_3,1,3,3,0.06666666666666667,0.2,"[1, 2, 3]",0.20715528208872264,0.11882888437234573,0.7928447179112774,0.4816872427983539,-0.42637770353724563,0.7070707070707071,0.7124011889309028,0.061350170160397455,0.24771596420934983,0.7928447179112774,0.7124011889309028,0.24771596420934983,1.1645160814678408
llama,500,L1_3,1,3,3,0.06666666666666667,0.2,"[1, 2, 3]",0.21048779074048932,0.11628067857987519,0.7895122092595107,0.469212962962963,-0.4475656633267892,0.6742424242424242,0.6753730022942953,0.06935193934813078,0.26371390499288655,0.7895122092595107,0.6753730022942953,0.26371390499288655,1.146025630459501
llama,100,L2_4,2,4,3,0.13333333333333333,0.26666666666666666,"[2, 3, 4]",0.2497886820543155,0.1685310292538319,0.7502113179456845,0.472119341563786,-0.3253055698086384,0.75,0.7567779750488995,0.042335944806045855,0.20600060405063417,0.7502113179456845,0.7567779750488995,0.20600060405063417,1.1453285222524694
llama,500,L2_4,2,4,3,0.13333333333333333,0.26666666666666666,"[2, 3, 4]",0.23565462246843624,0.1507046846143377,0.7643453775315637,0.4683127572016461,-0.3604849052372302,0.7222222222222222,0.7299785305325471,0.05790822643179605,0.24077000113685232,0.7643453775315637,0.7299785305325471,0.24077000113685232,1.1587715141013015
llama,100,L3_5,3,5,3,0.2,0.3333333333333333,"[3, 4, 5]",0.2629235483446993,0.1844912168419174,0.7370764516553008,0.47536008230452675,-0.29830849695087097,0.696969696969697,0.7024404582914224,0.0499908557146127,0.22399083964753908,0.7370764516553008,0.7024404582914224,0.22399083964753908,1.1096832641788197
llama,500,L3_5,3,5,3,0.2,0.3333333333333333,"[3, 4, 5]",0.24871935449908358,0.1687012555429254,0.7512806455009164,0.464917695473251,-0.3217204222007934,0.7348484848484849,0.7380565112904623,0.05752528213403263,0.23999239403545283,0.7512806455009164,0.7380565112904623,0.23999239403545283,1.1580794470111904
llama,100,L4_6,4,6,3,0.26666666666666666,0.4,"[4, 5, 6]",0.27649383680086387,0.19635911820418475,0.7235061631991362,0.45087448559670784,-0.2898246001633218,0.6161616161616161,0.6229829714157318,0.06621990524245003,0.26059366934532285,0.7235061631991362,0.6229829714157318,0.26059366934532285,1.0686143942084119
llama,500,L4_6,4,6,3,0.26666666666666666,0.4,"[4, 5, 6]",0.25936185496652947,0.1793087856063971,0.7406381450334705,0.45442386831275716,-0.3086539702760974,0.7045454545454546,0.7087757452869955,0.08419762973122547,0.29135671390865,0.7406381450334705,0.7087757452869955,0.29135671390865,1.1704250398732516
llama,100,L0_3,0,3,4,0.0,0.2,"[0, 1, 2, 3]",0.17003118907910597,0.09416500770718769,0.829968810920894,0.47986111111111107,-0.446189768600185,0.7070707070707071,0.7115559451912462,0.06997718484219251,0.2645395985630736,0.829968810920894,0.7115559451912462,0.2645395985630736,1.1958608404639028
llama,500,L0_3,0,3,4,0.0,0.2,"[0, 1, 2, 3]",0.18610873335419875,0.09782280191523764,0.8138912666458012,0.46954732510288066,-0.474378204096177,0.6994949494949495,0.7025818025818026,0.11018619834907006,0.33309885611780415,0.8138912666458012,0.7025818025818026,0.33309885611780415,1.235490160282586
llama,100,L1_4,1,4,4,0.06666666666666667,0.26666666666666666,"[1, 2, 3, 4]",0.22278141368519438,0.13685107580331604,0.7772185863148056,0.471656378600823,-0.38571590243225967,0.7323232323232324,0.7364650229176104,0.05514566080754968,0.23485883746702133,0.7772185863148056,0.7364650229176104,0.23485883746702133,1.1656683814651083
llama,500,L1_4,1,4,4,0.06666666666666667,0.26666666666666666,"[1, 2, 3, 4]",0.2196022821462556,0.12908894259481923,0.7803977178537445,0.4680298353909465,-0.4121693752228883,0.7348484848484849,0.7378837180267491,0.0640945112829655,0.25347693630989016,0.7803977178537445,0.7378837180267491,0.25347693630989016,1.1832873823961836
llama,100,L2_5,2,5,4,0.13333333333333333,0.3333333333333333,"[2, 3, 4, 5]",0.25297186451318393,0.17343153703023384,0.747028135486816,0.47453703703703703,-0.3144235999990772,0.7196969696969697,0.7273479289770611,0.04857246838952045,0.22045065497356703,0.747028135486816,0.7273479289770611,0.22045065497356703,1.1317529349039106
llama,500,L2_5,2,5,4,0.13333333333333333,0.3333333333333333,"[2, 3, 4, 5]",0.24141414857173973,0.15773740889690283,0.7585858514282603,0.4661779835390946,-0.3466107380357774,0.7550505050505051,0.7582125620291847,0.06475017376250136,0.2548567586078163,0.7585858514282603,0.7582125620291847,0.2548567586078163,1.189748382223731
llama,100,L3_6,3,6,4,0.2,0.4,"[3, 4, 5, 6]",0.26671848590385283,0.18891978989942543,0.7332815140961472,0.46769547325102884,-0.29168841756093444,0.6590909090909091,0.6657073641645872,0.05969920713573995,0.24591113031748907,0.7332815140961472,0.6657073641645872,0.24591113031748907,1.0959355526337347
llama,500,L3_6,3,6,4,0.2,0.4,"[3, 4, 5, 6]",0.2530686472029867,0.1740066940943856,0.7469313527970133,0.4593878600823045,-0.31241305811009784,0.7449494949494949,0.7477594207059238,0.07014428731655975,0.2651856762226341,0.7469313527970133,0.7477594207059238,0.2651856762226341,1.183821753941353
llama,100,L0_4,0,4,5,0.0,0.26666666666666666,"[0, 1, 2, 3, 4]",0.19004039697870476,0.11353546968908251,0.8099596030212952,0.47160493827160493,-0.4025718977659057,0.7272727272727273,0.7325004609994469,0.06122672846521704,0.247442140886001,0.8099596030212952,0.7325004609994469,0.247442140886001,1.188933883019006
llama,500,L0_4,0,4,5,0.0,0.26666666666666666,"[0, 1, 2, 3, 4]",0.19825673611437644,0.11175552530810035,0.8017432638856236,0.46831275720164606,-0.4363090411883015,0.75,0.7549382716049383,0.0949582793699989,0.30887860735173334,0.8017432638856236,0.7549382716049383,0.30887860735173334,1.251925135108149
llama,100,L1_5,1,5,5,0.06666666666666667,0.3333333333333333,"[1, 2, 3, 4, 5]",0.230762292903856,0.14715758120801897,0.769237707096144,0.4743312757201646,-0.36229796047177515,0.73989898989899,0.7443837773138848,0.05539114888866581,0.23538726949839558,0.769237707096144,0.7443837773138848,0.23538726949839558,1.1684356909978963
llama,500,L1_5,1,5,5,0.06666666666666667,0.3333333333333333,"[1, 2, 3, 4, 5]",0.2273883632666353,0.1390393213153709,0.7726116367333646,0.46507201646090535,-0.3885380799468865,0.7323232323232324,0.7326572952810649,0.06596780519565193,0.2573498009551805,0.7726116367333646,0.7326572952810649,0.2573498009551805,1.1783114953556786
llama,100,L2_6,2,6,5,0.13333333333333333,0.4,"[2, 3, 4, 5, 6]",0.2578999075405808,0.17916254195548895,0.7421000924594192,0.46921296296296294,-0.3053020192327221,0.7247474747474747,0.7283879378140387,0.05809724534979477,0.24199009904148328,0.7421000924594192,0.7283879378140387,0.24199009904148328,1.1473524757141271
llama,500,L2_6,2,6,5,0.13333333333333333,0.4,"[2, 3, 4, 5, 6]",0.24629848849767744,0.16417335551804724,0.7537015115023226,0.4615226337448559,-0.3334374081878726,0.75,0.752934977780551,0.07715066751654698,0.27848902516539953,0.7537015115023226,0.752934977780551,0.27848902516539953,1.2019899581079219
llama,100,L0_5,0,5,6,0.0,0.3333333333333333,"[0, 1, 2, 3, 4, 5]",0.20226688722745811,0.1260350437145238,0.7977331127725419,0.4737911522633745,-0.3768873926375023,0.7474747474747475,0.7501483373319918,0.060178984952589,0.2453397305039127,0.7977331127725419,0.7501483373319918,0.2453397305039127,1.1952570106549945
llama,500,L0_5,0,5,6,0.0,0.3333333333333333,"[0, 1, 2, 3, 4, 5]",0.20827114184119885,0.12293364691182679,0.7917288581588011,0.4641460905349794,-0.4097422719131049,0.7297979797979798,0.731103620421778,0.08640504735008814,0.29462223367735063,0.7917288581588011,0.731103620421778,0.29462223367735063,1.2164451123587035
llama,100,L1_6,1,6,6,0.06666666666666667,0.4,"[1, 2, 3, 4, 5, 6]",0.23855788135655207,0.15635247868856372,0.7614421186434479,0.4694187242798354,-0.3445930973003235,0.7348484848484849,0.7376174618046214,0.06071434477219084,0.24702868381993395,0.7614421186434479,0.7376174618046214,0.24702868381993395,1.1684379758213683
llama,500,L1_6,1,6,6,0.06666666666666667,0.4,"[1, 2, 3, 4, 5, 6]",0.23377348918699933,0.14752393811984035,0.7662265108130006,0.46077674897119336,-0.3689449461427898,0.7323232323232324,0.7347152120214909,0.07589969541270147,0.2762833003114454,0.7662265108130006,0.7347152120214909,0.2762833003114454,1.1919120652728494
