model_key,layer,proxy,pearson_hidden_geometry
qwen,20,rowpermW,0.5711253762931094
qwen,20,gaussianR,0.961232300028306
qwen,20,randomK,0.020131384073652624
qwen,21,realW,0.5409223190533654
qwen,21,rowpermW,0.5409223190512356
qwen,21,gaussianR,0.937713045145452
qwen,21,randomK,-0.008724049224423436
qwen,22,realW,0.5219653269298581
qwen,22,rowpermW,0.5219653269298581
qwen,22,gaussianR,0.9335042627514802
qwen,22,randomK,0.0076876919785261654
qwen,23,realW,0.45726009197030804
qwen,23,rowpermW,0.45726009197030804
qwen,23,gaussianR,0.9160494065411326
qwen,23,randomK,-0.007513388196844297
qwen,24,realW,0.6331752009251792
qwen,24,rowpermW,0.6331752009251792
qwen,24,gaussianR,0.9351355705618742
qwen,24,randomK,-0.009418538030975896
qwen,25,realW,0.6527408009272797
qwen,25,rowpermW,0.6527408009423629
qwen,25,gaussianR,0.9277032711560181
qwen,25,randomK,-0.03206099466692931
llama,4,realW,0.904826401795491
llama,4,rowpermW,0.9048264019657917
llama,4,gaussianR,0.9524820244203706
llama,4,randomK,-0.014026050058105716
llama,5,realW,0.9631026712301383
llama,5,rowpermW,0.9631026712233278
llama,5,gaussianR,0.9806316207803623
llama,5,randomK,0.017620085989014364
llama,6,realW,0.9703347246180548
llama,6,rowpermW,0.9703347246236078
llama,6,gaussianR,0.9777133072866897
llama,6,randomK,-0.029288810018277635
llama,7,realW,0.9627382682315733
llama,7,rowpermW,0.9627382681985112
llama,7,gaussianR,0.9724449952543913
llama,7,randomK,-0.02842304161908175
llama,8,realW,0.9069944543808803
llama,8,rowpermW,0.9069944543397787
llama,8,gaussianR,0.976568280580792
llama,8,randomK,-0.0033746789322208295
llama,9,realW,0.7919775457954985
llama,9,rowpermW,0.7919775457954985
llama,9,gaussianR,0.9359783116120843
llama,9,randomK,-0.03891401453835306
llama,10,realW,0.7741032199294299
llama,10,rowpermW,0.7741032199048067
llama,10,gaussianR,0.9635433935110191
llama,10,randomK,-0.006242594324930092
llama,11,realW,0.7459671528470928
llama,11,rowpermW,0.745967152872593
llama,11,gaussianR,0.943275561536794
llama,11,randomK,0.03398141891032204
llama,12,realW,0.7120509005016802
llama,12,rowpermW,0.7120477276538363
llama,12,gaussianR,0.9412580063817141
llama,12,randomK,-0.008971200591747676
llama,13,realW,0.5718573036485941
llama,13,rowpermW,0.5718573036485941
llama,13,gaussianR,0.9371730231779292
llama,13,randomK,0.0016426746030759893
llama,14,realW,0.608830137823092
llama,14,rowpermW,0.608830137823092
llama,14,gaussianR,0.9083304939101036
llama,14,randomK,-0.0014097876909199153
gemma,6,realW,0.7101666977816717
gemma,6,rowpermW,0.7101666978002513
gemma,6,gaussianR,0.9660377378406045
gemma,6,randomK,-0.001963240860878853
gemma,7,realW,0.8353254956991591
gemma,7,rowpermW,0.8353254956924354
gemma,7,gaussianR,0.9622113206794293
gemma,7,randomK,0.008605332432597252
gemma,8,realW,0.9367919859941214
gemma,8,rowpermW,0.9367919859863106
gemma,8,gaussianR,0.9705936384279509
gemma,8,randomK,0.009428112674208887
gemma,9,realW,0.9122528255700065
gemma,9,rowpermW,0.9122528255700065
gemma,9,gaussianR,0.9755258565052751
gemma,9,randomK,-0.04605810822122257
gemma,10,realW,0.9329763640190962
gemma,10,rowpermW,0.9329763640190962
gemma,10,gaussianR,0.9592183771266071
gemma,10,randomK,-0.02494250626910726
gemma,11,realW,0.7226354492463011
gemma,11,rowpermW,0.7226354492314966
gemma,11,gaussianR,0.9571989900985811
gemma,11,randomK,0.0014214791423042107
gemma,12,realW,0.8674823452171431
gemma,12,rowpermW,0.8674823452171431
gemma,12,gaussianR,0.9598604784370935
gemma,12,randomK,-0.03443071938791116
gemma,13,realW,0.9051310094703805
gemma,13,rowpermW,0.9051310094739241
gemma,13,gaussianR,0.9687254424435844
gemma,13,randomK,-0.004477948344184412
gemma,14,realW,0.6586417940553749
gemma,14,rowpermW,0.6586417940479765
gemma,14,gaussianR,0.963835727066191
gemma,14,randomK,-0.023813895122686234
gemma,15,realW,0.5250819221443007
gemma,15,rowpermW,0.5250819221443007
gemma,15,gaussianR,0.9660917898211208
gemma,15,randomK,-0.0676833380872881
gemma,16,realW,0.7891041600066655
gemma,16,rowpermW,0.7891041600762573
gemma,16,gaussianR,0.9396801294446375
gemma,16,randomK,0.016660921457436938
gemma,17,realW,0.7788021339787733
gemma,17,rowpermW,0.7788021339787733
gemma,17,gaussianR,0.9718448176897494
gemma,17,randomK,0.009167962124428957
gemma,18,realW,0.49284342389695546
gemma,18,rowpermW,0.49284342389695546
gemma,18,gaussianR,0.9549519640262223
gemma,18,randomK,0.021541995585810093
gemma,19,realW,0.4400578396733628
gemma,19,rowpermW,0.4400578396733628
gemma,19,gaussianR,0.9221926276848396
gemma,19,randomK,-0.011548400341979225
gemma,20,realW,0.5033115775834232
gemma,20,rowpermW,0.5033115775834232
gemma,20,gaussianR,0.9197225275616241
gemma,20,randomK,-0.038161970284652146
gemma,21,realW,0.6810770932172139
gemma,21,rowpermW,0.6810770932877134
gemma,21,gaussianR,0.9216216992122055
gemma,21,randomK,0.011960842869239308
gemma,22,realW,0.6907811784933984
gemma,22,rowpermW,0.6907811784933984
gemma,22,gaussianR,0.8967871745268462
gemma,22,randomK,0.008193543515315862
gemma,23,realW,0.723647842208915
gemma,23,rowpermW,0.723647842208915
gemma,23,gaussianR,0.8861455642827202
gemma,23,randomK,-0.0032322448719935945
