"model","prompt_id","graph_id","initial_deficit","delta_DeltaU","predicted_delta_margin_oof","margin_policy","crossing"
"qwen","g045_exception_override",45,3.953125,2.99237465858459,2.45566331124796,-1.984375,"No observed crossing"
"qwen","g053_closure_update",53,8.734375,3.08564376831055,2.47945444380872,-5.890625,"No observed crossing"
"qwen","g053_closure_override",53,6.609375,4.88075017929077,3.43769344285661,-3.09375,"No observed crossing"
"qwen","g053_exception_override",53,5.171875,5.41588950157166,3.723354150989,-2.125,"No observed crossing"
"qwen","g064_closure_update",64,1.609375,2.4255256652832,2.07194404215612,-0.5625,"No observed crossing"
"qwen","g064_closure_override",64,6.859375,4.13009738922119,2.90941747224685,-2.921875,"No observed crossing"
"qwen","g064_exception_override",64,4.515625,4.50641632080078,3.09430679195816,-1.78125,"No observed crossing"
"qwen","g067_closure_update",67,5.578125,2.8019847869873,2.31636428398365,-3.21875,"No observed crossing"
"qwen","g067_closure_override",67,5.84375,3.74293041229248,2.77047067774416,-2.75,"No observed crossing"
"qwen","g067_exception_override",67,2.046875,0,0.964108454558928,-2.046875,"No observed crossing"
"qwen","g068_closure_update",68,4.25,2.83476948738098,2.22112326551781,-2.375,"No observed crossing"
"qwen","g068_closure_override",68,4.875,2.5102596282959,2.00751052733776,-3.015625,"No observed crossing"
"qwen","g068_exception_override",68,3.296875,2.59533905982971,2.06351514422052,-1.703125,"No observed crossing"
"qwen","g069_closure_update",69,6.140625,3.42316746711731,2.66335272007999,-3.015625,"No observed crossing"
"qwen","g069_closure_override",69,3.671875,1.89816689491272,1.92813509101035,-1.875,"No observed crossing"
"qwen","g069_exception_override",69,2.578125,0.486231803894043,1.24742743165629,-1.875,"No observed crossing"
"qwen","g073_closure_update",73,5.546875,2.63533329963684,2.23907590684663,-3.234375,"No observed crossing"
"qwen","g073_closure_override",73,5.078125,3.27886819839478,2.58259884981327,-2.5625,"No observed crossing"
"qwen","g073_exception_override",73,2.96875,3.36640024185181,2.62932400058641,-1.234375,"No observed crossing"
"qwen","g077_closure_update",77,10.1875,2.89791083335876,2.30403168122494,-5.984375,"No observed crossing"
"qwen","g077_closure_override",77,7.203125,4.06967484951019,2.87973126375475,-3.765625,"No observed crossing"
"qwen","g077_exception_override",77,6.921875,5.53548550605774,3.59989895230844,-2.96875,"No observed crossing"
