model,fold,feature,n_train,n_test,test_macro_f1,delta_u_pre_explained_variance
llama,4,raw_current,770,190,0.25806969482738307,0.7739753723144531
llama,4,raw_recent,770,190,0.34713152270404174,0.7739753723144531
llama,4,matched_current,770,190,0.3165395767157689,0.7739753723144531
llama,4,matched_recent,770,190,0.4945507052882103,0.7739753723144531
llama,4,DeltaU_pre,770,190,0.3177650240781054,0.7739753723144531
llama,4,ordered_prefix,770,190,0.7745715096327187,0.7739753723144531
llama,4,cutoff_hidden,770,190,1.0,0.7739753723144531
gemma,0,raw_current,760,200,0.5506657483930212,0.9151124358177185
gemma,0,raw_recent,760,200,0.5717620132114166,0.9151124358177185
gemma,0,matched_current,760,200,0.6443586443586443,0.9151124358177185
gemma,0,matched_recent,760,200,0.6968944099378881,0.9151124358177185
gemma,0,DeltaU_pre,760,200,0.6610187519278429,0.9151124358177185
gemma,0,ordered_prefix,760,200,0.8617409454404418,0.9151124358177185
gemma,0,cutoff_hidden,760,200,1.0,0.9151124358177185
gemma,1,raw_current,770,190,0.5141850733619365,0.9126819372177124
gemma,1,raw_recent,770,190,0.6011592173338001,0.9126819372177124
gemma,1,matched_current,770,190,0.6680957506645581,0.9126819372177124
gemma,1,matched_recent,770,190,0.7099074942566236,0.9126819372177124
gemma,1,DeltaU_pre,770,190,0.6676848913691019,0.9126819372177124
gemma,1,ordered_prefix,770,190,0.8371750366427525,0.9126819372177124
gemma,1,cutoff_hidden,770,190,1.0,0.9126819372177124
gemma,2,raw_current,770,190,0.505612615416537,0.9102217555046082
gemma,2,raw_recent,770,190,0.5737487069308506,0.9102217555046082
gemma,2,matched_current,770,190,0.6521523838337998,0.9102217555046082
gemma,2,matched_recent,770,190,0.6933086954183422,0.9102217555046082
gemma,2,DeltaU_pre,770,190,0.6490821256038648,0.9102217555046082
gemma,2,ordered_prefix,770,190,0.8257228151964994,0.9102217555046082
gemma,2,cutoff_hidden,770,190,1.0,0.9102217555046082
gemma,3,raw_current,770,190,0.5042444073145828,0.9102884531021118
gemma,3,raw_recent,770,190,0.5903376436781609,0.9102884531021118
gemma,3,matched_current,770,190,0.619151702037608,0.9102884531021118
gemma,3,matched_recent,770,190,0.7233442963962444,0.9102884531021118
gemma,3,DeltaU_pre,770,190,0.6398687077843986,0.9102884531021118
gemma,3,ordered_prefix,770,190,0.8516598395630653,0.9102884531021118
gemma,3,cutoff_hidden,770,190,1.0,0.9102884531021118
gemma,4,raw_current,770,190,0.5436154396784318,0.9104233384132385
gemma,4,raw_recent,770,190,0.6270928462709285,0.9104233384132385
gemma,4,matched_current,770,190,0.614574551615836,0.9104233384132385
gemma,4,matched_recent,770,190,0.6961603928927961,0.9104233384132385
gemma,4,DeltaU_pre,770,190,0.6428044902171396,0.9104233384132385
gemma,4,ordered_prefix,770,190,0.8832474157724985,0.9104233384132385
gemma,4,cutoff_hidden,770,190,1.0,0.9104233384132385
