shuffle_id,alignment_mean,alignment_positive_fraction,path_length,endpoint_distance,detour_ratio,curvature_mean,model,state_type,init_seed
21.0,0.04672136530280113,0.5933641975308642,9.794422149658203,0.8901872634887695,11.00302505493164,2.020479440689087,qwen,trained_checkpoint,trained
22.0,0.050791818648576736,0.5933641975308642,9.644742012023926,0.8901872634887695,10.835062980651855,2.019041061401367,qwen,trained_checkpoint,trained
23.0,0.041740406304597855,0.5516975308641974,10.060940742492676,0.8901872634887695,11.302566528320312,2.0108087062835693,qwen,trained_checkpoint,trained
24.0,0.03548678755760193,0.5393518518518517,9.735526084899902,0.8901872634887695,10.937297821044922,2.051025152206421,qwen,trained_checkpoint,trained
25.0,0.043783608824014664,0.5694444444444443,10.254679679870605,0.8901872634887695,11.520318031311035,2.1269168853759766,qwen,trained_checkpoint,trained
26.0,0.044833242893218994,0.5555555555555555,9.948464393615723,0.8901872634887695,11.175139427185059,2.074721097946167,qwen,trained_checkpoint,trained
27.0,0.04662739112973213,0.5898919753086419,11.241930961608887,0.8901872634887695,12.628646850585938,2.255427598953247,qwen,trained_checkpoint,trained
28.0,0.049260228872299194,0.5567129629629629,7.828643321990967,0.8901872634887695,8.794753074645996,2.052098512649536,qwen,trained_checkpoint,trained
29.0,0.04513486847281456,0.5459104938271604,10.204106330871582,0.8901872634887695,11.4633150100708,2.09000301361084,qwen,trained_checkpoint,trained
30.0,0.045586954802274704,0.556327160493827,10.990267753601074,0.8901872634887695,12.345905303955078,2.1987648010253906,qwen,trained_checkpoint,trained
31.0,0.0366424024105072,0.4845679012345679,10.64035701751709,0.8901872634887695,11.953086853027344,2.194735288619995,qwen,trained_checkpoint,trained
32.0,0.0317104309797287,0.46913580246913594,11.1997709274292,0.8901872634887695,12.581690788269043,2.1942856311798096,qwen,trained_checkpoint,trained
33.0,0.043380241841077805,0.5227623456790123,10.229022026062012,0.8901872634887695,11.4907865524292,2.0861332416534424,qwen,trained_checkpoint,trained
34.0,0.05968330428004265,0.6979166666666669,8.978334426879883,0.8901872634887695,10.085426330566406,1.9847794771194458,qwen,trained_checkpoint,trained
35.0,0.035055506974458694,0.47646604938271614,9.755745887756348,0.8901872634887695,10.959617614746094,2.0625340938568115,qwen,trained_checkpoint,trained
36.0,0.04281705990433693,0.5771604938271605,10.383245468139648,0.8901872634887695,11.664057731628418,2.129469871520996,qwen,trained_checkpoint,trained
37.0,0.045209694653749466,0.5810185185185185,9.754990577697754,0.8901872634887695,10.958163261413574,2.115865707397461,qwen,trained_checkpoint,trained
38.0,0.04625749588012695,0.5945216049382717,10.27225399017334,0.8901872634887695,11.53992748260498,2.0889875888824463,qwen,trained_checkpoint,trained
39.0,0.037877388298511505,0.5266203703703702,9.507678985595703,0.8901872634887695,10.67944049835205,2.118708848953247,qwen,trained_checkpoint,trained
40.0,0.0466163344681263,0.5447530864197528,8.888463020324707,0.8901872634887695,9.9844970703125,2.114794969558716,qwen,trained_checkpoint,trained
