task,task_scope,gamma,n_prompts,real_future_alignment,real_future_alignment_ci95_low,real_future_alignment_ci95_high,donor_future_alignment_mean,donor_future_alignment_q95,donor_future_alignment_p,effect_future_alignment,real_leave_one_out_alignment,real_leave_one_out_alignment_ci95_low,real_leave_one_out_alignment_ci95_high,donor_leave_one_out_alignment_mean,donor_leave_one_out_alignment_q95,donor_leave_one_out_alignment_p,effect_leave_one_out_alignment,passes_joint_direction_gate
arithmetic_addition,original,1.25,96,-0.0036281689535826445,-0.004313088022172451,-0.0029622246511280537,-0.006087765338638769,-0.005954923387616873,0.005,0.0024595963850561247,-0.004718575160950422,-0.005573765374720097,-0.0038442122749984264,-0.0077958665905174,-0.007616033079102635,0.005,0.0030772914295669777,True
arc_challenge,original,0.0,96,-0.22712616622447968,-0.227957084774971,-0.2262950837612152,-0.19234220466422075,-0.1920480728149414,1.0,-0.034783961560258925,-0.3723229467868805,-0.37334954738616943,-0.3713080883026123,-0.30691603934345535,-0.3063785195350647,1.0,-0.06540690744342514,False
arc_challenge,original,0.25,96,-0.1966990977525711,-0.19756321609020233,-0.1958155781030655,-0.17200786609146462,-0.1717289298772812,1.0,-0.024691231661106483,-0.3330134451389313,-0.33431100845336914,-0.33170321583747864,-0.2819571099688659,-0.28140097558498384,1.0,-0.05105633517006536,False
arc_challenge,original,0.5,96,-0.15271814167499542,-0.15385176241397858,-0.15155456960201263,-0.1383508631032915,-0.13810709714889527,1.0,-0.014367278571703918,-0.24979333579540253,-0.25156331062316895,-0.2479812204837799,-0.22036070597531207,-0.2199217200279236,1.0,-0.029432629820090456,False
arc_challenge,original,0.75,96,-0.10773315280675888,-0.10908529907464981,-0.10641828179359436,-0.10112563352189471,-0.10094311609864234,1.0,-0.006607519284864166,-0.1656641662120819,-0.16771426796913147,-0.16355624794960022,-0.15221201070589035,-0.15191019028425218,1.0,-0.013452155506191554,False
arc_challenge,original,1.0,96,-0.06749756634235382,-0.06900950521230698,-0.06596902012825012,-0.06624225021606714,-0.06609372794628143,1.0,-0.0012553161262866819,-0.09669851511716843,-0.09889675676822662,-0.09446724504232407,-0.0930547229384058,-0.09284405782818794,1.0,-0.0036437921787626226,False
arc_challenge,original,1.25,96,-0.03329811617732048,-0.03497472032904625,-0.031620752066373825,-0.03584364814749315,-0.035704833641648295,0.005,0.002545531970172668,-0.043589990586042404,-0.04577813297510147,-0.04138569533824921,-0.046076364852675245,-0.04588770344853401,0.005,0.0024863742666328403,True
lexical_disjoint,independent,0.0,96,-0.2248111516237259,-0.2254243642091751,-0.22416844964027405,-0.20312852296397912,-0.20276886373758315,1.0,-0.021682628659746767,-0.37294530868530273,-0.37366220355033875,-0.37223586440086365,-0.3348628650957616,-0.3342299073934555,1.0,-0.03808244358954116,False
lexical_disjoint,independent,0.25,96,-0.191534161567688,-0.19196359813213348,-0.19110026955604553,-0.17770684304548867,-0.1774731159210205,1.0,-0.013827318522199317,-0.3263779580593109,-0.32702329754829407,-0.325739324092865,-0.29848608344643557,-0.29802032113075255,1.0,-0.027891874612875345,False
lexical_disjoint,independent,0.5,96,-0.14531444013118744,-0.14582674205303192,-0.14481639862060547,-0.13895422751879571,-0.13876654654741288,1.0,-0.006360212612391725,-0.23846715688705444,-0.239309623837471,-0.2376779317855835,-0.2248571771922423,-0.22450594305992128,1.0,-0.013609979694812147,False
lexical_disjoint,independent,0.75,96,-0.09936550259590149,-0.10005583614110947,-0.0986534133553505,-0.09828161384592105,-0.09812024906277657,1.0,-0.001083888749980444,-0.1529129594564438,-0.1538946032524109,-0.15194840729236603,-0.1493103033184406,-0.14904698878526687,1.0,-0.003602656138003174,False
lexical_disjoint,independent,1.0,96,-0.05925942584872246,-0.06011790782213211,-0.05843320116400719,-0.061694778913828595,-0.06149636581540108,0.005,0.002435353065106137,-0.084644615650177,-0.0857493057847023,-0.08359318226575851,-0.08703005935379009,-0.0867476999759674,0.005,0.0023854437036130854,True
lexical_disjoint,independent,1.25,96,-0.025880873203277588,-0.026851963251829147,-0.02490275353193283,-0.030761291783059662,-0.0305871220305562,0.005,0.004880418579782074,-0.03319673612713814,-0.03432537615299225,-0.03204665705561638,-0.03929568830896263,-0.039054516702890396,0.005,0.006098952181824491,True
addition_disjoint,independent,0.0,96,-0.22629620134830475,-0.2265910506248474,-0.22601884603500366,-0.21049823308709878,-0.21023489087820052,1.0,-0.01579796826120597,-0.37591564655303955,-0.3762068450450897,-0.37562406063079834,-0.34860509469281487,-0.34814172685146333,1.0,-0.027310551860224686,False
addition_disjoint,independent,0.25,96,-0.18588371574878693,-0.18625383079051971,-0.18552599847316742,-0.17578837238064962,-0.17560856640338898,1.0,-0.010095343368137305,-0.31869086623191833,-0.31913840770721436,-0.31824609637260437,-0.2990518654111642,-0.2987236976623535,1.0,-0.01963900082075415,False
addition_disjoint,independent,0.5,96,-0.13235491514205933,-0.13282425701618195,-0.1319078803062439,-0.12748372607195196,-0.1273569196462631,1.0,-0.004871189070107362,-0.21935194730758667,-0.22001142799854279,-0.21867161989212036,-0.20982139501439867,-0.2096177190542221,1.0,-0.009530552293188,False
addition_disjoint,independent,0.75,96,-0.08123257011175156,-0.08177889138460159,-0.08067896217107773,-0.07987448329751815,-0.07977264896035194,1.0,-0.0013580868142334113,-0.12731356918811798,-0.128082275390625,-0.12659385800361633,-0.12435373487933796,-0.12419209554791451,1.0,-0.002959834308780024,False
addition_disjoint,independent,1.0,96,-0.03797405585646629,-0.038626596331596375,-0.03734486550092697,-0.038872620474603305,-0.03875623121857643,0.005,0.0008985646181370113,-0.05627162754535675,-0.05710235610604286,-0.05541744455695152,-0.057048515140561,-0.05689590126276016,0.005,0.0007768875952042509,True
addition_disjoint,independent,1.25,96,-0.002817748812958598,-0.003499743063002825,-0.002136748284101486,-0.005269554565337735,-0.005139832152053714,0.005,0.002451805752379137,-0.0038883972447365522,-0.004739389754831791,-0.0029985636938363314,-0.006962619569789075,-0.006785014644265175,0.005,0.003074222325052523,True
arithmetic_mixed,independent,0.0,96,-0.2263064831495285,-0.22660624980926514,-0.22601023316383362,-0.20877228752153004,-0.2085041508078575,1.0,-0.01753419562799846,-0.3758109509944916,-0.37615397572517395,-0.37547844648361206,-0.34590238961742154,-0.3454742729663849,1.0,-0.029908561377070042,False
arithmetic_mixed,independent,0.25,96,-0.1859988123178482,-0.18637403845787048,-0.18562617897987366,-0.174671071408382,-0.1744732603430748,1.0,-0.0113277409094662,-0.31891369819641113,-0.3193586468696594,-0.31846585869789124,-0.29715075999049084,-0.2968072801828384,1.0,-0.02176293820592029,False
arithmetic_mixed,independent,0.5,96,-0.13257746398448944,-0.1330758035182953,-0.1320919692516327,-0.12703937434371393,-0.1269011527299881,1.0,-0.005538089640775512,-0.21989940106868744,-0.22050470113754272,-0.21929442882537842,-0.20919357404936498,-0.20895014852285385,1.0,-0.010705827019322461,False
arithmetic_mixed,independent,0.75,96,-0.08148323744535446,-0.08207467198371887,-0.08087662607431412,-0.07987162991235004,-0.07976456731557846,1.0,-0.0016116075330044194,-0.12792643904685974,-0.12872347235679626,-0.1271490901708603,-0.12451776120830421,-0.12435144111514092,1.0,-0.0034086778385555294,False
arithmetic_mixed,independent,1.0,96,-0.038185324519872665,-0.038886550813913345,-0.03749817609786987,-0.03912484979060427,-0.03900063745677471,0.005,0.0009395252707316074,-0.05677710846066475,-0.05767737701535225,-0.05587422847747803,-0.05757177980551169,-0.057401550188660624,0.005,0.0007946713448469395,True
arithmetic_mixed,independent,1.25,96,-0.0029496268834918737,-0.00373677141033113,-0.00214580399915576,-0.005639729445715945,-0.005514896614477039,0.005,0.002690102562224071,-0.004215323366224766,-0.005218472331762314,-0.0032276101410388947,-0.0075955026380568,-0.007426146743819118,0.005,0.003380179271832034,True
