task,gamma,metric,null_index,value
relation_graph,0.0,future_alignment,177,-0.16415955126285553
relation_graph,0.0,future_alignment,178,-0.16467323899269104
relation_graph,0.0,future_alignment,179,-0.1646958738565445
relation_graph,0.0,future_alignment,180,-0.1638975888490677
relation_graph,0.0,future_alignment,181,-0.16405782103538513
relation_graph,0.0,future_alignment,182,-0.1643441617488861
relation_graph,0.0,future_alignment,183,-0.16417577862739563
relation_graph,0.0,future_alignment,184,-0.16379079222679138
relation_graph,0.0,future_alignment,185,-0.1639738231897354
relation_graph,0.0,future_alignment,186,-0.1634126454591751
relation_graph,0.0,future_alignment,187,-0.1640293002128601
relation_graph,0.0,future_alignment,188,-0.16505397856235504
relation_graph,0.0,future_alignment,189,-0.164677694439888
relation_graph,0.0,future_alignment,190,-0.1639532893896103
relation_graph,0.0,future_alignment,191,-0.16478848457336426
relation_graph,0.0,future_alignment,192,-0.1647041141986847
relation_graph,0.0,future_alignment,193,-0.1645691990852356
relation_graph,0.0,future_alignment,194,-0.1639673113822937
relation_graph,0.0,future_alignment,195,-0.164056196808815
relation_graph,0.0,future_alignment,196,-0.16533179581165314
relation_graph,0.0,future_alignment,197,-0.1635179966688156
relation_graph,0.0,future_alignment,198,-0.1644294559955597
relation_graph,0.0,leave_one_out_alignment,0,-0.26329419016838074
relation_graph,0.0,leave_one_out_alignment,1,-0.2614763677120209
relation_graph,0.0,leave_one_out_alignment,2,-0.26246413588523865
relation_graph,0.0,leave_one_out_alignment,3,-0.26245540380477905
relation_graph,0.0,leave_one_out_alignment,4,-0.2598169147968292
relation_graph,0.0,leave_one_out_alignment,5,-0.26165536046028137
relation_graph,0.0,leave_one_out_alignment,6,-0.26302850246429443
relation_graph,0.0,leave_one_out_alignment,7,-0.25846317410469055
relation_graph,0.0,leave_one_out_alignment,8,-0.2608935236930847
relation_graph,0.0,leave_one_out_alignment,9,-0.2615627646446228
relation_graph,0.0,leave_one_out_alignment,10,-0.26122674345970154
relation_graph,0.0,leave_one_out_alignment,11,-0.2608987092971802
relation_graph,0.0,leave_one_out_alignment,12,-0.26065707206726074
relation_graph,0.0,leave_one_out_alignment,13,-0.26001811027526855
relation_graph,0.0,leave_one_out_alignment,14,-0.2627585828304291
relation_graph,0.0,leave_one_out_alignment,15,-0.26051315665245056
relation_graph,0.0,leave_one_out_alignment,16,-0.26151636242866516
relation_graph,0.0,leave_one_out_alignment,17,-0.25942716002464294
relation_graph,0.0,leave_one_out_alignment,18,-0.26028844714164734
relation_graph,0.0,leave_one_out_alignment,19,-0.25915247201919556
relation_graph,0.0,leave_one_out_alignment,20,-0.2613919973373413
relation_graph,0.0,leave_one_out_alignment,21,-0.2613322138786316
relation_graph,0.0,leave_one_out_alignment,22,-0.25933167338371277
relation_graph,0.0,leave_one_out_alignment,23,-0.26094263792037964
relation_graph,0.0,leave_one_out_alignment,24,-0.26129940152168274
relation_graph,0.0,leave_one_out_alignment,25,-0.26021334528923035
relation_graph,0.0,leave_one_out_alignment,26,-0.25921720266342163
relation_graph,0.0,leave_one_out_alignment,27,-0.2603214383125305
relation_graph,0.0,leave_one_out_alignment,28,-0.2621852159500122
relation_graph,0.0,leave_one_out_alignment,29,-0.26113200187683105
relation_graph,0.0,leave_one_out_alignment,30,-0.2606843113899231
relation_graph,0.0,leave_one_out_alignment,31,-0.26317116618156433
relation_graph,0.0,leave_one_out_alignment,32,-0.262104332447052
relation_graph,0.0,leave_one_out_alignment,33,-0.263188898563385
relation_graph,0.0,leave_one_out_alignment,34,-0.26077958941459656
relation_graph,0.0,leave_one_out_alignment,35,-0.2602035105228424
relation_graph,0.0,leave_one_out_alignment,36,-0.26067498326301575
relation_graph,0.0,leave_one_out_alignment,37,-0.25812333822250366
relation_graph,0.0,leave_one_out_alignment,38,-0.26213327050209045
relation_graph,0.0,leave_one_out_alignment,39,-0.2614067494869232
relation_graph,0.0,leave_one_out_alignment,40,-0.25972288846969604
relation_graph,0.0,leave_one_out_alignment,41,-0.2623862028121948
relation_graph,0.0,leave_one_out_alignment,42,-0.26006022095680237
relation_graph,0.0,leave_one_out_alignment,43,-0.26144370436668396
relation_graph,0.0,leave_one_out_alignment,44,-0.2619662582874298
relation_graph,0.0,leave_one_out_alignment,45,-0.259937047958374
relation_graph,0.0,leave_one_out_alignment,46,-0.26239097118377686
relation_graph,0.0,leave_one_out_alignment,47,-0.26543164253234863
relation_graph,0.0,leave_one_out_alignment,48,-0.26378676295280457
relation_graph,0.0,leave_one_out_alignment,49,-0.2632586359977722
relation_graph,0.0,leave_one_out_alignment,50,-0.2594868540763855
relation_graph,0.0,leave_one_out_alignment,51,-0.2630719244480133
relation_graph,0.0,leave_one_out_alignment,52,-0.26169073581695557
relation_graph,0.0,leave_one_out_alignment,53,-0.2614814341068268
relation_graph,0.0,leave_one_out_alignment,54,-0.2631992697715759
relation_graph,0.0,leave_one_out_alignment,55,-0.2588385045528412
relation_graph,0.0,leave_one_out_alignment,56,-0.2618253231048584
relation_graph,0.0,leave_one_out_alignment,57,-0.26256847381591797
relation_graph,0.0,leave_one_out_alignment,58,-0.2611810863018036
relation_graph,0.0,leave_one_out_alignment,59,-0.260595440864563
relation_graph,0.0,leave_one_out_alignment,60,-0.2592378854751587
relation_graph,0.0,leave_one_out_alignment,61,-0.26200351119041443
relation_graph,0.0,leave_one_out_alignment,62,-0.263019323348999
relation_graph,0.0,leave_one_out_alignment,63,-0.25833240151405334
relation_graph,0.0,leave_one_out_alignment,64,-0.25943878293037415
relation_graph,0.0,leave_one_out_alignment,65,-0.26001909375190735
relation_graph,0.0,leave_one_out_alignment,66,-0.2621639370918274
relation_graph,0.0,leave_one_out_alignment,67,-0.2633107006549835
relation_graph,0.0,leave_one_out_alignment,68,-0.2609585225582123
relation_graph,0.0,leave_one_out_alignment,69,-0.2603766918182373
relation_graph,0.0,leave_one_out_alignment,70,-0.2608282268047333
relation_graph,0.0,leave_one_out_alignment,71,-0.26098570227622986
relation_graph,0.0,leave_one_out_alignment,72,-0.2623729705810547
relation_graph,0.0,leave_one_out_alignment,73,-0.2626704275608063
relation_graph,0.0,leave_one_out_alignment,74,-0.26044586300849915
relation_graph,0.0,leave_one_out_alignment,75,-0.2616273760795593
relation_graph,0.0,leave_one_out_alignment,76,-0.26313698291778564
