"model","mechanism","layer_from","layer_to","depth_mid","cosine_step_mean","cosine_step_sem","participation_fraction_mean","participation_fraction_sem","n_prompts","hidden_dim","tile_width"
"Qwen","Stable",19,20,0.722222222222222,0.1347518541453,0.00547240181528767,0.31444819085252,0.00286571604305157,40,1536,0.0362962962962963
"Qwen","Stable",20,21,0.759259259259259,0.101050756118847,0.00421620057689277,0.185091065666127,0.00526910567644268,40,1536,0.0362962962962963
"Qwen","Stable",21,22,0.796296296296296,0.0705598337166192,0.00268441218363871,0.146345955580766,0.0113820344948132,40,1536,0.0362962962962963
"Qwen","Stable",22,23,0.833333333333333,0.0350675946778932,0.00074614554798758,0.131836457929683,0.00423863002362424,40,1536,0.0362962962962963
"Qwen","Stable",23,24,0.87037037037037,0.0260802322938466,0.00089295831724423,0.307057764717327,0.00345560416065053,40,1536,0.0362962962962963
"Qwen","Stable",24,25,0.907407407407407,0.0298972211663106,0.000586632974448879,0.0923025501250601,0.00465717298835243,40,1536,0.0362962962962963
"Qwen","Stable",25,26,0.944444444444444,0.0173133988510042,0.000310414652358265,0.0912835207824552,0.00372072973003707,40,1536,0.0362962962962963
"Qwen","Stable",26,27,0.981481481481482,0.70411291785552,0.00358079533653059,0.00349981058592036,1.45724289910643e-05,40,1536,0.0362962962962963
"Qwen","Competition",0,1,0.0185185185185185,0.115709200583422,0.000362453395586588,0.117735721805601,0.000808353309919587,32,1536,0.0362962962962963
"Qwen","Competition",1,2,0.0555555555555556,0.138930967205546,0.000582086146425507,0.289311805471373,0.0010312953886931,32,1536,0.0362962962962963
"Qwen","Competition",2,3,0.0925925925925926,0.117943738143244,0.000236400584248972,0.322475603486893,0.000514111337240171,32,1536,0.0362962962962963
"Qwen","Competition",3,4,0.12962962962963,0.140299090798042,0.000435477838019752,0.317555580463055,0.000646345074349644,32,1536,0.0362962962962963
"Qwen","Competition",4,5,0.166666666666667,0.0914004055816834,0.000360074016243831,0.147136814303423,0.00231974160298339,32,1536,0.0362962962962963
"Qwen","Competition",5,6,0.203703703703704,0.103783302133694,0.000537043362987716,0.176644072170623,0.001538661694383,32,1536,0.0362962962962963
