"element","x","y"
"retained layer-state dimensions",0.374117647058823,0.552727272727273
"retained layer-state dimensions",0.412941176470588,0.552727272727273
"retained layer-state dimensions",0.451764705882353,0.552727272727273
"retained layer-state dimensions",0.490588235294118,0.552727272727273
"retained layer-state dimensions",0.529411764705882,0.552727272727273
"retained layer-state dimensions",0.568235294117647,0.552727272727273
"retained layer-state dimensions",0.607058823529412,0.552727272727273
"retained layer-state dimensions",0.645882352941176,0.552727272727273
"retained layer-state dimensions",0.684705882352941,0.552727272727273
"retained layer-state dimensions",0.723529411764706,0.552727272727273
"retained layer-state dimensions",0.76235294117647,0.552727272727273
"retained layer-state dimensions",0.801176470588235,0.552727272727273
"retained layer-state dimensions",0.84,0.552727272727273
"retained layer-state dimensions",0.18,0.567878787878788
"retained layer-state dimensions",0.218823529411765,0.567878787878788
"retained layer-state dimensions",0.257647058823529,0.567878787878788
"retained layer-state dimensions",0.296470588235294,0.567878787878788
"retained layer-state dimensions",0.335294117647059,0.567878787878788
"retained layer-state dimensions",0.374117647058823,0.567878787878788
"retained layer-state dimensions",0.412941176470588,0.567878787878788
"retained layer-state dimensions",0.451764705882353,0.567878787878788
"retained layer-state dimensions",0.490588235294118,0.567878787878788
"retained layer-state dimensions",0.529411764705882,0.567878787878788
"retained layer-state dimensions",0.568235294117647,0.567878787878788
"retained layer-state dimensions",0.607058823529412,0.567878787878788
"retained layer-state dimensions",0.645882352941176,0.567878787878788
"retained layer-state dimensions",0.684705882352941,0.567878787878788
"retained layer-state dimensions",0.723529411764706,0.567878787878788
"retained layer-state dimensions",0.76235294117647,0.567878787878788
"retained layer-state dimensions",0.801176470588235,0.567878787878788
"retained layer-state dimensions",0.84,0.567878787878788
"retained layer-state dimensions",0.18,0.583030303030303
"retained layer-state dimensions",0.218823529411765,0.583030303030303
"retained layer-state dimensions",0.257647058823529,0.583030303030303
"retained layer-state dimensions",0.296470588235294,0.583030303030303
"retained layer-state dimensions",0.335294117647059,0.583030303030303
"retained layer-state dimensions",0.374117647058823,0.583030303030303
"retained layer-state dimensions",0.412941176470588,0.583030303030303
"retained layer-state dimensions",0.451764705882353,0.583030303030303
"retained layer-state dimensions",0.490588235294118,0.583030303030303
"retained layer-state dimensions",0.529411764705882,0.583030303030303
"retained layer-state dimensions",0.568235294117647,0.583030303030303
"retained layer-state dimensions",0.607058823529412,0.583030303030303
"retained layer-state dimensions",0.645882352941176,0.583030303030303
"retained layer-state dimensions",0.684705882352941,0.583030303030303
"retained layer-state dimensions",0.723529411764706,0.583030303030303
"retained layer-state dimensions",0.76235294117647,0.583030303030303
"retained layer-state dimensions",0.801176470588235,0.583030303030303
"retained layer-state dimensions",0.84,0.583030303030303
"retained layer-state dimensions",0.18,0.598181818181818
"retained layer-state dimensions",0.218823529411765,0.598181818181818
"retained layer-state dimensions",0.257647058823529,0.598181818181818
"retained layer-state dimensions",0.296470588235294,0.598181818181818
"retained layer-state dimensions",0.335294117647059,0.598181818181818
"retained layer-state dimensions",0.374117647058823,0.598181818181818
"retained layer-state dimensions",0.412941176470588,0.598181818181818
"retained layer-state dimensions",0.451764705882353,0.598181818181818
"retained layer-state dimensions",0.490588235294118,0.598181818181818
"retained layer-state dimensions",0.529411764705882,0.598181818181818
"retained layer-state dimensions",0.568235294117647,0.598181818181818
"retained layer-state dimensions",0.607058823529412,0.598181818181818
"retained layer-state dimensions",0.645882352941176,0.598181818181818
"retained layer-state dimensions",0.684705882352941,0.598181818181818
"retained layer-state dimensions",0.723529411764706,0.598181818181818
"retained layer-state dimensions",0.76235294117647,0.598181818181818
"retained layer-state dimensions",0.801176470588235,0.598181818181818
"retained layer-state dimensions",0.84,0.598181818181818
"retained layer-state dimensions",0.18,0.613333333333333
"retained layer-state dimensions",0.218823529411765,0.613333333333333
"retained layer-state dimensions",0.257647058823529,0.613333333333333
"retained layer-state dimensions",0.296470588235294,0.613333333333333
"retained layer-state dimensions",0.335294117647059,0.613333333333333
"retained layer-state dimensions",0.374117647058823,0.613333333333333
"retained layer-state dimensions",0.412941176470588,0.613333333333333
"retained layer-state dimensions",0.451764705882353,0.613333333333333
"retained layer-state dimensions",0.490588235294118,0.613333333333333
"retained layer-state dimensions",0.529411764705882,0.613333333333333
"retained layer-state dimensions",0.568235294117647,0.613333333333333
"retained layer-state dimensions",0.607058823529412,0.613333333333333
