"model","condition_label","graph_id","layer","R","R_z","R_z_clip"
"Qwen","Stable positive",4,20,2.58439540863037,0.823331371770106,0.823331371770106
"Qwen","Stable positive",4,21,4.06757783889771,1.68120796212002,1.68120796212002
"Qwen","Stable positive",4,22,3.45156764984131,1.32490606032817,1.32490606032817
"Qwen","Stable positive",4,23,2.87360978126526,0.990613720059174,0.990613720059174
"Qwen","Stable positive",4,24,3.57151412963867,1.39428341743082,1.39428341743082
"Qwen","Stable positive",4,25,5.43800926208496,2.4738690755748,2.4738690755748
"Qwen","Stable positive",4,26,9.28661918640137,4.69991510476374,2.5
"Qwen","Stable positive",4,27,0.173616886138916,-0.571069220334404,-0.571069220334404
"Qwen","Stable positive",5,0,0.440227031707764,1.12458655806884,1.12458655806884
"Qwen","Stable positive",5,1,-0.100104726850986,0.686244340874187,0.686244340874187
"Qwen","Stable positive",5,2,-0.284514158964157,0.536642845008562,0.536642845008562
"Qwen","Stable positive",5,3,-0.329962730407715,0.499772853083532,0.499772853083532
"Qwen","Stable positive",5,4,-0.46453446149826,0.390602014902015,0.390602014902015
"Qwen","Stable positive",5,5,-0.830228686332703,0.0939338757632379,0.0939338757632379
"Qwen","Stable positive",5,6,-1.28234493732452,-0.272843824696393,-0.272843824696393
"Qwen","Stable positive",5,7,-1.21652948856354,-0.21945127599168,-0.21945127599168
"Qwen","Stable positive",5,8,-1.15245914459229,-0.167474437340377,-0.167474437340377
"Qwen","Stable positive",5,9,-0.215992286801338,0.592230970071384,0.592230970071384
"Qwen","Stable positive",5,10,0.114785328507423,0.860573133929286,0.860573133929286
"Qwen","Stable positive",5,11,-0.0634699463844299,0.71596417621939,0.71596417621939
"Qwen","Stable positive",5,12,-0.687969923019409,0.209340791493026,0.209340791493026
"Qwen","Stable positive",5,13,-0.249751463532448,0.564843958028168,0.564843958028168
"Qwen","Stable positive",5,14,-0.899914383888245,0.0374016014902448,0.0374016014902448
"Qwen","Stable positive",5,15,-1.48591029644012,-0.437985498205956,-0.437985498205956
"Qwen","Stable positive",5,16,-2.51596999168396,-1.27361776209579,-1.27361776209579
"Qwen","Stable positive",5,17,-2.33656764030457,-1.12807824266548,-1.12807824266548
"Qwen","Stable positive",5,18,-1.81143414974213,-0.702065566323273,-0.702065566323273
"Qwen","Stable positive",5,19,-0.890392780303955,0.0451259685300774,0.0451259685300774
"Qwen","Stable positive",5,20,-1.80196905136108,-0.694387038928588,-0.694387038928588
"Qwen","Stable positive",5,21,-0.69022536277771,0.207511074011603,0.207511074011603
"Qwen","Stable positive",5,22,0.533449351787567,1.20021283364591,1.20021283364591
"Qwen","Stable positive",5,23,0.693952560424805,1.33042049075006,1.33042049075006
"Qwen","Stable positive",5,24,1.96857452392578,2.36445302486635,2.36445302486635
"Qwen","Stable positive",5,25,-0.460177659988403,0.394136454629936,0.394136454629936
"Qwen","Stable positive",5,26,0.710478544235229,1.34382713633408,1.34382713633408
"Qwen","Stable positive",5,27,0.278353571891785,0.993267289569851,0.993267289569851
"Qwen","Stable positive",6,0,0.189393699169159,-0.655106458965344,-0.655106458965344
"Qwen","Stable positive",6,1,0.358919382095337,-0.581324842817849,-0.581324842817849
"Qwen","Stable positive",6,2,0.26109254360199,-0.623901413648017,-0.623901413648017
"Qwen","Stable positive",6,3,-0.0908748805522919,-0.777086022240227,-0.777086022240227
"Qwen","Stable positive",6,4,-0.623935639858246,-1.009086764827,-1.009086764827
"Qwen","Stable positive",6,5,-0.714617431163788,-1.04855364089077,-1.04855364089077
"Qwen","Stable positive",6,6,-0.131832361221313,-0.794911693636614,-0.794911693636614
"Qwen","Stable positive",6,7,0.387134194374084,-0.569045084298129,-0.569045084298129
"Qwen","Stable positive",6,8,0.198997437953949,-0.650926683037771,-0.650926683037771
"Qwen","Stable positive",6,9,0.383521676063538,-0.570617338334885,-0.570617338334885
"Qwen","Stable positive",6,10,0.509304940700531,-0.515873464787024,-0.515873464787024
"Qwen","Stable positive",6,11,0.759660303592682,-0.406912846156636,-0.406912846156636
"Qwen","Stable positive",6,12,1.26213908195496,-0.188222110290192,-0.188222110290192
"Qwen","Stable positive",6,13,2.00024175643921,0.133017758892053,0.133017758892053
"Qwen","Stable positive",6,14,1.96520733833313,0.117769945439627,0.117769945439627
