model,condition,layer,pc1,pc2,pc3
qwen,weak_distractor,18,16.57074758725369,9.823114623960091,-17.154338252120628
qwen,weak_distractor,19,14.909802275514561,5.785415422921428,-24.063172078334365
qwen,weak_distractor,20,6.804923573019345,3.828594788804967,-27.14451969937187
qwen,weak_distractor,21,-10.89167315626867,5.050672716945896,-27.127485990284125
qwen,weak_distractor,22,-39.97558065984035,6.345576759063468,-21.990124306907056
qwen,weak_distractor,23,-66.45836871832513,7.539457358904377,-15.292433252456272
qwen,weak_distractor,24,-84.46890422801191,3.7076025312211978,-11.285585065777838
qwen,weak_distractor,25,-139.63034014755237,7.346911560427674,5.731328491050942
qwen,weak_distractor,26,-192.30371410407673,3.3455860125652332,18.370509369546312
qwen,weak_distractor,27,-0.8165731599821129,-165.76253395859555,-5.740162205034784
qwen,competition_balanced,0,41.0460588879466,2.2582211583287486,8.435376857492273
qwen,competition_balanced,1,39.919721922039734,2.0492415108882027,8.617832689461661
qwen,competition_balanced,2,39.515758629876785,2.922015401091136,9.473883313894033
qwen,competition_balanced,3,38.75756323327145,3.0643527581702745,9.931219061247507
qwen,competition_balanced,4,37.267011421069384,3.776909497384512,9.895208406794927
qwen,competition_balanced,5,34.1669956222146,4.177473126666329,9.689663250766547
qwen,competition_balanced,6,30.33595857604312,5.161039731116869,9.66646032446259
qwen,competition_balanced,7,31.034407922238497,5.2587502930483545,8.882222264511292
qwen,competition_balanced,8,30.13100292610745,5.685913168400499,8.400339585960122
qwen,competition_balanced,9,30.598401415873,5.755459850581699,7.623252661712509
qwen,competition_balanced,10,26.514269332658102,6.995279979293282,8.099144903325811
qwen,competition_balanced,11,24.787265435159608,7.068523305025707,7.0225723156286
qwen,competition_balanced,12,24.471692044302365,7.66529715227229,5.944885187076865
qwen,competition_balanced,13,21.183294194672612,9.16299068883703,4.734446410336582
qwen,competition_balanced,14,19.669254641447246,9.069167115001257,3.277387332724282
qwen,competition_balanced,15,17.38063514749205,10.193044847709228,0.9755309766230444
qwen,competition_balanced,16,16.803317952214407,9.860545978008503,-7.23127277372048
qwen,competition_balanced,17,17.448520117911112,9.76442602182574,-11.431108125369029
qwen,competition_balanced,18,14.95313912740048,9.739954891966264,-16.230238141560292
qwen,competition_balanced,19,8.211738646578155,7.084990308702827,-20.787779776308433
qwen,competition_balanced,20,1.8294774359210462,5.402803589767721,-22.671940448570933
qwen,competition_balanced,21,-12.799719484255535,5.442880724136105,-22.356455799973695
qwen,competition_balanced,22,-39.6331768167733,6.068834703697374,-16.733701220846285
qwen,competition_balanced,23,-65.55652600914772,6.969876895958324,-9.85513670036801
qwen,competition_balanced,24,-84.3256325908611,3.4071047528459593,-5.2754519019804444
qwen,competition_balanced,25,-142.4513247804729,8.013384938942423,12.493123090207135
qwen,competition_balanced,26,-196.25867660373726,3.145715027757781,26.249498279762662
qwen,competition_balanced,27,4.624442220511308,-161.7511264183513,1.6220301437882028
qwen,direct_conflict,0,41.01305203007652,2.2701398887901445,8.417407653339517
qwen,direct_conflict,1,39.81594752496104,2.03129693619246,8.582180735915383
qwen,direct_conflict,2,39.78321035489625,2.884361696057158,9.312844817210323
qwen,direct_conflict,3,38.97464534698334,3.087012210291121,9.88581868024879
qwen,direct_conflict,4,37.327750652170224,3.8079001962477497,9.881255271253183
qwen,direct_conflict,5,34.264738761380144,4.293402387574334,9.711175300612112
qwen,direct_conflict,6,30.20571317601667,5.23225996989714,9.746675299385158
qwen,direct_conflict,7,31.260927456943104,5.192202007556501,8.937261997296494
qwen,direct_conflict,8,30.421229525847096,5.654912442580672,8.52247321207062
qwen,direct_conflict,9,30.666015264081814,5.732854658810095,7.734942896741695
qwen,direct_conflict,10,26.720118902372292,6.818986546169067,8.2151401030342
qwen,direct_conflict,11,25.361776702581036,6.899132820090757,6.892410790898824
qwen,direct_conflict,12,24.592336254229608,7.56747177538126,5.776992940940704
qwen,direct_conflict,13,21.889498994483247,8.894039035685378,4.400809869147004
qwen,direct_conflict,14,20.14800303629871,9.045912813322884,2.9500129947747142
qwen,direct_conflict,15,18.34424036017171,10.05657436828511,0.3634689010757861
qwen,direct_conflict,16,17.980938059304112,9.818247045194848,-8.56845989223793
qwen,direct_conflict,17,20.275671975705983,9.663771685274382,-13.344220810954889
qwen,direct_conflict,18,16.504584762469644,9.953645845278457,-17.970334969929027
