model,condition,layer,dimension_rank,hidden_dimension,z
qwen,clean,7,25,1361,0.5986642242155685
qwen,clean,7,26,185,0.8247852166519465
qwen,clean,7,27,735,-0.6684129350101136
qwen,clean,7,28,1360,-0.19912467731867295
qwen,clean,7,29,1229,0.5549332462335814
qwen,clean,7,30,580,1.0164764377437099
qwen,clean,7,31,1301,0.2148460225550334
qwen,clean,7,32,286,-0.31348560497818223
qwen,clean,8,1,609,-0.4954455305207666
qwen,clean,8,2,1421,0.45321481471436054
qwen,clean,8,3,553,-0.40647719400719784
qwen,clean,8,4,503,-0.12915311648631933
qwen,clean,8,5,1105,0.5216994157226924
qwen,clean,8,6,611,0.3591685223128771
qwen,clean,8,7,1272,-0.3977434673438301
qwen,clean,8,8,909,-0.009592550678939328
qwen,clean,8,9,1200,0.5470932082477479
qwen,clean,8,10,222,0.5790000251325139
qwen,clean,8,11,1395,0.025702190075447835
qwen,clean,8,12,633,-0.2500709566179178
qwen,clean,8,13,589,-0.2597764802800168
qwen,clean,8,14,592,0.07624099439639419
qwen,clean,8,15,1076,-0.3024044970670837
qwen,clean,8,16,526,-0.1410667698082321
qwen,clean,8,17,1423,0.6930757093721386
qwen,clean,8,18,713,0.12330318504940772
qwen,clean,8,19,793,-0.934005445238141
qwen,clean,8,20,518,-0.06235350940523119
qwen,clean,8,21,354,0.28126168352840414
qwen,clean,8,22,1248,-0.21470956414893172
qwen,clean,8,23,1161,0.37030567363384387
qwen,clean,8,24,83,-0.003479292563878722
qwen,clean,8,25,1361,0.5501068487466768
qwen,clean,8,26,185,1.1525308722493772
qwen,clean,8,27,735,-0.6892582965145697
qwen,clean,8,28,1360,-0.00918684603245462
qwen,clean,8,29,1229,0.5865287631153818
qwen,clean,8,30,580,0.8862844438177082
qwen,clean,8,31,1301,0.14006537592333387
qwen,clean,8,32,286,-0.3495147948627462
qwen,clean,9,1,609,-0.49423928508409914
qwen,clean,9,2,1421,0.4586155636442575
qwen,clean,9,3,553,-0.4073004639718699
qwen,clean,9,4,503,-0.14552964136209068
qwen,clean,9,5,1105,0.48215331742504225
qwen,clean,9,6,611,0.40709860652233054
qwen,clean,9,7,1272,-0.36268103903406945
qwen,clean,9,8,909,0.07372117982200178
qwen,clean,9,9,1200,0.5317384327984954
qwen,clean,9,10,222,0.5851574289908352
qwen,clean,9,11,1395,0.009121475645171968
qwen,clean,9,12,633,-0.1737237892308981
qwen,clean,9,13,589,-0.4412121318579448
qwen,clean,9,14,592,0.012227942443497262
qwen,clean,9,15,1076,-0.1895010806715674
qwen,clean,9,16,526,-0.21501967633440278
qwen,clean,9,17,1423,0.599152394378066
qwen,clean,9,18,713,0.1848281679121218
qwen,clean,9,19,793,-0.7172997680761947
qwen,clean,9,20,518,-0.15886641127289744
qwen,clean,9,21,354,0.23454107379572886
qwen,clean,9,22,1248,-0.23279814402370738
qwen,clean,9,23,1161,0.24052666281673438
qwen,clean,9,24,83,0.3522544649804755
qwen,clean,9,25,1361,0.3281918328868924
qwen,clean,9,26,185,1.0417194177739357
qwen,clean,9,27,735,-0.8867296998036872
qwen,clean,9,28,1360,0.23306187148218516
qwen,clean,9,29,1229,0.6086200290445333
qwen,clean,9,30,580,0.7289185693871709
qwen,clean,9,31,1301,-0.024630169968950927
qwen,clean,9,32,286,-0.3686887931571817
qwen,clean,10,1,609,-0.4380042711355307
qwen,clean,10,2,1421,0.3583459791116478
qwen,clean,10,3,553,-0.4095826579215561
qwen,clean,10,4,503,-0.15542915808983987
qwen,clean,10,5,1105,0.4427789787676626
qwen,clean,10,6,611,0.38481091459788186
qwen,clean,10,7,1272,-0.35715439021145784
qwen,clean,10,8,909,0.04635776154214346
qwen,clean,10,9,1200,0.4827898678591827
qwen,clean,10,10,222,0.5011804287924989
