model_key,window,layers,k,topology_score,preserve_distance_mean,structure_distance_mean,topology_separation,mechanism_accuracy,mechanism_macro_f1,downstream_corr,downstream_r2,composite_score,rank,rank_percentile
llama,L1_5,"[1, 2, 3, 4, 5]",500,0.7748321257821371,0.22516787421786286,0.1369186081303487,-0.08824926608751416,0.7272727272727273,0.7318067849324669,0.4631739572195544,0.16183490422894953,1.3434006566126857,14,67.5
llama,L2_6,"[2, 3, 4, 5, 6]",500,0.7563220319726923,0.24367796802730768,0.1621096339271809,-0.08156833410012679,0.7159090909090909,0.7222543941927327,0.48325622392566386,0.18037565066043393,1.3425695104810633,15,65.0
llama,L2_5,"[2, 3, 4, 5]",100,0.7483639114979932,0.2516360885020068,0.17389203861118652,-0.07774404989082029,0.7234848484848485,0.7221258640811564,0.48163349161227276,0.15432366476611348,1.33718944030374,16,62.5
llama,L3_6,"[3, 4, 5, 6]",100,0.7348994120115099,0.2651005879884901,0.1890720668014763,-0.07602852118701381,0.6742424242424242,0.6783676417479235,0.5328164307988467,0.17517393938032,1.3363969640431712,17,60.0
llama,L1_3,"[1, 2, 3]",500,0.7915886688635229,0.20841133113647714,0.11467941802758023,-0.0937319131088969,0.696969696969697,0.6993428014480646,0.47560960374977,0.16352364027788324,1.335756258590029,18,57.5
llama,L1_2,"[1, 2]",100,0.8110106183949769,0.1889893816050231,0.09483734028406318,-0.09415204132095992,0.678030303030303,0.6718266916558013,0.48880237457832965,0.17405129722546886,1.3340085621847932,19,55.0
llama,L1_6,"[1, 2, 3, 4, 5, 6]",500,0.7685442519737078,0.23145574802629224,0.14549672887594492,-0.08595901915034732,0.7083333333333334,0.7126995659669998,0.4713865798923436,0.17184576475144975,1.3315410426743286,20,52.5
llama,L2_5,"[2, 3, 4, 5]",500,0.7611577607451823,0.23884223925481768,0.15554707574411675,-0.08329516351070093,0.7121212121212122,0.7196238625862797,0.468198872382934,0.16370888709303932,1.3308370683479622,21,50.0
llama,L3_4,"[3, 4]",100,0.7376752767518396,0.26232472324816036,0.182260460031168,-0.08006426321699237,0.7234848484848485,0.7285422648153048,0.4738656014673391,0.15035097600146163,1.3307639314020352,22,47.5
llama,L3_5,"[3, 4, 5]",100,0.7373953822581734,0.26260461774182664,0.1858369242515906,-0.07676769349023604,0.6742424242424242,0.6805993979663311,0.5173608201163823,0.16654088345177953,1.3270658655952574,23,45.0
llama,L0_1,"[0, 1]",100,0.8944343798541211,0.10556562014587885,0.03358816248674367,-0.07197745765913519,0.6666666666666666,0.6266975200201959,0.45752949381884167,0.1441693662745469,1.3145988009982907,24,42.5
llama,L0_5,"[0, 1, 2, 3, 4, 5]",500,0.7936769429993098,0.20632305700069023,0.12103983260585843,-0.0852832243948318,0.7234848484848485,0.7284505154921104,0.4177110456240996,0.1529534108055025,1.313767720392623,25,40.0
llama,L0_2,"[0, 1, 2]",100,0.8550590902373588,0.14494090976264118,0.0692764204289335,-0.07566448933370767,0.6856060606060606,0.6716633496273611,0.43357876309713606,0.1516487268391914,1.311723235298277,26,37.5
llama,L0_1,"[0, 1]",500,0.8560934250987073,0.14390657490129272,0.052537130849755885,-0.09136944405153682,0.6590909090909091,0.6393510149752681,0.46519906301772357,0.18334409080851655,1.311686774943747,27,35.0
llama,L4_6,"[4, 5, 6]",100,0.7267251035639408,0.2732748964360591,0.19654160712278054,-0.07673328931327858,0.6060606060606061,0.6104649741032038,0.5744881089318141,0.1923026687970517,1.3113250182099847,28,32.5
llama,L1_2,"[1, 2]",500,0.8037668029548972,0.19623319704510275,0.09377475600595236,-0.10245844103915039,0.6893939393939394,0.6765915301125495,0.45805940978357895,0.15229176703119895,1.3096041533943514,29,30.0
llama,L1_4,"[1, 2, 3, 4]",500,0.7825122832207932,0.21748771677920675,0.12670530081243245,-0.0907824159667743,0.7234848484848485,0.7259481774264382,0.4213586164174986,0.13860776888134152,1.3091015766855463,30,27.5
llama,L3_4,"[3, 4]",500,0.7585773868179182,0.24142261318208186,0.16027631656739674,-0.08114629661468512,0.7083333333333334,0.7182885860749771,0.4401791732270973,0.14241557747546207,1.3060629008506188,31,25.0
llama,L0_3,"[0, 1, 2, 3]",500,0.8156015092175944,0.18439849078240558,0.096432763389212,-0.08796572739319358,0.6742424242424242,0.67816781239335,0.4435824352203081,0.1683150963387008,1.3052009526997237,32,22.5
llama,L4_5,"[4, 5]",100,0.7266976979412814,0.27330230205871864,0.1954544642622721,-0.07784783779644655,0.6060606060606061,0.6138893284802448,0.5568365691752645,0.18523738474951823,1.2999295670950481,33,20.0
llama,L0_4,"[0, 1, 2, 3, 4]",500,0.8035543206184458,0.19644567938155422,0.10969767454531675,-0.08674800483623747,0.7121212121212122,0.7160606966329327,0.3986810673234443,0.1397797502097725,1.2935705714743246,34,17.5
llama,L1_3,"[1, 2, 3]",100,0.7931850225109941,0.2068149774890059,0.11930556623845646,-0.08750941125054944,0.6818181818181818,0.6873157248157248,0.4322911003768229,0.13543348156967905,1.2922779714095352,35,15.0
llama,L0_3,"[0, 1, 2, 3]",100,0.8304651874508988,0.16953481254910116,0.09408380328682024,-0.07545100926228092,0.6742424242424242,0.6811958504331965,0.4054881716460966,0.12498466261216434,1.284579811388884,36,12.5
llama,L2_4,"[2, 3, 4]",500,0.7668838137015288,0.23311618629847117,0.14814154021627926,-0.08497464608219191,0.7121212121212122,0.7216294463346736,0.40162935574262487,0.12696494809569325,1.2820489485126032,37,10.0
llama,L0_2,"[0, 1, 2]",500,0.8317528228334267,0.1682471771665733,0.07641782139244112,-0.09182935577413219,0.6742424242424242,0.66176358709637,0.41051420090970153,0.1545723849072853,1.2736986418215706,38,7.5
llama,L2_3,"[2, 3]",500,0.7727998425709195,0.22720015742908053,0.14083865204525706,-0.08636150538382348,0.6590909090909091,0.6771028051064655,0.42978054212636324,0.1408129462549208,1.2719065990717229,39,5.0
llama,L2_3,"[2, 3]",100,0.7611166865358631,0.23888331346413696,0.15648866343632084,-0.08239465002781612,0.6893939393939394,0.690060609740056,0.25001276060240524,0.04256212359953493,1.1326170395419006,40,2.5
