model_key,window,layers,k,topology_score,preserve_distance_mean,structure_distance_mean,topology_separation,mechanism_accuracy,mechanism_macro_f1,downstream_corr,downstream_r2,composite_score,rank,rank_percentile
gemma,L8_9,"[8, 9]",100,0.7936045265112681,0.2063954734887319,0.10531741843694527,-0.10107805505178664,0.6022727272727273,0.6223562152133582,0.413501272732929,0.13919034477563208,1.225488253612664,58,43.0
gemma,L3_7,"[3, 4, 5, 6, 7]",100,0.8148029748731117,0.1851970251268883,0.08175988859671901,-0.10343713653016928,0.5568181818181818,0.5552797942389919,0.4618087420194531,0.20588932630499468,1.221072316443312,59,42.0
gemma,L7_10,"[7, 8, 9, 10]",500,0.8058512315529982,0.19414876844700177,0.09598061528237152,-0.09816815316463025,0.6818181818181818,0.691620056312428,0.3303659513852467,0.10708393955508055,1.2205144219346389,60,41.0
gemma,L5_10,"[5, 6, 7, 8, 9, 10]",100,0.8081342698549951,0.1918657301450049,0.09426735797021818,-0.09759837217478673,0.6515151515151515,0.6560122039975157,0.35812038329541845,0.11677489355950588,1.2153732047618448,61,40.0
gemma,L4_7,"[4, 5, 6, 7]",500,0.8254579638629931,0.17454203613700686,0.07938245398570785,-0.09515958215129901,0.5568181818181818,0.5562716743058999,0.4401890522532858,0.18885543966988438,1.2098975631788451,62,39.0
gemma,L3_10,"[3, 4, 5, 6, 7, 8, 9, 10]",500,0.8183745604455482,0.18162543955445176,0.08605199520656165,-0.09557344434789011,0.6515151515151515,0.6546693951818859,0.3369359194372528,0.10727049348178863,1.2024715319180852,63,38.0
gemma,L4_9,"[4, 5, 6, 7, 8, 9]",500,0.8182964796192209,0.18170352038077908,0.08612596996774201,-0.09557755041303707,0.6212121212121212,0.6212752252715249,0.3626556444196537,0.12228160759282669,1.1962929355625533,64,37.0
gemma,L4_6,"[4, 5, 6]",500,0.8316170468362131,0.16838295316378696,0.07341747823151729,-0.09496547493226967,0.4696969696969697,0.46916381490849574,0.4961156070631601,0.2258462106954291,1.1880320609954311,65,36.0
gemma,L2_5,"[2, 3, 4, 5]",500,0.8111166213288954,0.18888337867110458,0.07426220156815562,-0.11462117710294896,0.5833333333333334,0.592706929363601,0.38054362337907116,0.13674735034891172,1.1841587528585855,66,35.0
gemma,L0_4,"[0, 1, 2, 3, 4]",500,0.8859135473702329,0.1140864526297671,0.04830784017178664,-0.06577861245798047,0.5871212121212122,0.5951013623927315,0.3311641219041338,0.10455266070787983,1.1839691611226086,67,34.0
gemma,L2_4,"[2, 3, 4]",500,0.8170695659028228,0.1829304340971772,0.07661192459755552,-0.1063185094996217,0.5871212121212122,0.5960394837332516,0.3730998064321062,0.13421240409336177,1.1838462150836977,68,33.0
gemma,L1_5,"[1, 2, 3, 4, 5]",500,0.8442731955295137,0.15572680447048626,0.06204413320566122,-0.09368267126482505,0.5909090909090909,0.6014463494489163,0.3472972541545398,0.11536047374272873,1.181131480647522,69,32.0
gemma,L5_9,"[5, 6, 7, 8, 9]",100,0.8064116396180535,0.1935883603819465,0.09441880921461285,-0.09916955116733364,0.6515151515151515,0.6428440113981064,0.3278426008041705,0.10194967829780655,1.1797551095708483,70,31.0
gemma,L1_4,"[1, 2, 3, 4]",500,0.8574802746476398,0.1425197253523603,0.06011433586967595,-0.08240538948268435,0.5871212121212122,0.5944342277914149,0.34312946569223657,0.11261240356556257,1.178791092110741,71,30.0
gemma,L7_8,"[7, 8]",500,0.802674941740993,0.19732505825900706,0.10050354725615161,-0.09682151100285545,0.6818181818181818,0.689620891609842,0.2806907873181678,0.07838204487586875,1.1775868140129044,72,29.0
