model_key,window,layers,k,topology_score,preserve_distance_mean,structure_distance_mean,topology_separation,mechanism_accuracy,mechanism_macro_f1,downstream_corr,downstream_r2,composite_score,rank,rank_percentile
qwen,L8_10,"[8, 9, 10]",100,0.8721165199838826,0.12788348001611735,0.04766053058523439,-0.08022294943088296,0.6704545454545454,0.6762038774233896,0.7096939081713336,0.44233335730436874,1.5447764884677198,11,91.07142857142857
qwen,L0_5,"[0, 1, 2, 3, 4, 5]",100,0.7709027980224179,0.22909720197758215,0.06645964644999255,-0.1626375555275896,0.7310606060606061,0.7302277255800879,0.7143011974377598,0.4634709285597135,1.5410745374254873,12,90.17857142857143
qwen,L5_8,"[5, 6, 7, 8]",100,0.8359743560538551,0.16402564394614497,0.06266310466515103,-0.10136253928099394,0.7234848484848485,0.7265586214596805,0.6753199719873582,0.37021576841431525,1.5394900527845585,13,89.28571428571429
qwen,L2_7,"[2, 3, 4, 5, 6, 7]",100,0.8025891132819774,0.19741088671802268,0.0744698524100953,-0.12294103430792738,0.7196969696969697,0.7202156795271035,0.7010671330529411,0.4195960086344588,1.5383208067050242,14,88.39285714285714
qwen,L3_7,"[3, 4, 5, 6, 7]",100,0.8230712311223944,0.1769287688776055,0.07152460178580584,-0.10540416709179966,0.7121212121212122,0.7134917256245482,0.6930295834360997,0.4075926884105848,1.5367526628097155,15,87.5
qwen,L2_6,"[2, 3, 4, 5, 6]",100,0.791225744981963,0.20877425501803706,0.07839995019101785,-0.13037430482701923,0.7310606060606061,0.7314323097052258,0.6947778548784187,0.4210601447988167,1.5365810041578971,16,86.60714285714286
qwen,L8_11,"[8, 9, 10, 11]",100,0.8736502146629135,0.12634978533708646,0.04505220218011133,-0.08129758315697513,0.6553030303030303,0.6651895499984031,0.7089825107343141,0.4436809894754218,1.5361627559176305,17,85.71428571428571
qwen,L4_7,"[4, 5, 6, 7]",100,0.820733398462777,0.17926660153722299,0.07162890560941612,-0.10763769592780686,0.7234848484848485,0.7272966391223653,0.674135829161709,0.38141169881834436,1.5315126738586482,18,84.82142857142857
qwen,L6_7,"[6, 7]",100,0.8406595379488278,0.15934046205117222,0.05754849726795203,-0.1017919647832202,0.7121212121212122,0.7097342995169083,0.6767852464832311,0.373498521309928,1.5295454057745255,19,83.92857142857143
qwen,L3_6,"[3, 4, 5, 6]",100,0.8167829769412727,0.1832170230587274,0.07567770052076093,-0.10753932253796646,0.7159090909090909,0.7173719668130403,0.6835114753933753,0.40546042385097003,1.5290982422357688,20,83.03571428571429
qwen,L5_10,"[5, 6, 7, 8, 9, 10]",500,0.7968220236437904,0.20317797635620963,0.06073376072284033,-0.1424442156333693,0.696969696969697,0.700386002886003,0.7109592216702977,0.46050113247693036,1.527487191466936,21,82.14285714285714
qwen,L9_10,"[9, 10]",100,0.878332631615593,0.12166736838440691,0.04296096376220875,-0.07870640462219816,0.6439393939393939,0.6491275174649932,0.7105750775619306,0.4596728724973539,1.5269283918293355,22,81.25
qwen,L4_11,"[4, 5, 6, 7, 8, 9, 10, 11]",500,0.7949327363081885,0.20506726369181147,0.06326668029905128,-0.1418005833927602,0.6893939393939394,0.6922736159314357,0.7191548936803007,0.47322190289805444,1.5266091758434834,23,80.35714285714286
qwen,L1_5,"[1, 2, 3, 4, 5]",100,0.7661792334966506,0.23382076650334938,0.07485808366411215,-0.15896268283923723,0.7234848484848485,0.7180312265054646,0.7080345586069607,0.45117842611485726,1.5239422448382656,24,79.46428571428571
qwen,L8_12,"[8, 9, 10, 11, 12]",100,0.8734373611208608,0.1265626388791392,0.04291002319614591,-0.0836526156829933,0.6553030303030303,0.6668738848515243,0.6921167695638303,0.4156325182929246,1.523911204092714,25,78.57142857142857
qwen,L6_7,"[6, 7]",500,0.7763370376140898,0.22366296238591019,0.057661160516247395,-0.1660018018696628,0.7045454545454546,0.7021508960744162,0.7150650067827286,0.45779980704438406,1.5219412410927606,26,77.67857142857143
qwen,L5_9,"[5, 6, 7, 8, 9]",100,0.8464062382933848,0.15359376170661515,0.05828049359109085,-0.09531326811552429,0.696969696969697,0.7006273266584054,0.6726979240764727,0.36767302266286206,1.521863319734595,27,76.78571428571429
