"model_key","prompt_id","graph_id","condition","mechanism","real_align_mean","shuffle_align_mean","real_detour_ratio","shuffle_detour_ratio","real_curvature_sum","shuffle_curvature_sum","real_residual_ratio_mean","shuffle_residual_ratio_mean"
"gemma","g002_exception_override","2","exception_override","closure","0.5628906488418579","0.0035611032508313656","0.6164854764938354","1.4157603979110718","3.6255650520324707","6.495034217834473","0.7570037841796875","0.6010383367538452"
"gemma","g003_clean","3","clean","stable","0.6094433069229126","-0.017021548002958298","0.6214349865913391","1.237815499305725","3.6007938385009766","6.775705337524414","0.7232939600944519","0.5984174013137817"
"gemma","g003_rename","3","rename","stable","0.6112244725227356","-0.016947399824857712","0.5593282580375671","1.4236539602279663","3.6512656211853027","6.832967758178711","0.7238113284111023","0.5601733922958374"
"gemma","g003_permuted","3","permuted","stable","0.620206356048584","-0.024741340428590775","0.5936708450317383","1.2849841117858887","3.482530117034912","6.581887245178223","0.7171348333358765","0.5807810425758362"
"gemma","g003_redundant","3","redundant","stable","0.5779207944869995","-0.0009699463844299316","0.6521202325820923","1.245566964149475","3.743037700653076","6.7369384765625","0.7434843182563782","0.6204429864883423"
"gemma","g003_irrelevant","3","irrelevant","stable","0.580243706703186","-0.0036714435555040836","0.6293781995773315","1.3119474649429321","3.637558698654175","6.676587104797363","0.7444143295288086","0.607498288154602"
"gemma","g003_paraphrase","3","paraphrase","stable","0.796538770198822","-0.10761916637420654","0.3640846312046051","1.4852430820465088","3.179520606994629","6.764196395874023","0.5847941040992737","0.41544538736343384"
"gemma","g003_weak_distractor","3","weak_distractor","stable_shift","0.5909963846206665","-0.015066539868712425","0.6029874086380005","1.379958987236023","3.4269912242889404","6.461075782775879","0.7379032373428345","0.5863553285598755"
"gemma","g003_competition_balanced","3","competition_balanced","competition","0.5843034982681274","-0.004922091960906982","0.6115482449531555","1.3410537242889404","3.742828130722046","6.747837066650391","0.741734504699707","0.5978484153747559"
"gemma","g003_direct_conflict","3","direct_conflict","competition","0.6079555749893188","-0.008799267001450062","0.5753570795059204","1.3636081218719482","3.7314069271087646","6.837963104248047","0.726707398891449","0.5759913325309753"
"gemma","g003_closure_update","3","closure_update","closure","0.5785194635391235","-0.0062805889174342155","0.5871825814247131","1.541373610496521","3.5390398502349854","6.511224746704102","0.7479903101921082","0.5702130198478699"
"gemma","g003_closure_override","3","closure_override","closure","0.5464044213294983","0.014623761177062988","0.6807979941368103","1.2672219276428223","3.793916702270508","6.660143852233887","0.7652133703231812","0.6433660984039307"
"gemma","g003_exception_override","3","exception_override","closure","0.5580728650093079","0.0007602929836139083","0.6740019917488098","1.2647302150726318","3.5547738075256348","6.3944597244262695","0.7579893469810486","0.6357139348983765"
"gemma","g004_clean","4","clean","stable","0.6891320943832397","-0.07581646740436554","0.4581729471683502","1.5600073337554932","3.05368971824646","6.289644241333008","0.6717592477798462","0.47717398405075073"
"gemma","g004_rename","4","rename","stable","0.6837714910507202","-0.06850447505712509","0.47151514887809753","1.5338689088821411","3.1512210369110107","6.4422807693481445","0.6768755912780762","0.4879395067691803"
"gemma","g004_permuted","4","permuted","stable","0.6911489963531494","-0.07784771919250488","0.4543275535106659","1.5551146268844604","3.0241000652313232","6.271113395690918","0.6694420576095581","0.47499051690101624"
"gemma","g004_redundant","4","redundant","stable","0.6443328857421875","-0.045351576060056686","0.5034502148628235","1.5450900793075562","3.108717203140259","6.2725043296813965","0.7015060186386108","0.5125861167907715"
"gemma","g004_irrelevant","4","irrelevant","stable","0.6559465527534485","-0.060180652886629105","0.47863927483558655","1.6296889781951904","3.116917133331299","6.278895378112793","0.6924864053726196","0.48652610182762146"
"gemma","g004_paraphrase","4","paraphrase","stable","0.7727378606796265","-0.10547904670238495","0.3747308552265167","1.5747946500778198","3.0717551708221436","6.663135528564453","0.6028004884719849","0.4114210605621338"
"gemma","g004_weak_distractor","4","weak_distractor","stable_shift","0.6414783596992493","-0.06371977180242538","0.471711128950119","1.8594334125518799","3.2472972869873047","6.323907852172852","0.697799026966095","0.4529991149902344"
"gemma","g004_competition_balanced","4","competition_balanced","competition","0.6571466326713562","-0.07179321348667145","0.4629824757575989","1.7325674295425415","3.1439573764801025","6.2448272705078125","0.6935054063796997","0.4693126678466797"
"gemma","g004_direct_conflict","4","direct_conflict","competition","0.6457959413528442","-0.06487701088190079","0.47708025574684143","1.802099347114563","3.2119219303131104","6.286759376525879","0.7036070823669434","0.4702422022819519"
"gemma","g004_closure_update","4","closure_update","closure","0.6552631258964539","-0.06164325401186943","0.4922703504562378","1.5178236961364746","3.086080312728882","6.240564346313477","0.6925624012947083","0.5063620805740356"
"gemma","g004_closure_override","4","closure_override","closure","0.6085910201072693","-0.03080904483795166","0.5276308059692383","1.6055705547332764","3.3369998931884766","6.371821403503418","0.7233446836471558","0.5258299112319946"
"gemma","g004_exception_override","4","exception_override","closure","0.5942641496658325","-0.022113848477602005","0.5369166731834412","1.6946605443954468","3.383747100830078","6.3965044021606445","0.7328692078590393","0.5218929052352905"
"gemma","g005_clean","5","clean","stable","0.6207351684570312","-0.024201523512601852","0.5967837572097778","1.3179333209991455","3.4370555877685547","6.51899528503418","0.7270799279212952","0.5890336036682129"
"gemma","g005_rename","5","rename","stable","0.6327549815177917","-0.014959347434341908","0.5309974551200867","1.4358513355255127","3.8529863357543945","7.0960540771484375","0.7140383124351501","0.550517737865448"
"gemma","g005_permuted","5","permuted","stable","0.6289923787117004","-0.030373167246580124","0.5692870020866394","1.398681640625","3.444606304168701","6.550905227661133","0.7234851121902466","0.5695246458053589"
"gemma","g005_redundant","5","redundant","stable","0.6021755337715149","-0.008516645058989525","0.6085872054100037","1.314672827720642","3.5572872161865234","6.577581405639648","0.7387362122535706","0.6022542715072632"
"gemma","g005_irrelevant","5","irrelevant","stable","0.5944501757621765","-0.010634029284119606","0.623405933380127","1.291000247001648","3.477365493774414","6.517441749572754","0.7382828593254089","0.6062015891075134"
