"model_key","prompt_id","graph_id","condition","mechanism","real_align_mean","shuffle_align_mean","real_detour_ratio","shuffle_detour_ratio","real_curvature_sum","shuffle_curvature_sum","real_residual_ratio_mean","shuffle_residual_ratio_mean"
"llama","g003_clean","3","clean","stable","0.46328914165496826","0.3521979749202728","0.9489203691482544","1.0304665565490723","3.279506206512451","4.199928283691406","0.698750913143158","0.66988605260849"
"llama","g003_rename","3","rename","stable","0.5061917901039124","0.348618745803833","0.9247286915779114","1.0312550067901611","2.9711856842041016","4.335219383239746","0.708449125289917","0.6669473052024841"
"llama","g003_permuted","3","permuted","stable","0.4566868543624878","0.34660401940345764","0.9555692076683044","1.0326882600784302","3.250277042388916","4.188804626464844","0.7015312314033508","0.6744398474693298"
"llama","g003_redundant","3","redundant","stable","0.4876061975955963","0.34784996509552","0.9351630210876465","1.0203769207000732","3.1110496520996094","4.2655029296875","0.692389190196991","0.6585971713066101"
"llama","g003_irrelevant","3","irrelevant","stable","0.4600721299648285","0.3390847146511078","0.9542462229728699","1.034271240234375","3.1984994411468506","4.185140609741211","0.6992747187614441","0.6722922921180725"
"llama","g003_paraphrase","3","paraphrase","stable","0.41155627369880676","0.37395569682121277","1.0147243738174438","1.076577067375183","3.747185230255127","3.9985733032226562","0.7226948142051697","0.7134680151939392"
"llama","g003_weak_distractor","3","weak_distractor","stable_shift","0.47964128851890564","0.34229564666748047","0.9408384561538696","1.029609203338623","3.1314871311187744","4.221859455108643","0.6972148418426514","0.6656789183616638"
"llama","g003_competition_balanced","3","competition_balanced","competition","0.48071107268333435","0.34727931022644043","0.9400121569633484","1.026278018951416","3.140286445617676","4.224210262298584","0.6984861493110657","0.6666774749755859"
"llama","g003_direct_conflict","3","direct_conflict","competition","0.4942140579223633","0.33767738938331604","0.9289863705635071","1.0321033000946045","3.0607495307922363","4.296174049377441","0.6919429898262024","0.6546858549118042"
"llama","g003_closure_update","3","closure_update","closure","0.49761655926704407","0.339395672082901","0.932512640953064","1.0194168090820312","2.9890928268432617","4.267551422119141","0.6935558915138245","0.6597101092338562"
"llama","g003_closure_override","3","closure_override","closure","0.4669266939163208","0.33438876271247864","0.958850622177124","1.0292859077453613","2.959221839904785","4.227982997894287","0.7092525362968445","0.6801272034645081"
"llama","g003_exception_override","3","exception_override","closure","0.4757789075374603","0.3297822177410126","0.9489237070083618","1.0355585813522339","3.0352158546447754","4.214849472045898","0.702039897441864","0.6721476912498474"
"llama","g004_clean","4","clean","stable","0.4518154561519623","0.3616458475589752","0.9866899847984314","1.0494471788406372","3.231509208679199","4.377250671386719","0.7258986830711365","0.6861686706542969"
"llama","g004_rename","4","rename","stable","0.5158402323722839","0.3822570741176605","0.9211210608482361","0.9989823698997498","3.0889477729797363","4.284948825836182","0.7025962471961975","0.6689966320991516"
"llama","g004_permuted","4","permuted","stable","0.41983136534690857","0.3367420732975006","1.020702838897705","1.0859904289245605","2.903707981109619","4.4007887840271","0.7431977391242981","0.6942029595375061"
"llama","g004_redundant","4","redundant","stable","0.44630002975463867","0.3355811834335327","0.9842318296432495","1.068903923034668","2.9400200843811035","4.393716812133789","0.7315289378166199","0.6867332458496094"
