prompt_id,graph_id,chord_alignment,detour_ratio,turning_curvature
ng17_direct_conflict,17,0.087531574,3.1762326,1.6066996
ng17_closure_update,17,0.087013245,3.1802886,1.6124114
ng17_closure_override,17,0.08655148,3.1357017,1.6107751
ng17_exception_override,17,0.08498628,3.2435076,1.6098146
ng18_clean,18,0.08344869,3.418968,1.6138124
ng18_permuted,18,0.08226384,3.5278265,1.6139077
ng18_redundant,18,0.0891101,3.0739453,1.6060109
ng18_irrelevant,18,0.0862926,3.3538237,1.6132932
ng18_weak_distractor,18,0.08611855,3.327912,1.6103944
ng18_competition_balanced,18,0.08556082,3.3995824,1.6094978
ng18_direct_conflict,18,0.08573989,3.4209776,1.606755
ng18_closure_update,18,0.08687275,3.2304914,1.6107368
ng18_closure_override,18,0.08830595,3.1986759,1.6102114
ng18_exception_override,18,0.08691387,3.2858,1.610021
ng19_clean,19,0.08111463,3.3794308,1.6156043
ng19_permuted,19,0.08457157,3.31477,1.616431
ng19_redundant,19,0.08652005,3.0756104,1.607802
ng19_irrelevant,19,0.086347416,3.2242217,1.6093849
ng19_weak_distractor,19,0.08510196,3.3381016,1.6117847
ng19_competition_balanced,19,0.08531472,3.2391102,1.6121889
ng19_direct_conflict,19,0.0858428,3.2242815,1.614006
ng19_closure_update,19,0.086130545,3.145282,1.6133558
ng19_closure_override,19,0.08858667,3.0651934,1.6151675
ng19_exception_override,19,0.08510688,3.2368855,1.6146342
ng20_clean,20,0.08204389,3.277922,1.6159555
ng20_permuted,20,0.084682696,3.187379,1.614764
ng20_redundant,20,0.08921427,2.9660301,1.6082445
ng20_irrelevant,20,0.085950494,3.1973906,1.6065484
ng20_weak_distractor,20,0.08522954,3.2451599,1.6078798
ng20_competition_balanced,20,0.08584547,3.1251433,1.6115193
ng20_direct_conflict,20,0.08587133,3.0887742,1.610664
ng20_closure_update,20,0.08837891,2.9345846,1.6137034
ng20_closure_override,20,0.086104386,3.1505494,1.613917
ng20_exception_override,20,0.08513966,3.175203,1.6119516
ng21_clean,21,0.08340808,3.3816562,1.6154112
ng21_permuted,21,0.083965346,3.3618886,1.6167852
ng21_redundant,21,0.09048701,3.0649343,1.6044817
ng21_irrelevant,21,0.08594684,3.2771912,1.6106948
ng21_weak_distractor,21,0.08715896,3.3146996,1.6109476
ng21_competition_balanced,21,0.08537568,3.2919564,1.6069815
ng21_direct_conflict,21,0.08763012,3.2263744,1.6037937
ng21_closure_update,21,0.091161035,3.0479922,1.6140013
ng21_closure_override,21,0.08916293,3.1631575,1.6100913
ng21_exception_override,21,0.08565107,3.2596128,1.6086268
ng22_clean,22,0.084873095,3.2276063,1.6183476
ng22_permuted,22,0.08762966,3.1565876,1.6157545
ng22_redundant,22,0.09152945,2.9388363,1.6082226
ng22_irrelevant,22,0.08887554,3.107441,1.6137136
ng22_weak_distractor,22,0.0886836,3.1789165,1.6132958
ng22_competition_balanced,22,0.08596361,3.177941,1.6047151
ng22_direct_conflict,22,0.08792148,3.0797508,1.6051956
ng22_closure_update,22,0.08907581,3.0109456,1.6152563
ng22_closure_override,22,0.08798706,3.0951986,1.6074637
ng22_exception_override,22,0.08581737,3.2152464,1.6089116
ng23_clean,23,0.08017026,3.4516733,1.6208656
ng23_permuted,23,0.081763975,3.4344783,1.6193967
ng23_redundant,23,0.09042951,3.0524657,1.6100565
ng23_irrelevant,23,0.08515284,3.2501717,1.6114951
ng23_weak_distractor,23,0.0845805,3.3696063,1.6102345
ng23_competition_balanced,23,0.08511314,3.2403936,1.611768
ng23_direct_conflict,23,0.08558211,3.214764,1.6104683
ng23_closure_update,23,0.08838347,3.0986118,1.6151559
ng23_closure_override,23,0.0857366,3.1693542,1.6143113
ng23_exception_override,23,0.08389543,3.2778563,1.6128545
