model,cutoff_layer,n_observed_layers,shuffle_id,permutation,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy
qwen,22,3,10,independent_within_prompt_precurrent,0.38747284716225505,1.916199069866567,0.6339029134826911,0.6303330862828904,0.7856908649747525,0.6667730594498236,0.1976096538983221,0.803448275862069
qwen,22,3,11,independent_within_prompt_precurrent,0.3811104323614706,1.9297272272794839,0.630091593613778,0.6281974039038412,0.7918552036199095,0.6833345972941957,0.19154102402621148,0.8103448275862069
qwen,22,3,12,independent_within_prompt_precurrent,0.3844877819693827,1.9102031241013515,0.6349382247630535,0.6319265449592066,0.7899534395698078,0.6634431338566271,0.1868598010826083,0.8206896551724138
qwen,22,3,13,independent_within_prompt_precurrent,0.3790844743805152,1.9213966275824543,0.6277897442521803,0.6333627981246126,0.7903469079939668,0.6813703317147001,0.19625078433219334,0.8103448275862069
qwen,22,3,14,independent_within_prompt_precurrent,0.3847957169572499,1.9417442042309485,0.6331828328015,0.6389525734194377,0.7925765623975343,0.6318830355499666,0.18720785875725948,0.8137931034482758
qwen,22,3,15,independent_within_prompt_precurrent,0.3793738900335164,1.9391648927702845,0.6295063893924844,0.6289681783415283,0.7909371106302052,0.6844748271008352,0.19438770612171655,0.803448275862069
qwen,22,3,16,independent_within_prompt_precurrent,0.38705639664134683,1.941080896440687,0.6360707548567333,0.6331974740192421,0.7979539641943734,0.6585709217445709,0.1930586631994292,0.8
qwen,22,3,17,independent_within_prompt_precurrent,0.3886625772394807,1.9269408229502947,0.6345503671350785,0.6319841131744696,0.7946750606597154,0.6673614254746182,0.19065985464059218,0.7965517241379311
qwen,22,3,18,independent_within_prompt_precurrent,0.3708613904184417,1.9669751462806406,0.6244594096210433,0.6246633551335335,0.7809036658141518,0.6213905094539381,0.19570379176532438,0.8137931034482758
qwen,22,3,19,independent_within_prompt_precurrent,0.38443034626428707,1.9325252199325869,0.6335520333880026,0.6343574489549888,0.7914617351957506,0.6209539729691772,0.18695961704240024,0.803448275862069
qwen,22,3,20,independent_within_prompt_precurrent,0.3814915226937271,1.927062687916621,0.6338677324278622,0.6286717266347256,0.7921175159026821,0.6686666588046135,0.19186390999141162,0.8137931034482758
qwen,22,3,21,independent_within_prompt_precurrent,0.3848236967909451,1.9212555660821495,0.6325368266715169,0.6327416026394036,0.799003213325464,0.6686314883513265,0.18740013159965843,0.8413793103448276
qwen,22,3,22,independent_within_prompt_precurrent,0.38472416873266324,1.919412355185219,0.6326546246937202,0.6316020471988144,0.7855597088333661,0.674265396251017,0.19505372129138243,0.8172413793103448
qwen,22,3,23,independent_within_prompt_precurrent,0.3759955864461011,1.9481867179285401,0.6280547312576273,0.6269126978350248,0.7800511508951407,0.6102924445162424,0.1908249602698453,0.8068965517241379
qwen,22,3,24,independent_within_prompt_precurrent,0.39303958450039844,1.9228935949388795,0.6389067739410978,0.6363622497506197,0.7962489343563512,0.6675372089492597,0.18993273219896245,0.8
qwen,22,3,25,independent_within_prompt_precurrent,0.3764598857414967,1.949202033626658,0.6306832514129319,0.6285853743118313,0.7840514132074234,0.6308233488056605,0.19750024612076458,0.8068965517241379
qwen,22,3,26,independent_within_prompt_precurrent,0.384434189464424,1.9310695186232107,0.6326395887359072,0.6303842580297908,0.7914617351957506,0.6585452332828973,0.18992583600057653,0.803448275862069
qwen,22,3,27,independent_within_prompt_precurrent,0.37749631392132854,1.9423129660641665,0.6286351914528939,0.6265060300579752,0.7848383500557414,0.6303546138116507,0.19344149181817477,0.8103448275862069
qwen,22,3,28,independent_within_prompt_precurrent,0.3864644036517092,1.9465416495547399,0.6363930080845838,0.6347687910743034,0.7887730342973309,0.6535364701093035,0.19346335481078952,0.8172413793103448
qwen,22,3,29,independent_within_prompt_precurrent,0.38207390873763813,1.9260407999702214,0.631404172974925,0.6297999652466735,0.7980195422650667,0.6886050947317219,0.19021535070022894,0.8310344827586207
qwen,22,3,30,independent_within_prompt_precurrent,0.3918295311254535,1.9184293871412115,0.6377192583625177,0.6387838050618719,0.8034625221325989,0.6570010321871453,0.18919283124328592,0.8068965517241379
qwen,22,3,31,independent_within_prompt_precurrent,0.37757904230816675,1.9687022608871263,0.6295209702891357,0.6244254557140495,0.7744114368155289,0.5891999392752144,0.1963299147309362,0.7965517241379311
qwen,22,3,32,independent_within_prompt_precurrent,0.38695095733696516,1.9145077538052861,0.6343727921744523,0.6320288884530074,0.7913961571250573,0.6840058640639459,0.1949270082842618,0.8413793103448276
qwen,22,3,33,independent_within_prompt_precurrent,0.3834775383301101,1.9333804191557482,0.6333633799324466,0.6326788680458478,0.7913305790543642,0.6717984473549008,0.1928119827609297,0.8137931034482758
qwen,22,3,34,independent_within_prompt_precurrent,0.3806377160374119,1.9415157515508812,0.6327062957935491,0.632709128261563,0.79165846940783,0.6748362913361383,0.19380181793843032,0.8172413793103448
qwen,22,3,35,independent_within_prompt_precurrent,0.3786860566081005,1.9387371701071916,0.6287219969935663,0.6283356660276778,0.7952652632959539,0.6709508172872182,0.18915637102975952,0.8103448275862069
qwen,22,3,36,independent_within_prompt_precurrent,0.3961627251999511,1.9382031147250725,0.6430413451315732,0.6431274991160698,0.7951996852252606,0.6360342827063388,0.18869325744261545,0.8068965517241379
qwen,22,3,37,independent_within_prompt_precurrent,0.37586360521674433,1.948902144587033,0.6273885790599442,0.6258380911501168,0.7955931536494196,0.6491916678715667,0.18616709775905882,0.8172413793103448
qwen,22,3,38,independent_within_prompt_precurrent,0.3845616718178976,1.9274072841112229,0.6328111425597002,0.6318554457531768,0.796117778214965,0.6859193670377276,0.19095444664082364,0.8137931034482758
qwen,22,3,39,independent_within_prompt_precurrent,0.39732709171239056,1.9114882995362066,0.641158493801337,0.6380607581188901,0.7971014492753623,0.680445513201772,0.19266135102736728,0.8137931034482758
qwen,22,3,40,independent_within_prompt_precurrent,0.3715807842556903,1.9487006297061467,0.6254332798461485,0.6222083413723849,0.7740179683913699,0.5991870251831621,0.19269890102227938,0.8275862068965517
qwen,22,3,41,independent_within_prompt_precurrent,0.38444518884564527,1.9245061386193842,0.6335057266241159,0.6313329034915593,0.7969047150632829,0.6759261035595963,0.18989425522079334,0.8103448275862069
qwen,22,3,42,independent_within_prompt_precurrent,0.377375517812958,1.9410026747424,0.6284413690295463,0.6298818892453169,0.7841825693488097,0.6480126470149944,0.1933420786645109,0.8137931034482758
qwen,22,3,43,independent_within_prompt_precurrent,0.3976170429079131,1.9055884154440759,0.6408221609107386,0.640492400168714,0.8038559905567578,0.6580320411873686,0.1798219049456206,0.8413793103448276
qwen,22,3,44,independent_within_prompt_precurrent,0.3719536503143046,1.9332188957151277,0.6256360792793143,0.6227825474169305,0.7881172535903994,0.6877468287446437,0.18821072825449506,0.8413793103448276
