model,cutoff_layer,n_observed_layers,observed_layers,feature_set,n_train,n_test,n_test_graphs,n_features,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy,r2_ci_low,r2_ci_high,mae_ci_low,mae_ci_high,pearson_r_ci_low,pearson_r_ci_high,spearman_rho_ci_low,spearman_rho_ci_high,boundary_auroc_ci_low,boundary_auroc_ci_high,boundary_average_precision_ci_low,boundary_average_precision_ci_high,boundary_brier_ci_low,boundary_brier_ci_high,boundary_accuracy_ci_low,boundary_accuracy_ci_high,order_null_r2_mean,order_null_r2_sd,order_null_r2_q95,real_r2_vs_order_null_z,real_r2_exceeds_order_null_q95
qwen,23,4,20;21;22;23,ordered_R_history,670,290,29,7,0.4138946575580642,1.8792193222252567,0.6614306656030822,0.6581702705786848,0.7762476227949373,0.6568361395282794,0.20423956568299598,0.7931034482758621,0.2846993855701566,0.5378679325778655,1.6244719960419862,2.1526390648110962,0.5932857866675001,0.7425592501633088,0.5892223580262838,0.7490806225903941,0.7167907021516258,0.8601461393666494,0.56744873093457,0.788356708220206,0.1635705145917808,0.24143732424062542,0.737844827586207,0.8449137931034483,0.4099241166164726,0.006824855987831906,0.41980573044883,0.5817765164086562,False
qwen,23,4,20;21;22;23,ordered_R_dR_history,670,290,29,14,0.6701249489274694,1.4091950186071855,0.8246919127169284,0.835925420175737,0.9531116794543906,0.8804216402485384,0.10061563455800579,0.8896551724137931,0.5858484481342344,0.7455799716994543,1.1672150378470647,1.648837178438902,0.7820188416131495,0.8711639775843024,0.7877795506375579,0.8825893450757899,0.9275578187132086,0.9771156143882487,0.8310914439390731,0.9349729666873727,0.0738014135193293,0.13306843514322556,0.8517241379310345,0.9275862068965517,,,,,False
qwen,24,5,20;21;22;23;24,current_R,670,290,29,1,0.5217560374870645,1.722574822619877,0.7283000968656107,0.70774659065864,0.8299560626926357,0.6758620770123143,0.18410062196524943,0.8103448275862069,0.40065030833876353,0.6221429971164478,1.5322441628981764,1.9229228703893158,0.6651013074076071,0.7962850005157761,0.6406236195886333,0.7896782448371993,0.7871531935781936,0.889350702075702,0.6159756706790275,0.7741869521826981,0.14117117500134158,0.23122795020622045,0.7586206896551724,0.8620689655172413,,,,,False
qwen,24,5,20;21;22;23;24,ordered_R_history,670,290,29,7,0.5743321107605314,1.619664154118026,0.762230934783377,0.7436733392889461,0.8571709620302972,0.6579924920952076,0.1753307852039809,0.8,0.4392289026443647,0.6725485049097875,1.4382935501088538,1.8298760076524065,0.6970025383563838,0.8277696789270517,0.6692119557873953,0.8215943407185957,0.8128337809613918,0.9074026431856169,0.6047470374052661,0.7482780297232947,0.1252045066498191,0.23132894827912545,0.734396551724138,0.8586206896551725,0.5363642608344051,0.005609428175876396,0.5459541121986264,6.768577604649385,True
qwen,24,5,20;21;22;23;24,ordered_R_dR_history,670,290,29,14,0.8059857420183008,1.0501423970449286,0.8984256584463322,0.8994585882047578,0.977047675257394,0.9457820390592522,0.0837777008241276,0.9206896551724137,0.7188689515088348,0.875833213989824,0.8371558940058872,1.282605231584837,0.8598109771223702,0.9395396874530961,0.8555860853285349,0.9371622856222686,0.9563794614138722,0.9946518402914318,0.8969351679997998,0.9849519341441532,0.06149905133872221,0.10926296378895509,0.8827586206896552,0.9552586206896552,,,,,False
qwen,25,6,20;21;22;23;24;25,current_R,670,290,29,1,0.15973138399361242,2.1883503415930146,0.43367312835233757,0.43186543407386635,0.646337464751787,0.5152526460449244,0.24284879165302486,0.8172413793103448,0.00020536755473526489,0.2861346278502964,1.94141369890107,2.4795918356712567,0.34970582881496015,0.5469902705406418,0.348312141200409,0.5809296483876288,0.584354583714053,0.7393070664547129,0.41063858434393596,0.651183958943175,0.21029060698027618,0.2738499148681479,0.7586206896551724,0.8689655172413793,,,,,False
qwen,25,6,20;21;22;23;24;25,ordered_R_history,670,290,29,7,0.8425063014203826,0.9859863246882477,0.9180628190801674,0.9157875418442729,0.9839989507508689,0.9577801508583882,0.06288046484704554,0.9137931034482759,0.7967319088545447,0.8783272187000963,0.874539845619628,1.0878475155762994,0.8949548429107662,0.9388103931720422,0.8897561674071494,0.9404967225074485,0.9736420736165318,0.9934980482393551,0.933085911383903,0.9829630728916665,0.04325518886865434,0.08577623954456161,0.8827586206896552,0.9413793103448276,0.5852824061360138,0.012039361064884546,0.6056928887734384,21.365244708427188,True
qwen,25,6,20;21;22;23;24;25,ordered_R_dR_history,670,290,29,14,0.8844537434386469,0.8510540331150255,0.9411286376280505,0.9381114624475788,0.9894419306184011,0.969423599263073,0.052850337217442346,0.9241379310344827,0.8468131838617957,0.9132784633954764,0.7454420148912032,0.9621468901117982,0.9226478265598134,0.9573844941122338,0.9170043442107595,0.9573656198879482,0.9834412050881752,0.9953824636472265,0.9526787093387504,0.9866720919723573,0.03643484931667455,0.0707976003347147,0.9,0.9482758620689655,,,,,False
llama,12,1,12,current_R,670,290,29,1,-0.0020356775669956306,0.7616624679946679,0.004892708471299747,-0.03610155822671945,0.4794542281453276,0.654351568341798,0.25023901837555185,0.6586206896551724,-0.12884737054718715,0.016483883763354055,0.6641460890530603,0.8701422754065012,-0.3023817818831952,0.2564712891494514,-0.3651207945557422,0.23625122792472378,0.31815786245051814,0.6285677602954217,0.47744897752416243,0.8144669482006159,0.24825229952645966,0.2520597713734195,0.5344827586206896,0.7689655172413793,,,,,False
llama,12,1,12,ordered_R_history,670,290,29,7,-0.002072015095619717,0.7616392745893674,0.004892708471299744,-0.03610155822671945,0.4794542281453276,0.654351568341798,0.25025035202185153,0.6586206896551724,-0.1422812665359146,0.01910320812706856,0.6648895020094561,0.8797891738670227,-0.28472437940896184,0.27621406184040126,-0.35255975386177435,0.2540631572279656,0.3212670902902838,0.6401534122944205,0.48036271653533114,0.821224202292428,0.24825612227867863,0.25195647845669683,0.5275862068965518,0.7793965517241379,,,,,False
