control,layer,mean_alpha,mean_beta,mean_policy_conf,most_common_action,batch_size,mean_norm_ratio,min_norm_ratio,max_norm_ratio,mean_delta_norm_ratio,all_finite,model,random_seed,mean_operator_component_norm,mean_random_operator_component_norm,mean_precursor_component_norm,mean_random_precursor_component_norm,operator_component_norm_abs_error,precursor_component_norm_abs_error,mean_structured_total_ratio,mean_random_total_ratio,mean_total_norm_ratio
policy_boundary_guarded,18,0.0,0.0,0.9967923515308134,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.9960373288477284,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.2249755859375,0.1500244140625,0.7912029217273637,a0.0_b0.0_confidence_gate_gate,4,1.003191590309143,1.0,1.0127664804458618,0.1055799946188926,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.2249755859375,0.1500244140625,0.7967719917400853,a0.0_b0.0_confidence_gate_gate,4,0.9532411694526672,0.8129646182060242,1.0,0.1276436150074005,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.25,0.300048828125,0.7962547535120369,a0.0_b0.0_confidence_gate_gate,4,0.9844082593917848,0.937632977962494,1.0,0.1345052421092987,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.2249755859375,0.1500244140625,0.7951635993840297,a0.0_b0.0_confidence_gate_gate,4,0.9571025371551514,0.8284100294113159,1.0,0.1361799389123916,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.2249755859375,0.1500244140625,0.8009159501045655,a0.0_b0.0_confidence_gate_gate,4,1.0117782354354858,1.0,1.0471128225326538,0.1476408392190933,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.5,0.60009765625,0.6478583173156927,a0.0_b0.0_confidence_gate_gate,4,1.0085078477859497,1.0,1.021315336227417,0.2424964904785156,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.5,0.60009765625,0.6507856239295574,a0.0_b0.0_confidence_gate_gate,4,0.8937821388244629,0.7848808765411377,1.0,0.2919285595417022,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.5,0.60009765625,0.6643560770457496,a0.0_b0.0_confidence_gate_gate,4,0.9611966609954834,0.9197221994400024,1.0,0.279935359954834,True,qwen,,,,,,,,,,
