"model","condition_label","condition_short","layer","R_mean","R_sd","n","R_z","R_z_clip"
"Gemma","Direct negative","Direct-",21,-18.5051929122872,20.6515753108802,72,-1.61498793659011,-1.61498793659011
"Gemma","Direct negative","Direct-",22,-31.2970547046926,29.0440006111056,72,-2.99053814776214,-2.5
"Gemma","Direct negative","Direct-",23,-22.9214219252268,43.4020479597047,72,-2.08987930501779,-2.08987930501779
"Gemma","Direct negative","Direct-",24,-25.4366285933389,65.1395852743424,72,-2.36034760115877,-2.36034760115877
"Gemma","Direct negative","Direct-",25,-3.42084650860892,0.710503095634175,72,0.0070805486471674,0.0070805486471674
"Gemma","Exception negative","Exception-",0,1.69665912869904,7.73157855847953,72,0.557382457338232,0.557382457338232
"Gemma","Exception negative","Exception-",1,1.46806036101447,5.63357925817428,72,0.532800493565855,0.532800493565855
"Gemma","Exception negative","Exception-",2,0.456381655401654,2.14808470144899,72,0.424011415030769,0.424011415030769
"Gemma","Exception negative","Exception-",3,1.8370927642617,2.30325152161895,72,0.57248373971517,0.57248373971517
"Gemma","Exception negative","Exception-",4,1.38415212598112,1.850818981347,72,0.523777570062434,0.523777570062434
"Gemma","Exception negative","Exception-",5,1.42639953725868,3.14092301572876,72,0.528320570639475,0.528320570639475
"Gemma","Exception negative","Exception-",6,1.44174331592189,1.67825367177291,72,0.529970536713443,0.529970536713443
"Gemma","Exception negative","Exception-",7,1.19389352533552,1.16704010199847,72,0.503318448275274,0.503318448275274
"Gemma","Exception negative","Exception-",8,1.42096613099178,1.11990003643219,72,0.52773629891585,0.52773629891585
"Gemma","Exception negative","Exception-",9,0.623614309562577,2.90777976148815,72,0.441994482427768,0.441994482427768
"Gemma","Exception negative","Exception-",10,0.541191865172651,3.61213037068657,72,0.433131330790749,0.433131330790749
"Gemma","Exception negative","Exception-",11,0.864281778534253,3.95343814949415,72,0.467874232626661,0.467874232626661
"Gemma","Exception negative","Exception-",12,-1.06333129273521,5.12656564603821,72,0.260591773648181,0.260591773648181
"Gemma","Exception negative","Exception-",13,0.889371941486994,5.01710870120257,72,0.470572258880234,0.470572258880234
"Gemma","Exception negative","Exception-",14,-0.402875494211912,6.85135292926133,72,0.331612718673391,0.331612718673391
"Gemma","Exception negative","Exception-",15,-1.58797885560327,5.83605994315076,72,0.204174726809658,0.204174726809658
"Gemma","Exception negative","Exception-",16,-0.488200498951806,7.15833025125106,72,0.322437445347823,0.322437445347823
"Gemma","Exception negative","Exception-",17,-0.944721668958664,6.7267368611263,72,0.273346249554864,0.273346249554864
"Gemma","Exception negative","Exception-",18,-14.8431858023008,9.09341726924814,72,-1.22120048522428,-1.22120048522428
"Gemma","Exception negative","Exception-",19,-25.9235168298086,11.5322822554066,72,-2.41270426568204,-2.41270426568204
"Gemma","Exception negative","Exception-",20,-25.802411350939,14.0035862162255,72,-2.39968140241659,-2.39968140241659
"Gemma","Exception negative","Exception-",21,-25.3674235608843,18.9690938381623,72,-2.35290576051415,-2.35290576051415
"Gemma","Exception negative","Exception-",22,-41.2322795920902,26.9851552291458,72,-4.05890496673567,-2.5
"Gemma","Exception negative","Exception-",23,-37.5278050502141,39.5113808827718,72,-3.66055085526581,-2.5
"Gemma","Exception negative","Exception-",24,-41.2189760870404,61.6243919794223,72,-4.05747439787263,-2.5
"Gemma","Exception negative","Exception-",25,-5.93315944406721,0.702925387399445,72,-0.263076575075948,-0.263076575075948
"Gemma","Update negative","Update",0,1.69334515266948,7.86928326402073,72,0.557026094792948,0.557026094792948
"Gemma","Update negative","Update",1,1.45394148429235,5.77497237774681,72,0.531282245153559,0.531282245153559
"Gemma","Update negative","Update",2,0.396716432438956,2.30362307327491,72,0.41759542091061,0.41759542091061
"Gemma","Update negative","Update",3,1.73497092475494,2.35711115530963,72,0.561502248500013,0.561502248500013
"Gemma","Update negative","Update",4,1.37909871339798,1.8161587455553,72,0.523234160286853,0.523234160286853
"Gemma","Update negative","Update",5,1.39448086420695,3.15656437862974,72,0.524888252641581,0.524888252641581
"Gemma","Update negative","Update",6,1.34943723223276,1.57931903596752,72,0.520044565422349,0.520044565422349
"Gemma","Update negative","Update",7,1.19537697980801,1.09132822778532,72,0.50347796892567,0.50347796892567
"Gemma","Update negative","Update",8,1.44248689669702,1.12810240621179,72,0.530050496355663,0.530050496355663
"Gemma","Update negative","Update",9,0.60519441548321,2.84109200320324,72,0.440013731728469,0.440013731728469
"Gemma","Update negative","Update",10,0.720621410343382,3.69622185939554,72,0.452425969269147,0.452425969269147
"Gemma","Update negative","Update",11,1.19610806968477,3.60767033261399,72,0.503556585381248,0.503556585381248
"Gemma","Update negative","Update",12,-1.00417655458053,5.1207464817816,72,0.266952873688271,0.266952873688271
"Gemma","Update negative","Update",13,0.619982920587063,4.9144270214089,72,0.441603987443286,0.441603987443286
"Gemma","Update negative","Update",14,-1.11006639566686,6.01387165208669,72,0.255566197094113,0.255566197094113
"Gemma","Update negative","Update",15,-2.30215944018629,6.97540679223003,72,0.127376582029718,0.127376582029718
"Gemma","Update negative","Update",16,0.262101409335931,6.74097640615889,72,0.403119832723265,0.403119832723265
"Gemma","Update negative","Update",17,0.471745444668664,6.27565546072824,72,0.42566353290959,0.42566353290959
"Gemma","Update negative","Update",18,-3.15659716394213,7.6227134525456,72,0.0354961340996532,0.0354961340996532
"Gemma","Update negative","Update",19,-8.30917391180992,8.965446391218,72,-0.518577084375673,-0.518577084375673
"Gemma","Update negative","Update",20,-2.52949758701854,9.62504607312923,72,0.102930176888894,0.102930176888894
"Gemma","Update negative","Update",21,-1.49875964389907,15.0770027214714,72,0.21376875678684,0.21376875678684
"Gemma","Update negative","Update",22,-2.94049535857307,21.8122518385425,72,0.0587342591540179,0.0587342591540179
"Gemma","Update negative","Update",23,1.99959713551733,33.1234054710058,72,0.589958359580886,0.589958359580886
"Gemma","Update negative","Update",24,-0.218129177888234,50.197315188577,72,0.351479086724926,0.351479086724926
"Gemma","Update negative","Update",25,-0.517419016195668,1.20572813016611,72,0.31929548382438,0.31929548382438
