model,control,random_seed,closure_n,strict_conflict_to_clean,closure_crossing_rate,nonclosure_n,nonclosure_top1_changes,nonclosure_change_rate,specificity_count,specificity_rate,closure_mean_margin_shift
qwen,random_direction_022,2026081324,87,2,0.02298850574712643,203,0,0,2,0.02298850574712643,7.033113326149425
qwen,random_direction_023,2026081325,87,1,0.01149425287356321,203,0,0,1,0.01149425287356321,6.660561397157866
qwen,random_direction_024,2026081326,87,2,0.02298850574712643,203,0,0,2,0.02298850574712643,6.468547952586207
qwen,random_direction_025,2026081327,87,0,0,203,0,0,0,0,4.135265131106322
qwen,random_direction_026,2026081328,87,1,0.01149425287356321,203,0,0,1,0.01149425287356321,3.5701329022988504
qwen,random_direction_027,2026081329,87,5,0.05747126436781609,203,0,0,5,0.05747126436781609,5.412176724137931
qwen,random_direction_028,2026081330,87,0,0,203,0,0,0,0,5.539152298850575
qwen,random_direction_029,2026081331,87,5,0.05747126436781609,203,0,0,5,0.05747126436781609,7.044832076149425
qwen,random_direction_030,2026081332,87,6,0.06896551724137931,203,0,0,6,0.06896551724137931,3.472942483836207
qwen,random_direction_031,2026081333,87,7,0.08045977011494253,203,0,0,7,0.08045977011494253,6.272404813218391
qwen,random_direction_032,2026081334,87,1,0.01149425287356321,203,0,0,1,0.01149425287356321,6.945228488965967
qwen,random_direction_033,2026081335,87,4,0.04597701149425287,203,0,0,4,0.04597701149425287,5.425915948275862
qwen,random_direction_034,2026081336,87,4,0.04597701149425287,203,0,0,4,0.04597701149425287,6.941136853448276
qwen,random_direction_035,2026081337,87,0,0,203,0,0,0,0,-2.4141073994252875
qwen,random_direction_036,2026081338,87,6,0.06896551724137931,203,0,0,6,0.06896551724137931,4.30310198904454
qwen,random_direction_037,2026081339,87,0,0,203,0,0,0,0,6.2271461925287355
qwen,random_direction_038,2026081340,87,0,0,203,0,0,0,0,5.1087015086206895
qwen,random_direction_039,2026081341,87,23,0.26436781609195403,203,0,0,23,0.26436781609195403,6.847521551724138
qwen,random_direction_040,2026081342,87,9,0.10344827586206896,203,0,0,9,0.10344827586206896,6.29925466954023
qwen,random_direction_041,2026081343,87,27,0.3103448275862069,203,0,0,27,0.3103448275862069,2.6371228448275863
qwen,random_direction_042,2026081344,87,1,0.01149425287356321,203,0,0,1,0.01149425287356321,5.4286537608881105
qwen,random_direction_043,2026081345,87,7,0.08045977011494253,203,0,0,7,0.08045977011494253,4.140310704022989
qwen,random_direction_044,2026081346,87,10,0.11494252873563218,203,0,0,10,0.11494252873563218,5.7095680675287355
qwen,random_direction_045,2026081347,87,19,0.21839080459770116,203,0,0,19,0.21839080459770116,6.375448994252873
qwen,random_direction_046,2026081348,87,41,0.47126436781609193,203,0,0,41,0.47126436781609193,5.374281609195402
qwen,random_direction_047,2026081349,87,8,0.09195402298850576,203,0,0,8,0.09195402298850576,7.799564756196121
qwen,random_direction_048,2026081350,87,9,0.10344827586206896,203,0,0,9,0.10344827586206896,6.365151942461386
qwen,random_direction_049,2026081351,87,1,0.01149425287356321,203,0,0,1,0.01149425287356321,2.502155172413793
qwen,structured_guarded,NA,87,17,0.19540229885057472,203,0,0,17,0.19540229885057472,3.9547413793103448
llama,random_direction_000,2026082302,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,0.5113034303160919
llama,random_direction_001,2026082303,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,-0.7187484653516748
llama,random_direction_002,2026082304,87,7,0.08045977011494253,203,0,0,7,0.08045977011494253,1.4319324712643675
llama,random_direction_003,2026082305,87,1,0.01149425287356321,203,1,0.00492610837438423,0,0.00656814449917898,-1.16015625
llama,random_direction_004,2026082306,87,2,0.02298850574712643,203,1,0.00492610837438423,1,0.0180623973727422,0.6400855053430317
llama,random_direction_005,2026082307,87,2,0.02298850574712643,203,0,0,2,0.02298850574712643,-1.8477395594805135
llama,random_direction_006,2026082308,87,1,0.01149425287356321,203,2,0.00985221674876847,-1,0.00164203612479474,4.18835308908046
llama,random_direction_007,2026082309,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,-0.6719647988505747
llama,random_direction_008,2026082310,87,25,0.28735632183908044,203,0,0,25,0.28735632183908044,1.1474497126436782
llama,random_direction_009,2026082311,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,0.5371991738505747
llama,random_direction_010,2026082312,87,0,0,203,1,0.00492610837438423,-1,-0.00492610837438423,1.0378277658045978
llama,random_direction_011,2026082313,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,0.2599676724137931
llama,random_direction_012,2026082314,87,1,0.01149425287356321,203,1,0.00492610837438423,0,0.00656814449917898,-1.2302698595770474
llama,random_direction_013,2026082315,87,19,0.21839080459770116,203,0,0,19,0.21839080459770116,1.200341235632184
llama,random_direction_014,2026082316,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,0.6911649155890804
llama,random_direction_015,2026082317,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,0.927869073275862
llama,random_direction_016,2026082318,87,8,0.09195402298850576,203,2,0.00985221674876847,6,0.08210180623973727,0.04103807471264368
llama,random_direction_017,2026082319,87,8,0.09195402298850576,203,2,0.00985221674876847,6,0.08210180623973727,0.7444998204022989
llama,random_direction_018,2026082320,87,18,0.20689655172413793,203,1,0.00492610837438423,17,0.2019704433497537,0.8325700431034483
llama,random_direction_019,2026082321,87,4,0.04597701149425287,203,1,0.00492610837438423,3,0.04105090311986863,-2.5341235632183907
llama,random_direction_020,2026082322,87,0,0,203,2,0.00985221674876847,-2,-0.00985221674876847,1.138604525862069
llama,random_direction_021,2026082323,87,1,0.01149425287356321,203,0,0,1,0.01149425287356321,0.4848920449443247
llama,random_direction_022,2026082324,87,7,0.08045977011494253,203,1,0.00492610837438423,6,0.0755336617405583,-0.512347341954023
llama,random_direction_023,2026082325,87,12,0.13793103448275862,203,2,0.00985221674876847,10,0.12807881773399016,0.7546470905172413
