model,shuffle_id,macro_f1
llama,136,0.2755852842809365
llama,137,0.37287397140907713
llama,138,0.2500626230094829
llama,139,0.2500626230094829
llama,140,0.38958018185071325
llama,141,0.18160022121374778
llama,142,0.18160022121374778
llama,143,0.1931944241122985
llama,144,0.37311927650091903
llama,145,0.2500626230094829
llama,146,0.38958018185071325
llama,147,0.16629921000928916
llama,148,0.19339728887683214
llama,149,0.27811773125782785
llama,150,0.2500626230094829
llama,151,0.27811773125782785
llama,152,0.3802477660772563
llama,153,0.37287397140907713
llama,154,0.19339728887683214
llama,155,0.38958018185071325
llama,156,0.18160022121374778
llama,157,0.16629921000928916
llama,158,0.18160022121374778
llama,159,0.25648639095086606
llama,160,0.18160022121374778
llama,161,0.19625603864734298
llama,162,0.2500626230094829
llama,163,0.25648639095086606
llama,164,0.1931944241122985
llama,165,0.2500626230094829
llama,166,0.1931944241122985
llama,167,0.18160022121374778
llama,168,0.37311927650091903
llama,169,0.19339728887683214
llama,170,0.3440065681444992
llama,171,0.18160022121374778
llama,172,0.4056763285024155
llama,173,0.38958018185071325
llama,174,0.18160022121374778
llama,175,0.2500626230094829
llama,176,0.3802477660772563
llama,177,0.2762106751502298
llama,178,0.2762106751502298
llama,179,0.18160022121374778
llama,180,0.18160022121374778
llama,181,0.2500626230094829
llama,182,0.28007246376811595
llama,183,0.1931944241122985
llama,184,0.27811773125782785
llama,185,0.18160022121374778
llama,186,0.2500626230094829
llama,187,0.19625603864734298
llama,188,0.18160022121374778
llama,189,0.27833165303760127
llama,190,0.2500626230094829
llama,191,0.3658615136876006
llama,192,0.27811773125782785
llama,193,0.2500626230094829
llama,194,0.23606482013561658
llama,195,0.2500626230094829
llama,196,0.18160022121374778
llama,197,0.18160022121374778
llama,198,0.3792369204480222
llama,199,0.37287397140907713
gemma,0,0.22627314814814814
gemma,1,0.3376366572064671
gemma,2,0.20931758530183728
gemma,3,0.3376366572064671
gemma,4,0.1898148148148148
gemma,5,0.2695038759689922
gemma,6,0.334318690783807
gemma,7,0.24125665254697512
gemma,8,0.3236520241171404
gemma,9,0.22150387596899224
gemma,10,0.24031869078380705
gemma,11,0.3236520241171404
gemma,12,0.2695038759689922
gemma,13,0.20833333333333334
gemma,14,0.20362224394482462
gemma,15,0.30562846310877806
gemma,16,0.22627314814814814
gemma,17,0.20931758530183728
gemma,18,0.23729227761485827
gemma,19,0.334318690783807
gemma,20,0.20931758530183728
gemma,21,0.2695038759689922
gemma,22,0.20931758530183728
gemma,23,0.20298535745047372
gemma,24,0.25656167979002625
gemma,25,0.24031869078380705
gemma,26,0.24125665254697512
gemma,27,0.32232655190401666
gemma,28,0.25656167979002625
gemma,29,0.24031869078380705
gemma,30,0.30562846310877806
gemma,31,0.32002314814814814
gemma,32,0.24031869078380705
gemma,33,0.32996632996632996
gemma,34,0.2695038759689922
gemma,35,0.20705922938494478
gemma,36,0.20833333333333334
gemma,37,0.30562846310877806
gemma,38,0.24031869078380705
gemma,39,0.20705922938494478
gemma,40,0.24031869078380705
gemma,41,0.22150387596899224
gemma,42,0.2394179894179894
gemma,43,0.334318690783807
gemma,44,0.22150387596899224
gemma,45,0.3386243386243386
gemma,46,0.1898148148148148
gemma,47,0.334318690783807
gemma,48,0.22150387596899224
gemma,49,0.20298535745047372
gemma,50,0.24031869078380705
gemma,51,0.30562846310877806
gemma,52,0.3376366572064671
gemma,53,0.20298535745047372
gemma,54,0.2695038759689922
gemma,55,0.22229512977544474
gemma,56,0.24031869078380705
gemma,57,0.2552083333333333
gemma,58,0.30562846310877806
gemma,59,0.20705922938494478
gemma,60,0.22229512977544474
gemma,61,0.3236520241171404
gemma,62,0.1898148148148148
gemma,63,0.2854767392232181
gemma,64,0.20298535745047372
gemma,65,0.20298535745047372
gemma,66,0.22150387596899224
gemma,67,0.20298535745047372
gemma,68,0.1898148148148148
gemma,69,0.20931758530183728
gemma,70,0.3376366572064671
gemma,71,0.20931758530183728
gemma,72,0.30562846310877806
gemma,73,0.20298535745047372
gemma,74,0.20238095238095236
gemma,75,0.20705922938494478
gemma,76,0.20931758530183728
gemma,77,0.22627314814814814
gemma,78,0.3386243386243386
gemma,79,0.20931758530183728
gemma,80,0.20298535745047372
gemma,81,0.30960648148148145
gemma,82,0.22229512977544474
gemma,83,0.20931758530183728
gemma,84,0.334318690783807
gemma,85,0.24031869078380705
gemma,86,0.2695038759689922
gemma,87,0.20705922938494478
gemma,88,0.3376366572064671
gemma,89,0.30562846310877806
gemma,90,0.22229512977544474
gemma,91,0.3376366572064671
gemma,92,0.22150387596899224
gemma,93,0.20931758530183728
gemma,94,0.20298535745047372
gemma,95,0.2695038759689922
gemma,96,0.20298535745047372
gemma,97,0.20705922938494478
gemma,98,0.20362224394482462
gemma,99,0.20705922938494478
gemma,100,0.2552083333333333
gemma,101,0.334318690783807
gemma,102,0.24031869078380705
gemma,103,0.20931758530183728
gemma,104,0.3236520241171404
gemma,105,0.22229512977544474
gemma,106,0.20931758530183728
gemma,107,0.334318690783807
gemma,108,0.20705922938494478
gemma,109,0.20298535745047372
gemma,110,0.20705922938494478
gemma,111,0.22150387596899224
gemma,112,0.3236520241171404
gemma,113,0.30960648148148145
gemma,114,0.1898148148148148
gemma,115,0.334318690783807
