task,model,horizon,null_index,balanced_accuracy
lexical_category,qwen,0.25,158,0.582716049382716
lexical_category,qwen,0.25,159,0.5765432098765433
lexical_category,qwen,0.25,160,0.4691358024691358
lexical_category,qwen,0.25,161,0.5629629629629629
lexical_category,qwen,0.25,162,0.5657407407407407
lexical_category,qwen,0.25,163,0.5364197530864198
lexical_category,qwen,0.25,164,0.5314814814814814
lexical_category,qwen,0.25,165,0.5231481481481481
lexical_category,qwen,0.25,166,0.5200617283950617
lexical_category,qwen,0.25,167,0.5364197530864198
lexical_category,qwen,0.25,168,0.558641975308642
lexical_category,qwen,0.25,169,0.5382716049382716
lexical_category,qwen,0.25,170,0.5419753086419754
lexical_category,qwen,0.25,171,0.6009259259259259
lexical_category,qwen,0.25,172,0.5203703703703704
lexical_category,qwen,0.25,173,0.537037037037037
lexical_category,qwen,0.25,174,0.5469135802469136
lexical_category,qwen,0.25,175,0.5447530864197531
lexical_category,qwen,0.25,176,0.5046296296296297
lexical_category,qwen,0.25,177,0.5006172839506173
lexical_category,qwen,0.25,178,0.5416666666666667
lexical_category,qwen,0.25,179,0.5317901234567901
lexical_category,qwen,0.25,180,0.553395061728395
lexical_category,qwen,0.25,181,0.5506172839506173
lexical_category,qwen,0.25,182,0.5237654320987655
lexical_category,qwen,0.25,183,0.5641975308641975
lexical_category,qwen,0.25,184,0.5552469135802469
lexical_category,qwen,0.25,185,0.5675925925925926
lexical_category,qwen,0.25,186,0.5179012345679013
lexical_category,qwen,0.25,187,0.5351851851851852
lexical_category,qwen,0.25,188,0.5287037037037037
lexical_category,qwen,0.25,189,0.5280864197530863
lexical_category,qwen,0.25,190,0.5314814814814814
lexical_category,qwen,0.25,191,0.5484567901234568
lexical_category,qwen,0.25,192,0.5564814814814815
lexical_category,qwen,0.25,193,0.6018518518518519
lexical_category,qwen,0.25,194,0.5867283950617284
lexical_category,qwen,0.25,195,0.5737654320987654
lexical_category,qwen,0.25,196,0.5074074074074074
lexical_category,qwen,0.25,197,0.5404320987654321
lexical_category,qwen,0.25,198,0.5626543209876543
lexical_category,qwen,0.5,0,0.5160493827160494
lexical_category,qwen,0.5,1,0.5515432098765433
lexical_category,qwen,0.5,2,0.5104938271604939
lexical_category,qwen,0.5,3,0.46512345679012346
lexical_category,qwen,0.5,4,0.45123456790123456
lexical_category,qwen,0.5,5,0.5006172839506173
lexical_category,qwen,0.5,6,0.4922839506172839
lexical_category,qwen,0.5,7,0.4771604938271605
lexical_category,qwen,0.5,8,0.5108024691358025
lexical_category,qwen,0.5,9,0.48364197530864195
lexical_category,qwen,0.5,10,0.5395061728395062
lexical_category,qwen,0.5,11,0.5234567901234568
lexical_category,qwen,0.5,12,0.5243827160493827
lexical_category,qwen,0.5,13,0.5706790123456791
lexical_category,qwen,0.5,14,0.5425925925925926
lexical_category,qwen,0.5,15,0.5691358024691358
lexical_category,qwen,0.5,16,0.5
lexical_category,qwen,0.5,17,0.4922839506172839
lexical_category,qwen,0.5,18,0.6037037037037036
lexical_category,qwen,0.5,19,0.5777777777777777
lexical_category,qwen,0.5,20,0.5472222222222223
lexical_category,qwen,0.5,21,0.5203703703703704
lexical_category,qwen,0.5,22,0.519753086419753
lexical_category,qwen,0.5,23,0.5037037037037038
lexical_category,qwen,0.5,24,0.4851851851851852
lexical_category,qwen,0.5,25,0.5595679012345679
lexical_category,qwen,0.5,26,0.5151234567901235
lexical_category,qwen,0.5,27,0.513888888888889
lexical_category,qwen,0.5,28,0.549074074074074
lexical_category,qwen,0.5,29,0.578395061728395
lexical_category,qwen,0.5,30,0.5583333333333333
lexical_category,qwen,0.5,31,0.5055555555555555
lexical_category,qwen,0.5,32,0.5259259259259259
lexical_category,qwen,0.5,33,0.4469135802469136
lexical_category,qwen,0.5,34,0.49691358024691357
lexical_category,qwen,0.5,35,0.5561728395061729
lexical_category,qwen,0.5,36,0.5876543209876544
lexical_category,qwen,0.5,37,0.537037037037037
lexical_category,qwen,0.5,38,0.5290123456790123
lexical_category,qwen,0.5,39,0.4962962962962963
lexical_category,qwen,0.5,40,0.4756172839506173
lexical_category,qwen,0.5,41,0.4765432098765432
lexical_category,qwen,0.5,42,0.46172839506172836
lexical_category,qwen,0.5,43,0.4876543209876544
lexical_category,qwen,0.5,44,0.4947530864197531
lexical_category,qwen,0.5,45,0.5308641975308642
lexical_category,qwen,0.5,46,0.44969135802469135
lexical_category,qwen,0.5,47,0.4993827160493827
lexical_category,qwen,0.5,48,0.48703703703703705
lexical_category,qwen,0.5,49,0.4682098765432099
lexical_category,qwen,0.5,50,0.5172839506172839
lexical_category,qwen,0.5,51,0.5234567901234568
lexical_category,qwen,0.5,52,0.5274691358024691
lexical_category,qwen,0.5,53,0.5959876543209877
lexical_category,qwen,0.5,54,0.4848765432098766
