task,model,horizon,contrast,balanced_accuracy_difference,p,order_null_mean,order_null_q95,q
arithmetic_addition,gemma,0.25,ordered_vs_unordered_prefix,0.15066369274290067,0.002369976300236998,,,0.007109928900710993
arithmetic_addition,gemma,0.25,ordered_vs_order_shuffle,0.16871786852880444,0.005,0.5415693689861558,0.5639212272875639,0.01
arithmetic_addition,gemma,0.5,ordered_vs_current_margin,0.17370253508867373,0.0012399876001239988,,,0.003188539543175997
arithmetic_addition,gemma,0.5,ordered_vs_current_hidden,0.11212055271461213,0.017399826001739983,,,0.04474240971875996
arithmetic_addition,gemma,0.5,ordered_vs_unordered_prefix,0.20724077902295723,0.00032999670003299966,,,0.001979980200197998
arithmetic_addition,gemma,0.5,ordered_vs_order_shuffle,0.19852977760087576,0.005,0.5194280071885923,0.5552714612120553,0.01
arithmetic_addition,gemma,0.75,ordered_vs_current_margin,0.22513872266347518,2.999970000299997e-05,,,0.0005399946000539995
arithmetic_addition,gemma,0.75,ordered_vs_current_hidden,0.18417473615493415,4.999950000499995e-05,,,0.0008999910000899991
arithmetic_addition,gemma,0.75,ordered_vs_unordered_prefix,0.11875748014361877,0.0004599954000459995,,,0.0020699793002069977
arithmetic_addition,gemma,0.75,ordered_vs_order_shuffle,0.14003799325208344,0.005,0.7189544994037755,0.7424654553367425,0.01
