task,model,horizon,cutoff_layers,feature_model,balanced_accuracy,roc_auc
arithmetic_addition,qwen,0.75,21,current_margin,0.6353991146651435,0.6827930886762816
arithmetic_addition,qwen,0.75,21,current_hidden,0.7572611737826647,0.8305012137655291
arithmetic_addition,qwen,0.75,21,unordered_prefix,0.7208482079108953,0.8006283021562187
arithmetic_addition,qwen,0.75,21,ordered_prefix,0.7999000428387834,0.8869056118806227
arithmetic_addition,llama,0.25,4,prompt_only,0.576155610721805,0.6446280991735536
arithmetic_addition,llama,0.25,4,current_margin,0.614351255381328,0.7059673820821418
arithmetic_addition,llama,0.25,4,current_hidden,0.47079156584860005,0.5095371272350186
arithmetic_addition,llama,0.25,4,unordered_prefix,0.6759262168871571,0.7364484806586431
arithmetic_addition,llama,0.25,4,ordered_prefix,0.6346824623699839,0.7323633849731327
arithmetic_addition,llama,0.5,8,prompt_only,0.576155610721805,0.6446280991735536
arithmetic_addition,llama,0.5,8,current_margin,0.693036483046853,0.7608333595198441
arithmetic_addition,llama,0.5,8,current_hidden,0.5422021808126198,0.5692737956823681
arithmetic_addition,llama,0.5,8,unordered_prefix,0.7000597052446343,0.7529459824655124
arithmetic_addition,llama,0.5,8,ordered_prefix,0.7873393457562141,0.8682085284228388
arithmetic_addition,llama,0.75,12,prompt_only,0.576155610721805,0.6446280991735536
arithmetic_addition,llama,0.75,12,current_margin,0.6162523960657387,0.6754862835056406
arithmetic_addition,llama,0.75,12,current_hidden,0.5628633378374132,0.5794865348961443
arithmetic_addition,llama,0.75,12,unordered_prefix,0.6550136693586399,0.7182226691386733
arithmetic_addition,llama,0.75,12,ordered_prefix,0.7885805863683499,0.8755617006567576
arithmetic_addition,gemma,0.25,6,prompt_only,0.5836688064410837,0.6236671744097486
arithmetic_addition,gemma,0.25,6,current_margin,0.5678925035360678,0.6158470242628657
arithmetic_addition,gemma,0.25,6,current_hidden,0.5423512131432924,0.5661516701120661
arithmetic_addition,gemma,0.25,6,unordered_prefix,0.5596235447720597,0.5764878685670766
arithmetic_addition,gemma,0.25,6,ordered_prefix,0.7102872375149603,0.7383581764769883
arithmetic_addition,gemma,0.5,13,prompt_only,0.5836688064410837,0.6236671744097486
arithmetic_addition,gemma,0.5,13,current_margin,0.5442552497007942,0.557039495158307
arithmetic_addition,gemma,0.5,13,current_hidden,0.6058372320748558,0.643999564791644
arithmetic_addition,gemma,0.5,13,unordered_prefix,0.5107170057665107,0.5563594821020563
arithmetic_addition,gemma,0.5,13,ordered_prefix,0.717957784789468,0.7991513437057992
arithmetic_addition,gemma,0.75,19,prompt_only,0.5836688064410837,0.6236671744097486
arithmetic_addition,gemma,0.75,19,current_margin,0.6338537699923839,0.6390762702643891
arithmetic_addition,gemma,0.75,19,current_hidden,0.6748177565009248,0.7320204547927319
arithmetic_addition,gemma,0.75,19,unordered_prefix,0.7402350125122402,0.8324991839843325
arithmetic_addition,gemma,0.75,19,ordered_prefix,0.858992492655859,0.9502774453269502
