task,representation,null_index,future_alignment,leave_one_out_alignment
relation_graph,cached_mixed_raw,83,0.0030599876772612333,0.006105853710323572
relation_graph,cached_mixed_raw,84,0.0037888996303081512,0.007046401035040617
relation_graph,cached_mixed_raw,85,0.004136127885431051,0.007574419490993023
relation_graph,cached_mixed_raw,86,0.004164007026702166,0.0075949206948280334
relation_graph,cached_mixed_raw,87,0.0028735368978232145,0.005747219081968069
relation_graph,cached_mixed_raw,88,0.0030436371453106403,0.005899198818951845
relation_graph,cached_mixed_raw,89,0.0037751980125904083,0.00704328715801239
relation_graph,cached_mixed_raw,90,0.004260450601577759,0.007685703691095114
relation_graph,cached_mixed_raw,91,0.004008062183856964,0.007323237601667643
relation_graph,cached_mixed_raw,92,0.003763631684705615,0.006930999923497438
relation_graph,cached_mixed_raw,93,0.003903256030753255,0.007211440242826939
relation_graph,cached_mixed_raw,94,0.003590984735637903,0.006764785386621952
relation_graph,cached_mixed_raw,95,0.0034201284870505333,0.00654485821723938
relation_graph,cached_mixed_raw,96,0.003329351544380188,0.006370919290930033
relation_graph,cached_mixed_raw,97,0.0034777603577822447,0.006487052422016859
relation_graph,cached_mixed_raw,98,0.0034931781701743603,0.00658882362768054
relation_graph,cached_mixed_raw,99,0.0035695675760507584,0.006647117901593447
relation_graph,cached_mixed_raw,100,0.003939777612686157,0.007318202871829271
relation_graph,cached_mixed_raw,101,0.0031412846874445677,0.006119396537542343
relation_graph,cached_mixed_raw,102,0.003695302875712514,0.006918833591043949
relation_graph,cached_mixed_raw,103,0.0032455790787935257,0.006241035647690296
relation_graph,cached_mixed_raw,104,0.003319507697597146,0.006334069650620222
relation_graph,cached_mixed_raw,105,0.004666340071707964,0.008213418535888195
relation_graph,cached_mixed_raw,106,0.0031233469489961863,0.0060289581306278706
relation_graph,cached_mixed_raw,107,0.0032997895032167435,0.006353343836963177
relation_graph,cached_mixed_raw,108,0.004641912877559662,0.008144916966557503
relation_graph,cached_mixed_raw,109,0.003539144294336438,0.006624412722885609
relation_graph,cached_mixed_raw,110,0.003740716725587845,0.006940414197742939
relation_graph,cached_mixed_raw,111,0.0037541971541941166,0.006950834300369024
relation_graph,cached_mixed_raw,112,0.004225081764161587,0.007606399245560169
relation_graph,cached_mixed_raw,113,0.004067696165293455,0.0074958810582757
relation_graph,cached_mixed_raw,114,0.004217916168272495,0.007622913923114538
relation_graph,cached_mixed_raw,115,0.0035279160365462303,0.006660384591668844
relation_graph,cached_mixed_raw,116,0.003756318474188447,0.0069768852554261684
relation_graph,cached_mixed_raw,117,0.004286947660148144,0.007773843128234148
relation_graph,cached_mixed_raw,118,0.0038086213171482086,0.006981425452977419
relation_graph,cached_mixed_raw,119,0.0031262263655662537,0.006051464471966028
relation_graph,cached_mixed_raw,120,0.003804168663918972,0.006984043400734663
relation_graph,cached_mixed_raw,121,0.004322625230997801,0.007805951405316591
relation_graph,cached_mixed_raw,122,0.0037242486141622066,0.006910454016178846
relation_graph,cached_mixed_raw,123,0.0038029244169592857,0.0070456210523843765
relation_graph,cached_mixed_raw,124,0.0038342271000146866,0.00708647770807147
relation_graph,cached_mixed_raw,125,0.003106570802628994,0.005972661077976227
relation_graph,cached_mixed_raw,126,0.003926371689885855,0.007219482213258743
relation_graph,cached_mixed_raw,127,0.0038186844903975725,0.007037556264549494
relation_graph,cached_mixed_raw,128,0.004126059822738171,0.007464115042239428
relation_graph,cached_mixed_raw,129,0.0046516722068190575,0.00812616664916277
relation_graph,cached_mixed_raw,130,0.004030884243547916,0.007334159221500158
relation_graph,cached_mixed_raw,131,0.0034602745436131954,0.006590400822460651
relation_graph,cached_mixed_raw,132,0.003490147879347205,0.006672693882137537
relation_graph,cached_mixed_raw,133,0.004203510005027056,0.007633065804839134
relation_graph,cached_mixed_raw,134,0.004517712630331516,0.008001361973583698
relation_graph,cached_mixed_raw,135,0.004011194687336683,0.0073530906811356544
relation_graph,cached_mixed_raw,136,0.0036531169898808002,0.006888396572321653
relation_graph,cached_mixed_raw,137,0.0037868807557970285,0.006932584568858147
relation_graph,cached_mixed_raw,138,0.0044726054184138775,0.00806962139904499
relation_graph,cached_mixed_raw,139,0.0035423757508397102,0.006733687128871679
relation_graph,cached_mixed_raw,140,0.004113418515771627,0.007547128479927778
relation_graph,cached_mixed_raw,141,0.003793474519625306,0.007095358334481716
relation_graph,cached_mixed_raw,142,0.0031313744839280844,0.006129235960543156
relation_graph,cached_mixed_raw,143,0.0037677250802516937,0.007011664565652609
relation_graph,cached_mixed_raw,144,0.0035300389863550663,0.006745525170117617
relation_graph,cached_mixed_raw,145,0.0034696883521974087,0.006586598232388496
relation_graph,cached_mixed_raw,146,0.0035243385937064886,0.006684406660497189
relation_graph,cached_mixed_raw,147,0.00405174819752574,0.007339410949498415
relation_graph,cached_mixed_raw,148,0.0033779432997107506,0.006468444596976042
relation_graph,cached_mixed_raw,149,0.0030990790110081434,0.006042948924005032
relation_graph,cached_mixed_raw,150,0.0037437996361404657,0.0069407992996275425
relation_graph,cached_mixed_raw,151,0.00302883074618876,0.0059454599395394325
relation_graph,cached_mixed_raw,152,0.0033463097643107176,0.0064512877725064754
relation_graph,cached_mixed_raw,153,0.003681287169456482,0.00688480818644166
relation_graph,cached_mixed_raw,154,0.003102636896073818,0.006116966716945171
relation_graph,cached_mixed_raw,155,0.003811322618275881,0.007029212545603514
relation_graph,cached_mixed_raw,156,0.0034321844577789307,0.006472863722592592
relation_graph,cached_mixed_raw,157,0.003235423471778631,0.006243457552045584
relation_graph,cached_mixed_raw,158,0.004211146384477615,0.007543634157627821
relation_graph,cached_mixed_raw,159,0.004450825974345207,0.007890858687460423
relation_graph,cached_mixed_raw,160,0.0039398386143147945,0.007130980491638184
relation_graph,cached_mixed_raw,161,0.0030158506706357002,0.00595187209546566
relation_graph,cached_mixed_raw,162,0.004083160310983658,0.007527049630880356
relation_graph,cached_mixed_raw,163,0.0032907864078879356,0.006328357849270105
relation_graph,cached_mixed_raw,164,0.003831377485767007,0.007053052075207233
relation_graph,cached_mixed_raw,165,0.004244579002261162,0.007652713917195797
relation_graph,cached_mixed_raw,166,0.0037755200173705816,0.006962507031857967
relation_graph,cached_mixed_raw,167,0.0033063709270209074,0.0062806205824017525
relation_graph,cached_mixed_raw,168,0.003688652301207185,0.00680844159796834
relation_graph,cached_mixed_raw,169,0.00405987910926342,0.007456234656274319
relation_graph,cached_mixed_raw,170,0.003194274613633752,0.006244768388569355
relation_graph,cached_mixed_raw,171,0.0034277818631380796,0.006478480529040098
relation_graph,cached_mixed_raw,172,0.0037399514112621546,0.007030750159174204
relation_graph,cached_mixed_raw,173,0.0038909628055989742,0.007256843149662018
relation_graph,cached_mixed_raw,174,0.003095617750659585,0.006094880402088165
relation_graph,cached_mixed_raw,175,0.003549647517502308,0.0067902496084570885
relation_graph,cached_mixed_raw,176,0.004522171802818775,0.008091607131063938
relation_graph,cached_mixed_raw,177,0.0033440629485994577,0.0063650053925812244
relation_graph,cached_mixed_raw,178,0.004158061929047108,0.007531928364187479
relation_graph,cached_mixed_raw,179,0.0038829755503684282,0.0070866784080863
