analysis,revision,null_index,final_accuracy,final_macro_f1,evidence_first_mean,evidence_final_mean,evidence_progress_mean,native_mean_prompt_spearman,shuffle_mean,shuffle_q95,shuffle_q99,real_minus_shuffle_mean,empirical_p_upper
final_metric_transfer,step143000,7,0.07547169811320754,0.06349206349206349,59748.42753049718,59748.42265938787,-0.00487110932575564,-0.34095538172418544,-0.07723231856301958,0.06993447106915297,0.1076489127155838,-0.26372306316116584,1.0
within_checkpoint,step0,8,0.1509433962264151,0.16560632350106033,56603.776327218264,56603.79605449177,0.019727273510229768,-0.02757619738751813,-0.007538107023527264,0.014936007388837567,0.019477503628446982,-0.020038090363990867,0.92
within_checkpoint,step143000,8,0.1509433962264151,0.1285714285714286,56603.773265155665,56603.775267861005,0.002002705319564573,0.061881514711703396,0.0421086441669632,0.07804459691252143,0.0908932576857105,0.019772870544740195,0.23
final_metric_transfer,step0,8,0.1320754716981132,0.0748299319727891,56603.77251306761,56603.774198225336,0.0016851577257613465,0.022958173901570143,0.04778088311535997,0.08435149755904474,0.09078770286317452,-0.024822709213789824,0.88
final_metric_transfer,step143000,8,0.1509433962264151,0.1285714285714286,56603.773265155665,56603.775267861005,0.002002705319564573,0.061881514711703396,0.0421086441669632,0.07804459691252143,0.0908932576857105,0.019772870544740195,0.23
within_checkpoint,step0,9,0.20754716981132076,0.1554621848739496,0.015497322157662823,0.05949340139307346,0.04399607923541064,0.04182609842987202,0.039905587075398395,0.07684391080617496,0.0885948014249901,0.0019205113544736238,0.47
within_checkpoint,step143000,9,0.24528301886792453,0.18779685787358424,0.002411885222452451,0.0028367092696428287,0.00042482404719037766,-0.032458107929806045,-0.04385056529138862,-0.012257553766987736,-0.0032616440163610342,0.011392457361582578,0.31
final_metric_transfer,step0,9,0.11320754716981132,0.05414874980092371,0.00016640900826664194,1.4536098724465124e-05,-0.00015187290954217665,0.062145401768043285,-0.0005397689788770383,0.10121388045916349,0.11638738619870695,0.06268517074692033,0.1
final_metric_transfer,step143000,9,0.24528301886792453,0.18779685787358424,0.002411885222452451,0.0028367092696428287,0.00042482404719037766,-0.032458107929806045,-0.04385056529138862,-0.012257553766987736,-0.0032616440163610342,0.011392457361582578,0.31
within_checkpoint,step0,10,0.11320754716981132,0.12436974789915967,-0.011101952598941566,-0.020481473501113987,-0.009379520904037304,-0.3446364955798919,-0.11053802305946388,0.010938118485288284,0.03050534371289067,-0.23409847252042804,1.0
within_checkpoint,step143000,10,0.11320754716981132,0.16246498599439776,-0.0007107256065642627,-0.003917634082867726,-0.0032069084741904834,-0.39028895632669214,-0.07117220496294252,0.09313893653516292,0.1597704182609842,-0.3191167513637496,1.0
final_metric_transfer,step0,10,0.16981132075471697,0.07376283846872081,0.000425283215129109,0.0030601421433435454,0.0026348589240177194,0.193165325240797,0.07466271102634739,0.14844966354400316,0.1706795091700752,0.1185026142144496,0.01
final_metric_transfer,step143000,10,0.11320754716981132,0.16246498599439776,-0.0007107256065642627,-0.003917634082867726,-0.0032069084741904834,-0.39028895632669214,-0.07117220496294252,0.09313893653516292,0.1597704182609842,-0.3191167513637496,1.0
within_checkpoint,step0,11,0.0,0.0,56603.76559872454,56603.66649278517,-0.09910593933405414,-0.47723974139068487,-0.19991443662112618,-0.056762105818709635,-0.027592030610898634,-0.2773253047695587,1.0
within_checkpoint,step143000,11,0.0,0.0,56603.77439099508,56603.76672447675,-0.007666518338059982,-0.38448344108721466,-0.03286193509178072,0.14413511017284603,0.2198654176012666,-0.35162150599543396,1.0
final_metric_transfer,step0,11,0.1509433962264151,0.07752613240418119,56603.77341698681,56603.772226672016,-0.001190314797086578,-0.10331178255706558,-0.00894550465733999,0.05962528037999733,0.08354928090777147,-0.09436627789972558,1.0
final_metric_transfer,step143000,11,0.0,0.0,56603.77439099508,56603.76672447675,-0.007666518338059982,-0.38448344108721466,-0.03286193509178072,0.14413511017284603,0.2198654176012666,-0.35162150599543396,1.0
within_checkpoint,step0,12,0.20754716981132076,0.15734989648033126,0.0014397275601612804,0.017077404240834662,0.015637676680673382,-0.04156221137353213,-0.03105071029599331,0.007758279456392663,0.012793244491357667,-0.010511501077538822,0.65
within_checkpoint,step143000,12,0.24528301886792453,0.2104050711193568,-0.0005127212489294997,0.0011078219507718906,0.0016205431997013899,0.06979812640189997,0.03929917995098098,0.08045916347803139,0.09055548225359546,0.030498946450918996,0.18
final_metric_transfer,step0,12,0.16981132075471697,0.09925788497217068,0.0014794310493162644,0.0009497605908518391,-0.0005296704584644254,-0.01965958569732155,-0.04015881202845183,-0.005502045124686632,0.009919514447816325,0.020499226331130282,0.23
final_metric_transfer,step143000,12,0.24528301886792453,0.2104050711193568,-0.0005127212489294997,0.0011078219507718906,0.0016205431997013899,0.06979812640189997,0.03929917995098098,0.08045916347803139,0.09055548225359546,0.030498946450918996,0.18
within_checkpoint,step0,13,0.18867924528301888,0.21275510204081632,-0.005407780535891657,0.03733770874456415,0.04274548928045579,-0.1772001583322338,-0.012345382842809944,0.07679113339490698,0.09385143158728057,-0.16485477548942384,1.0
within_checkpoint,step143000,13,0.1320754716981132,0.16071428571428573,-0.00014290022111838335,0.0020084878743262032,0.002151388095444586,0.008048555218366523,-0.01645828918556191,0.030993534767119656,0.044478163346087875,0.024506844403928432,0.24
final_metric_transfer,step0,13,0.18867924528301888,0.1106227106227106,-0.0006573126375649469,0.0006829257838080996,0.001340238421373047,0.13854070457844045,0.03058024498847826,0.12396094471566166,0.14379205699960415,0.10796045958996218,0.03
final_metric_transfer,step143000,13,0.1320754716981132,0.16071428571428573,-0.00014290022111838335,0.0020084878743262032,0.002151388095444586,0.008048555218366523,-0.01645828918556191,0.030993534767119656,0.044478163346087875,0.024506844403928432,0.24
within_checkpoint,step0,14,0.37735849056603776,0.3537958773252891,0.0030465992492142813,0.11778121525837112,0.11473461600915688,0.344372608523552,0.14067845628737566,0.26230373400184714,0.2919567225227602,0.20369415223617635,0.01
within_checkpoint,step143000,14,0.4339622641509434,0.35267399267399263,0.0005562051048533155,0.005376147062495834,0.004819941957642519,0.3251088534107402,0.07085367462725953,0.23580947354532253,0.25722654703786774,0.2542551787834807,0.01
final_metric_transfer,step0,14,0.11320754716981132,0.07282913165266106,-0.0006259354346073807,0.00031521787883187925,0.0009411533134392601,0.06570787702863175,0.03827695079839162,0.0832167832167832,0.10215859612086024,0.027430926230240127,0.21
final_metric_transfer,step143000,14,0.4339622641509434,0.35267399267399263,0.0005562051048533155,0.005376147062495834,0.004819941957642519,0.3251088534107402,0.07085367462725953,0.23580947354532253,0.25722654703786774,0.2542551787834807,0.01
within_checkpoint,step0,15,0.07547169811320754,0.14285714285714285,0.011715939674706898,-0.02843513217360884,-0.04015107184831573,-0.35492809077714743,-0.14138748615592528,-0.016163082200818094,0.008684523024145484,-0.21354060462122215,1.0
within_checkpoint,step143000,15,0.05660377358490566,0.09523809523809523,-0.0018600254349916813,-0.0013953735662275465,0.0004646518687641348,-0.20213748515635308,0.008152510725409524,0.1193693099353477,0.14942604565246057,-0.2102899958817626,1.0
final_metric_transfer,step0,15,0.1320754716981132,0.08775510204081634,-0.0009486191951758121,0.0011105696519569876,0.0020591888471328,0.15740862910674233,0.04040004211530799,0.14152262831508114,0.15184852882966088,0.11700858699143435,0.02
final_metric_transfer,step143000,15,0.05660377358490566,0.09523809523809523,-0.0018600254349916813,-0.0013953735662275465,0.0004646518687641348,-0.20213748515635308,0.008152510725409524,0.1193693099353477,0.14942604565246057,-0.2102899958817626,1.0
within_checkpoint,step0,16,0.1509433962264151,0.14512471655328799,0.002365729779972065,-0.025813764212663223,-0.02817949399263528,-0.22272067555086422,-0.07622737468363541,0.01500197915292253,0.02480538329594925,-0.1464933008672288,1.0
within_checkpoint,step143000,16,0.07547169811320754,0.09523809523809523,-0.0008343816083671081,-0.0021287952305464246,-0.001294413622179317,-0.2597968069666183,-0.07997910227755853,0.020609579100145128,0.0402981923736639,-0.17981770468905975,1.0
