task,representation,null_index,future_alignment,leave_one_out_alignment
relation_graph,norm_only_fixed_direction,74,0.9553730487823486,0.9595658183097839
relation_graph,norm_only_fixed_direction,75,0.95465487241745,0.9589167237281799
relation_graph,norm_only_fixed_direction,76,0.9544881582260132,0.9588377475738525
relation_graph,norm_only_fixed_direction,77,0.9550220370292664,0.959233283996582
relation_graph,norm_only_fixed_direction,78,0.9536080360412598,0.9580776691436768
relation_graph,norm_only_fixed_direction,79,0.953965425491333,0.9584617614746094
relation_graph,norm_only_fixed_direction,80,0.9546634554862976,0.9589082598686218
relation_graph,norm_only_fixed_direction,81,0.9537757039070129,0.958267331123352
relation_graph,norm_only_fixed_direction,82,0.9547656774520874,0.9590272903442383
relation_graph,norm_only_fixed_direction,83,0.9545736908912659,0.9589218497276306
relation_graph,norm_only_fixed_direction,84,0.9547539949417114,0.9591086506843567
relation_graph,norm_only_fixed_direction,85,0.9544616937637329,0.9586885571479797
relation_graph,norm_only_fixed_direction,86,0.954650342464447,0.9589306712150574
relation_graph,norm_only_fixed_direction,87,0.9540148377418518,0.9584798216819763
relation_graph,norm_only_fixed_direction,88,0.954511284828186,0.9588097929954529
relation_graph,norm_only_fixed_direction,89,0.9550915956497192,0.9592418670654297
relation_graph,norm_only_fixed_direction,90,0.9550848603248596,0.9592261910438538
relation_graph,norm_only_fixed_direction,91,0.9558517932891846,0.9599446654319763
relation_graph,norm_only_fixed_direction,92,0.9540725946426392,0.9584739208221436
relation_graph,norm_only_fixed_direction,93,0.954188883304596,0.958691418170929
relation_graph,norm_only_fixed_direction,94,0.9544957876205444,0.9587526321411133
relation_graph,norm_only_fixed_direction,95,0.9540049433708191,0.9584389925003052
relation_graph,norm_only_fixed_direction,96,0.9549375176429749,0.9591845273971558
relation_graph,norm_only_fixed_direction,97,0.9534459114074707,0.9579649567604065
relation_graph,norm_only_fixed_direction,98,0.9540935158729553,0.9585066437721252
relation_graph,norm_only_fixed_direction,99,0.9549084901809692,0.9591782689094543
relation_graph,norm_only_fixed_direction,100,0.9546189904212952,0.9589728713035583
relation_graph,norm_only_fixed_direction,101,0.9545437097549438,0.9588435292243958
relation_graph,norm_only_fixed_direction,102,0.9548751711845398,0.9590640664100647
relation_graph,norm_only_fixed_direction,103,0.95426344871521,0.9586343169212341
