model_key,proxy,proxy_raw_dim,proxy_used_dim,base_state_r2,aug_state_r2,gain_state_r2,base_state_corr,aug_state_corr,gain_state_corr,base_hshape_r2,aug_hshape_r2,gain_hshape_r2,base_hshape_corr,aug_hshape_corr,gain_hshape_corr,base_deltaU_r2,aug_deltaU_r2,gain_deltaU_r2,base_deltaU_corr,aug_deltaU_corr,gain_deltaU_corr,base_mechanism_acc,aug_mechanism_acc,gain_mechanism_acc,base_mechanism_f1,aug_mechanism_f1,gain_mechanism_f1,state_equation_gain_score,proxy_category
llama,topk_rowpermW_flow,14,24,0.3654816746711731,0.5453424453735352,0.17986077070236206,0.5041980608678424,0.7030140837126966,0.19881602284485422,0.7605953216552734,0.7874276638031006,0.02683234214782715,0.8660790644043179,0.8835792204315616,0.01750015602724364,0.7007125616073608,0.7376245260238647,0.036911964416503906,0.837156600751217,0.8588650160332377,0.02170841528202072,0.48020833333333335,0.7354166666666667,0.25520833333333337,0.4715600911081599,0.7393421939591428,0.2677821028509829,0.511387180117676,topk_psg_readback
llama,hidden_oflow_precursor,8,18,0.3654816746711731,0.47291603684425354,0.10743436217308044,0.5041980608678424,0.6300038422558737,0.12580578138803133,0.7605953216552734,0.7902274131774902,0.029632091522216797,0.8660790644043179,0.8856029496427882,0.019523885238470262,0.7007125616073608,0.7498726844787598,0.049160122871398926,0.837156600751217,0.8659968358190722,0.028840235067855158,0.48020833333333335,0.75,0.26979166666666665,0.4715600911081599,0.7358992278452963,0.2643391367371364,0.45056571330383255,hidden_flow
llama,Rshape_decision,4,14,0.3654816746711731,0.4187987446784973,0.05331707000732422,0.5041980608678424,0.5569853141106911,0.05278725324284872,0.7605953216552734,0.8480218648910522,0.08742654323577881,0.8660790644043179,0.9195066773081104,0.0534276129037925,0.7007125616073608,0.8299874663352966,0.1292749047279358,0.837156600751217,0.911326506824395,0.07416990607317797,0.48020833333333335,0.578125,0.09791666666666665,0.4715600911081599,0.5618484453569946,0.09028835424883475,0.36030687221987356,trajectory_shape
llama,randomK_flow,14,24,0.3654816746711731,0.355446994304657,-0.010034680366516113,0.5041980608678424,0.49682364595011297,-0.007374414917729388,0.7605953216552734,0.7585786581039429,-0.0020166635513305664,0.8660790644043179,0.8647382941934273,-0.0013407702108906294,0.7007125616073608,0.6984033584594727,-0.0023092031478881836,0.837156600751217,0.8357409153225104,-0.0014156854287066256,0.48020833333333335,0.5,0.019791666666666652,0.4715600911081599,0.4923759911095802,0.020815900001420307,0.006455352935685443,negative_control
gemma,hidden_decision_mean,2304,32,0.43739596009254456,0.9810529351234436,0.543656975030899,0.5582863545201957,0.9907862828849053,0.43249992836470963,0.8982473611831665,0.9352779388427734,0.037030577659606934,0.9477551508228883,0.9671646793495785,0.0194095285266902,0.9208143353462219,0.9437906742095947,0.022976338863372803,0.9596026921348015,0.9715831479310465,0.01198045579624496,0.7635416666666667,0.9958333333333333,0.23229166666666667,0.757419620769879,0.9960753874134157,0.23865576664353672,0.8423196581974155,hidden_state
gemma,hidden_precursor_mean,2304,32,0.43739596009254456,0.8854302763938904,0.4480343163013458,0.5582863545201957,0.9359612559030879,0.37767490138289217,0.8982473611831665,0.939970850944519,0.04172348976135254,0.9477551508228883,0.9695524633063011,0.021797312483412767,0.9208143353462219,0.9484158754348755,0.027601540088653564,0.9596026921348015,0.9739112024338046,0.014308510299003041,0.7635416666666667,1.0,0.23645833333333333,0.757419620769879,1.0,0.242580379230121,0.7599397253814729,hidden_state
gemma,hidden_pre_mean,2304,32,0.43739596009254456,0.8412057161331177,0.4038097560405731,0.5582863545201957,0.9087130232964281,0.3504266687762324,0.8982473611831665,0.9392992258071899,0.04105186462402344,0.9477551508228883,0.9691968596777143,0.02144170885482599,0.9208143353462219,0.9514378905296326,0.030623555183410645,0.9596026921348015,0.9754666003856209,0.015863908250819403,0.7635416666666667,1.0,0.23645833333333333,0.757419620769879,1.0,0.242580379230121,0.7180655550781282,hidden_state
gemma,directH_flow,38,32,0.43739596009254456,0.7207889556884766,0.283392995595932,0.5582863545201957,0.8192545760022786,0.2609682214820829,0.8982473611831665,0.9351035952568054,0.036856234073638916,0.9477551508228883,0.9670233648889559,0.0192682140660676,0.9208143353462219,0.9489026069641113,0.028088271617889404,0.9596026921348015,0.9741523600543818,0.014549667919580234,0.7635416666666667,0.984375,0.22083333333333333,0.757419620769879,0.9846281372497289,0.22720851647984985,0.5755460177673102,hidden_flow
gemma,hidden_oflow_pre,28,32,0.43739596009254456,0.6973165273666382,0.25992056727409363,0.5582863545201957,0.805254601070583,0.2469682465503873,0.8982473611831665,0.9268361926078796,0.028588831424713135,0.9477551508228883,0.9627418288452555,0.014986678022367195,0.9208143353462219,0.9425652623176575,0.021750926971435547,0.9596026921348015,0.9708988611951798,0.011296169060378225,0.7635416666666667,0.9895833333333334,0.2260416666666667,0.757419620769879,0.9895238485622154,0.23210422779233641,0.5423645534625787,hidden_flow
gemma,topk_realW_flow,21,31,0.43739596009254456,0.6436389088630676,0.20624294877052307,0.5582863545201957,0.7677039328292374,0.20941757830904173,0.8982473611831665,0.9228848218917847,0.024637460708618164,0.9477551508228883,0.9606500549255133,0.012894904102624949,0.9208143353462219,0.9392768740653992,0.018462538719177246,0.9596026921348015,0.9691659396224807,0.009563247487679116,0.7635416666666667,0.971875,0.20833333333333337,0.757419620769879,0.9724234511375017,0.21500383036762272,0.4643467785659412,topk_psg_readback
