prompt_id,graph_id,chord_alignment,detour_ratio,turning_curvature
ng14_competition_balanced,14,0.07632664,3.5601132,1.7287444
ng14_direct_conflict,14,0.07536931,3.5482464,1.7268031
ng14_closure_update,14,0.07580824,3.477633,1.7301222
ng14_closure_override,14,0.07636104,3.4690552,1.7255301
ng14_exception_override,14,0.07614151,3.4892387,1.7229722
ng15_clean,15,0.07935715,3.545889,1.7219583
ng15_permuted,15,0.078733146,3.5716689,1.725629
ng15_redundant,15,0.07958917,3.4904387,1.7222598
ng15_irrelevant,15,0.07960134,3.503768,1.7268125
ng15_weak_distractor,15,0.07917652,3.5048661,1.7183236
ng15_competition_balanced,15,0.07941621,3.4866126,1.727888
ng15_direct_conflict,15,0.08038287,3.4593256,1.7262872
ng15_closure_update,15,0.081832826,3.3807044,1.724929
ng15_closure_override,15,0.08072911,3.4104354,1.7215252
ng15_exception_override,15,0.08017314,3.4116628,1.7215858
ng16_clean,16,0.07862086,3.5036151,1.7230258
ng16_permuted,16,0.07676535,3.564094,1.7292955
ng16_redundant,16,0.08018719,3.4507117,1.7200879
ng16_irrelevant,16,0.07845163,3.5013058,1.7209188
ng16_weak_distractor,16,0.07914056,3.4938238,1.7180374
ng16_competition_balanced,16,0.07862813,3.4528134,1.7212619
ng16_direct_conflict,16,0.07939272,3.4344294,1.7200148
ng16_closure_update,16,0.07953344,3.36835,1.7190812
ng16_closure_override,16,0.079845764,3.3829677,1.715124
ng16_exception_override,16,0.07999367,3.3705306,1.7142844
ng17_clean,17,0.077611126,3.613822,1.7228583
ng17_permuted,17,0.0780045,3.6262605,1.7206789
ng17_redundant,17,0.079420105,3.550712,1.7206349
ng17_irrelevant,17,0.0792374,3.577752,1.7207813
ng17_weak_distractor,17,0.07869731,3.5825932,1.7171887
ng17_competition_balanced,17,0.07999786,3.5521514,1.721988
ng17_direct_conflict,17,0.080782205,3.5509105,1.7192149
ng17_closure_update,17,0.08165951,3.4703536,1.7184156
ng17_closure_override,17,0.081282295,3.4890227,1.7193763
ng17_exception_override,17,0.08233527,3.4442506,1.7149228
ng18_clean,18,0.07692625,3.5224886,1.7232432
ng18_permuted,18,0.07750686,3.5662706,1.7258769
ng18_redundant,18,0.07776015,3.4850981,1.7208678
ng18_irrelevant,18,0.077368654,3.5082147,1.7250504
ng18_weak_distractor,18,0.07879751,3.4799228,1.7164447
ng18_competition_balanced,18,0.07905483,3.404207,1.7248552
ng18_direct_conflict,18,0.078502685,3.407199,1.7207794
ng18_closure_update,18,0.0781024,3.3758545,1.7233456
ng18_closure_override,18,0.07854234,3.385062,1.7234923
ng18_exception_override,18,0.07837178,3.4180682,1.7210386
ng19_clean,19,0.081218526,3.4524834,1.7207532
ng19_permuted,19,0.081095904,3.463388,1.7238574
ng19_redundant,19,0.08275151,3.3965452,1.7216854
ng19_irrelevant,19,0.08195516,3.4189832,1.7227306
ng19_weak_distractor,19,0.08130383,3.435698,1.7183976
ng19_competition_balanced,19,0.081351705,3.4167013,1.7285101
ng19_direct_conflict,19,0.08175974,3.4103792,1.7222056
