control,target_abs_shift,nontarget_abs_shift,specificity,target_signed_shift,nontarget_signed_shift,target_hit_rate,nontarget_hit_rate,n
shuffle_both_010,0.24050878485043845,0.1481266781834546,0.09238210666698385,0.19961612354749922,-0.05678071613822665,0.5517241379310345,0.6847290640394089,290
shuffle_both_011,0.11128121014984174,0.16790736749254423,-0.05662615734270249,0.09877694766411836,-0.09958484159608193,0.5057471264367817,0.6896551724137931,290
shuffle_both_012,0.21935964589831472,0.13639900675548122,0.0829606391428335,0.18631085205352169,-0.04574609221202399,0.5517241379310345,0.7044334975369458,290
shuffle_both_013,0.20193930741014152,0.17962767246174696,0.022311634948394554,0.16891437049569755,-0.10757885113578712,0.5402298850574713,0.6748768472906403,290
shuffle_both_014,0.21714888924154743,0.1589849161470465,0.05816397309450094,0.18490752526398363,-0.07677918030270214,0.5402298850574713,0.6699507389162561,290
shuffle_both_015,0.16402780221796584,0.20786306551965,-0.04383526330168416,0.09162959456443787,-0.09080533018987168,0.4942528735632184,0.6798029556650246,290
shuffle_both_016,0.22275723893752045,0.18803649469109004,0.0347207442464304,0.18650339543819427,-0.10375196097666407,0.5632183908045977,0.6748768472906403,290
shuffle_both_017,0.15435324857632318,0.204852719061774,-0.05049947048545081,0.10399017140440557,-0.12277294655004746,0.4942528735632184,0.6600985221674877,290
shuffle_both_018,0.18615525044586467,0.2000518623243999,-0.01389661187853522,0.15633046190286504,-0.09831967465395998,0.5172413793103449,0.6847290640394089,290
shuffle_both_019,0.24156623890345125,0.15298056749287497,0.08858567141057627,0.20708401055856682,-0.08078961279885523,0.5402298850574713,0.6995073891625616,290
shuffle_both_020,0.16494704089288054,0.1913633527500289,-0.02641631185714835,0.10676709476901197,-0.11627749177475868,0.5057471264367817,0.6650246305418719,290
shuffle_both_021,0.17089048832997508,0.17236048276788496,-0.0014699944379098773,0.1370323250691096,-0.07411542329294928,0.5287356321839081,0.6896551724137931,290
shuffle_both_022,0.2579511046067052,0.15153756678985258,0.10641353781685259,0.22640971222828174,-0.07804583013057709,0.5402298850574713,0.6945812807881774,290
shuffle_both_023,0.1706912693107265,0.1868026896650568,-0.016111420354330303,0.1431336797688199,-0.09701055236931505,0.47126436781609193,0.6847290640394089,290
shuffle_both_024,0.20376182356099973,0.19363355280583716,0.010128270755162566,0.14994481959562192,-0.1220171838044533,0.5172413793103449,0.6896551724137931,290
shuffle_both_025,0.1955293882852313,0.17772565994943892,0.017803728335792385,0.1393585122864822,-0.09996775996508857,0.5172413793103449,0.6798029556650246,290
shuffle_both_026,0.23752341102594618,0.17786236977195505,0.05966104125399113,0.20043682555357614,-0.09692832383469407,0.5747126436781609,0.7044334975369458,290
shuffle_both_027,0.17979315950952726,0.1824251737060218,-0.002632014196494531,0.1515449665743729,-0.10155853805283607,0.5402298850574713,0.6847290640394089,290
shuffle_both_028,0.23173086079715313,0.15658865157019328,0.07514220922695986,0.2027336895979684,-0.0665398669507116,0.5517241379310345,0.6896551724137931,290
shuffle_both_029,0.166859597652808,0.19171220486240434,-0.02485260720959634,0.12782252280191445,-0.10092653961751262,0.5287356321839081,0.6847290640394089,290
shuffle_both_030,0.2614495874136344,0.17645077693638545,0.08499881047724894,0.2172283547363062,-0.08328351767485952,0.5517241379310345,0.6798029556650246,290
shuffle_both_031,0.16396939112194653,0.16688526374072277,-0.0029158726187762385,0.09689139232210729,-0.09707834193565576,0.4942528735632184,0.6896551724137931,290
shuffle_both_032,0.1834486505423469,0.17636653612106304,0.007082114421283869,0.12252082752770391,-0.08918883625803323,0.5057471264367817,0.6748768472906403,290
shuffle_both_033,0.1819878116935149,0.16001194638424907,0.021975865309265846,0.15054938839427356,-0.07626839873972785,0.5402298850574713,0.6847290640394089,290
shuffle_both_034,0.22620096417336627,0.14753706026547062,0.07866390390789565,0.18293840301105346,-0.07114133319537629,0.5287356321839081,0.6847290640394089,290
shuffle_both_035,0.16334862321957774,0.2106721264314769,-0.047323503211899154,0.12498934464208011,-0.11588405010295032,0.4942528735632184,0.6798029556650246,290
shuffle_both_036,0.19136366898986115,0.14506900695891217,0.04629466203094898,0.12866669105387282,-0.053793352115624055,0.5287356321839081,0.7093596059113301,290
shuffle_both_037,0.19065231273229094,0.16364724857026133,0.027005064162029607,0.17137928649611855,-0.07731310057963056,0.5402298850574713,0.6748768472906403,290
shuffle_both_038,0.28097418704252136,0.15371482870702086,0.1272593583355005,0.2283978020322734,-0.04703010615016439,0.5517241379310345,0.7192118226600985,290
shuffle_both_039,0.14460040705985036,0.18949159377901426,-0.044891186719163895,0.122204572904384,-0.09488406491103431,0.5287356321839081,0.6896551724137931,290
