model,control,eligible_n,strict_crossings,target_crossing_rate,eligible_median_margin_shift,eligible_mean_margin_shift,eligible_median_task_coordinate_shift,non_target_n,non_target_top1_changes,collateral_rate,specificity,null_id,dose_multiset_exact
gemma,address_null_010,4,0,0.0,0.140625,-0.587890625,-0.7925500869750977,80,2,0.025,-0.025,10,True
gemma,address_null_011,4,0,0.0,-0.53515625,-0.751953125,22.577123641967773,80,6,0.075,-0.075,11,True
gemma,address_null_012,4,0,0.0,0.0,0.0,0.0,80,5,0.0625,-0.0625,12,True
gemma,address_null_013,4,0,0.0,0.0,-0.1015625,0.0,80,4,0.05,-0.05,13,True
gemma,address_null_014,4,0,0.0,0.0,-0.068359375,0.0,80,1,0.0125,-0.0125,14,True
gemma,address_null_015,4,0,0.0,0.0,-0.251953125,0.0,80,2,0.025,-0.025,15,True
gemma,address_null_016,4,0,0.0,0.0,-0.080078125,0.0,80,3,0.0375,-0.0375,16,True
gemma,address_null_017,4,0,0.0,0.0,-0.13671875,0.0,80,2,0.025,-0.025,17,True
gemma,address_null_018,4,0,0.0,0.0,-0.0625,0.0,80,1,0.0125,-0.0125,18,True
gemma,address_null_019,4,0,0.0,0.0,-0.205078125,0.0,80,5,0.0625,-0.0625,19,True
gemma,address_null_020,4,0,0.0,-0.02734375,-0.13671875,-0.5507278442382812,80,3,0.0375,-0.0375,20,True
gemma,address_null_021,4,0,0.0,-0.13671875,-0.25,3.0509281158447266,80,4,0.05,-0.05,21,True
gemma,address_null_022,4,0,0.0,0.0,-0.896484375,0.0,80,6,0.075,-0.075,22,True
gemma,address_null_023,4,0,0.0,0.0,0.0,0.0,80,3,0.0375,-0.0375,23,True
gemma,address_null_024,4,0,0.0,0.00390625,0.287109375,0.0,80,5,0.0625,-0.0625,24,True
gemma,address_null_025,4,0,0.0,0.0,0.0,0.0,80,7,0.0875,-0.0875,25,True
gemma,address_null_026,4,0,0.0,-0.078125,-0.240234375,3.259846806526184,80,1,0.0125,-0.0125,26,True
gemma,address_null_027,4,1,0.25,0.0,0.2109375,0.0,80,3,0.0375,0.2125,27,True
gemma,address_null_028,4,0,0.0,0.0,0.125,0.0,80,7,0.0875,-0.0875,28,True
gemma,address_null_029,4,0,0.0,0.0,0.0,0.0,80,5,0.0625,-0.0625,29,True
gemma,address_null_030,4,0,0.0,-0.3125,-0.546875,5.8231201171875,80,3,0.0375,-0.0375,30,True
gemma,address_null_031,4,0,0.0,0.0,-0.751953125,0.0,80,5,0.0625,-0.0625,31,True
gemma,address_null_032,4,0,0.0,0.0,0.15625,0.0,80,5,0.0625,-0.0625,32,True
gemma,address_null_033,4,0,0.0,0.0,-0.251953125,0.0,80,3,0.0375,-0.0375,33,True
gemma,address_null_034,4,1,0.25,0.0,-0.322265625,0.0,80,3,0.0375,0.2125,34,True
gemma,address_null_035,4,0,0.0,0.0,-0.091796875,0.0,80,5,0.0625,-0.0625,35,True
gemma,address_null_036,4,0,0.0,0.0,-0.09375,0.0,80,4,0.05,-0.05,36,True
gemma,address_null_037,4,0,0.0,0.0,0.0,0.0,80,2,0.025,-0.025,37,True
gemma,address_null_038,4,0,0.0,0.0,-0.17578125,0.0,80,2,0.025,-0.025,38,True
gemma,address_null_039,4,0,0.0,0.0,0.0,0.0,80,2,0.025,-0.025,39,True
gemma,address_null_040,4,0,0.0,0.0,-0.13671875,0.0,80,2,0.025,-0.025,40,True
gemma,address_null_041,4,1,0.25,0.23828125,0.404296875,0.0,80,1,0.0125,0.2375,41,True
gemma,address_null_042,4,0,0.0,0.0,0.0,0.0,80,6,0.075,-0.075,42,True
gemma,address_null_043,4,0,0.0,0.0,-0.5,0.0,80,5,0.0625,-0.0625,43,True
gemma,address_null_044,4,0,0.0,0.0,0.0,0.0,80,4,0.05,-0.05,44,True
gemma,address_null_045,4,0,0.0,0.0,-0.15234375,0.0,80,2,0.025,-0.025,45,True
gemma,address_null_046,4,0,0.0,0.0,0.0,0.0,80,3,0.0375,-0.0375,46,True
gemma,address_null_047,4,0,0.0,0.0,-0.1015625,0.0,80,4,0.05,-0.05,47,True
gemma,address_null_048,4,0,0.0,0.0,0.046875,0.0,80,5,0.0625,-0.0625,48,True
gemma,address_null_049,4,0,0.0,0.0,-0.115234375,0.0,80,4,0.05,-0.05,49,True
