null_index,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
131,0.9712225504474965,0.9493208421576936,arithmetic_addition,qwen,1802
132,0.9711067111340804,0.9500770336058221,arithmetic_addition,qwen,1802
133,0.9709571051641261,0.9452133971605168,arithmetic_addition,qwen,1802
134,0.9706715257059888,0.9490085251730949,arithmetic_addition,qwen,1802
135,0.9707772757808558,0.9480680352834484,arithmetic_addition,qwen,1802
136,0.9702971485141229,0.9506493959580147,arithmetic_addition,qwen,1802
137,0.9701708307367086,0.9465697833597594,arithmetic_addition,qwen,1802
138,0.9716813973440117,0.9486330375907472,arithmetic_addition,qwen,1802
139,0.9708632684788987,0.9485619684445552,arithmetic_addition,qwen,1802
140,0.9716757949141148,0.9484593250841208,arithmetic_addition,qwen,1802
141,0.9700439037331917,0.9491566225004628,arithmetic_addition,qwen,1802
142,0.9721506048369196,0.9485039080965743,arithmetic_addition,qwen,1802
143,0.9707721206245817,0.9479233273257245,arithmetic_addition,qwen,1802
144,0.971545768885169,0.9484982294675419,arithmetic_addition,qwen,1802
145,0.9687960981942955,0.9475964955909784,arithmetic_addition,qwen,1802
146,0.9716818551523635,0.9481264932621114,arithmetic_addition,qwen,1802
147,0.9704856816266295,0.9499139689401833,arithmetic_addition,qwen,1802
148,0.9703847740558309,0.948239427735754,arithmetic_addition,qwen,1802
149,0.9713363618220592,0.9475702435180275,arithmetic_addition,qwen,1802
150,0.9706416589907647,0.9484918990668251,arithmetic_addition,qwen,1802
151,0.9704259841571676,0.9494150332880261,arithmetic_addition,qwen,1802
152,0.9705215054435139,0.9477592543950151,arithmetic_addition,qwen,1802
153,0.9711554922232754,0.9484405466753066,arithmetic_addition,qwen,1802
154,0.9711827474205069,0.9497262168357129,arithmetic_addition,qwen,1802
155,0.9714150663967958,0.9489155347796404,arithmetic_addition,qwen,1802
156,0.9713813789579109,0.949178317276077,arithmetic_addition,qwen,1802
157,0.9703212246005191,0.9491958646193631,arithmetic_addition,qwen,1802
158,0.9708737559008831,0.9497997290883444,arithmetic_addition,qwen,1802
159,0.9695344741165453,0.947509377542821,arithmetic_addition,qwen,1802
160,0.9708381735277513,0.9481806224948377,arithmetic_addition,qwen,1802
161,0.9709035399727105,0.9483119199182058,arithmetic_addition,qwen,1802
162,0.9700944285236763,0.948297174330322,arithmetic_addition,qwen,1802
163,0.9704931205365723,0.948543337205493,arithmetic_addition,qwen,1802
164,0.9707961135398728,0.9486288440507405,arithmetic_addition,qwen,1802
165,0.9712078201135605,0.9491721536067628,arithmetic_addition,qwen,1802
166,0.9700903110981157,0.9497339872453211,arithmetic_addition,qwen,1802
167,0.9697766891149407,0.949024630454824,arithmetic_addition,qwen,1802
168,0.9698811394911181,0.9479840210360637,arithmetic_addition,qwen,1802
169,0.9701978385907355,0.9471834055519367,arithmetic_addition,qwen,1802
170,0.9698748428330923,0.9476775426572506,arithmetic_addition,qwen,1802
171,0.9695754761882074,0.9473138429234157,arithmetic_addition,qwen,1802
172,0.9721638473910501,0.95023190432192,arithmetic_addition,qwen,1802
173,0.9708717887056303,0.9484237157532857,arithmetic_addition,qwen,1802
174,0.9701685347462976,0.9489190738328291,arithmetic_addition,qwen,1802
175,0.9713751225463044,0.9513195076754656,arithmetic_addition,qwen,1802
176,0.9722531681206303,0.9492470816823466,arithmetic_addition,qwen,1802
177,0.9713418486092428,0.9489092915667587,arithmetic_addition,qwen,1802
178,0.9704501082365606,0.9470751174626292,arithmetic_addition,qwen,1802
179,0.9703157973085538,0.9503163564171833,arithmetic_addition,qwen,1802
180,0.9709457041834789,0.9502674388438472,arithmetic_addition,qwen,1802
181,0.9701872151613574,0.9496607760777698,arithmetic_addition,qwen,1802
182,0.9719580442571895,0.9507979010158044,arithmetic_addition,qwen,1802
183,0.9708712492068058,0.9493973435572316,arithmetic_addition,qwen,1802
184,0.9714986430762139,0.9513869056550773,arithmetic_addition,qwen,1802
185,0.970044609109012,0.9472286331133859,arithmetic_addition,qwen,1802
186,0.970318916975791,0.9497132427741392,arithmetic_addition,qwen,1802
187,0.9721532636679178,0.9492569827655806,arithmetic_addition,qwen,1802
188,0.9695518068483845,0.9494848802039051,arithmetic_addition,qwen,1802
189,0.970797570870085,0.949726620174792,arithmetic_addition,qwen,1802
190,0.9700626946953593,0.9482982103200017,arithmetic_addition,qwen,1802
191,0.9714764889028304,0.9496818613366408,arithmetic_addition,qwen,1802
192,0.9713401975827961,0.9506631032441104,arithmetic_addition,qwen,1802
193,0.9715521482004881,0.9510713031103561,arithmetic_addition,qwen,1802
194,0.971376390755611,0.9461242944372499,arithmetic_addition,qwen,1802
195,0.9724592283088842,0.9496746790561372,arithmetic_addition,qwen,1802
196,0.9705729377513411,0.9487935867824043,arithmetic_addition,qwen,1802
197,0.9710061853112516,0.9490252850651578,arithmetic_addition,qwen,1802
198,0.971112693259342,0.9506419881359993,arithmetic_addition,qwen,1802
0,0.01204118777710608,-0.04526980423243357,arc_challenge,qwen,1802
1,-0.014557989210532453,-0.008360821034455028,arc_challenge,qwen,1802
2,0.005257826800472732,-0.030849842067847546,arc_challenge,qwen,1802
3,-0.015943816140865597,-0.0180346126768958,arc_challenge,qwen,1802
4,-0.019002301130192842,-0.029192232241593362,arc_challenge,qwen,1802
