null_type,null_index,cross_half_identity_advantage,quarter_identity_advantage,cross_half_self_cosine,lag1_cosine,lag2_cosine,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
independent_layer_donor,23,-0.04753154516220093,-0.013536371290683746,-0.20075905323028564,-0.023322442546486855,-0.02029109001159668,0.9726764513424276,0.9595551779692885,lexical_category,qwen,1801
lag1_matched_markov_donor,23,-0.04730915650725365,-0.013650759123265743,-0.20083117485046387,-0.0276015792042017,-0.020007729530334473,0.974221008399664,0.9589180587227535,lexical_category,qwen,1801
contiguous_block_donor_k4,23,-0.04891523718833923,-0.014121666550636292,-0.20464138686656952,-0.02673923410475254,-0.022206855937838554,0.9582432664833643,0.9372222998747936,lexical_category,qwen,1801
independent_layer_donor,24,-0.04725164175033569,-0.014799724332988262,-0.20072245597839355,-0.023457685485482216,-0.020299289375543594,0.9732625679438007,0.9590902356247885,lexical_category,qwen,1801
lag1_matched_markov_donor,24,-0.04838323965668678,-0.01476937998086214,-0.2020372748374939,-0.0276015792042017,-0.02021419256925583,0.9748059539709519,0.958935740028909,lexical_category,qwen,1801
contiguous_block_donor_k4,24,-0.04927820339798927,-0.01380013208836317,-0.20489656925201416,-0.02667461894452572,-0.022120704874396324,0.9588051023992819,0.9382758092127206,lexical_category,qwen,1801
independent_layer_donor,25,-0.046936195343732834,-0.013452443294227123,-0.20032483339309692,-0.023606181144714355,-0.020304998382925987,0.9735626314011795,0.9597428428498046,lexical_category,qwen,1801
lag1_matched_markov_donor,25,-0.047350164502859116,-0.013814844191074371,-0.20091743767261505,-0.0276015792042017,-0.020070688799023628,0.973260798742608,0.9584009796708455,lexical_category,qwen,1801
contiguous_block_donor_k4,25,-0.04820234701037407,-0.013399249874055386,-0.20375855267047882,-0.026772871613502502,-0.02214810810983181,0.9579911645263219,0.9362355924956386,lexical_category,qwen,1801
independent_layer_donor,26,-0.046810638159513474,-0.014502409845590591,-0.19998125731945038,-0.023270761594176292,-0.020140288397669792,0.973933186585292,0.9585725438930016,lexical_category,qwen,1801
lag1_matched_markov_donor,26,-0.04700254276394844,-0.01304923091083765,-0.2006012201309204,-0.02760157734155655,-0.020192334428429604,0.9738821834373304,0.9593225018185678,lexical_category,qwen,1801
contiguous_block_donor_k4,26,-0.049241919070482254,-0.014054258354008198,-0.20503364503383636,-0.026766909286379814,-0.022275419905781746,0.9577411591191444,0.9401645323095972,lexical_category,qwen,1801
independent_layer_donor,27,-0.048379093408584595,-0.014022484421730042,-0.2017296999692917,-0.023439571261405945,-0.02017940580844879,0.9728970694191055,0.9578535641725459,lexical_category,qwen,1801
lag1_matched_markov_donor,27,-0.04683626815676689,-0.013374683447182178,-0.2003633975982666,-0.02760157734155655,-0.020046675577759743,0.9736060857735759,0.9604762530810558,lexical_category,qwen,1801
contiguous_block_donor_k4,27,-0.04925798252224922,-0.014019730500876904,-0.20489422976970673,-0.02683969773352146,-0.022121453657746315,0.956839719528655,0.9362131010502869,lexical_category,qwen,1801
independent_layer_donor,28,-0.04697448015213013,-0.014093983918428421,-0.2003623992204666,-0.023444360122084618,-0.020432474091649055,0.9731382645295173,0.9581883358979343,lexical_category,qwen,1801
lag1_matched_markov_donor,28,-0.046667393296957016,-0.013295554555952549,-0.200177863240242,-0.02760157734155655,-0.019958438351750374,0.9738811780776719,0.9582383427811334,lexical_category,qwen,1801
contiguous_block_donor_k4,28,-0.04860954359173775,-0.014415445737540722,-0.2043779343366623,-0.026799874380230904,-0.022206826135516167,0.957217424488864,0.9378958186988543,lexical_category,qwen,1801
independent_layer_donor,29,-0.04722493886947632,-0.013973957858979702,-0.2006549835205078,-0.023329341784119606,-0.020263979211449623,0.9733901294925486,0.9587796904600578,lexical_category,qwen,1801
lag1_matched_markov_donor,29,-0.048468366265296936,-0.015299404971301556,-0.20196394622325897,-0.0276015792042017,-0.020069247111678123,0.9746270827189281,0.9586011540975611,lexical_category,qwen,1801
contiguous_block_donor_k4,29,-0.04878268763422966,-0.013778388500213623,-0.20474214851856232,-0.026777369901537895,-0.022298848256468773,0.9598580036665807,0.9376468592525449,lexical_category,qwen,1801
independent_layer_donor,30,-0.04748009517788887,-0.013937552459537983,-0.20089535415172577,-0.02349349856376648,-0.020401766523718834,0.9746003409918789,0.9585228386923557,lexical_category,qwen,1801
lag1_matched_markov_donor,30,-0.04698316752910614,-0.013567605055868626,-0.20046742260456085,-0.0276015792042017,-0.020080842077732086,0.974266304051018,0.9598583203689224,lexical_category,qwen,1801
contiguous_block_donor_k4,30,-0.04882127046585083,-0.013529707677662373,-0.20444226264953613,-0.026738161221146584,-0.022276079282164574,0.9568143288912644,0.9385691860352255,lexical_category,qwen,1801
independent_layer_donor,31,-0.04723166301846504,-0.014067407697439194,-0.20057912170886993,-0.023405641317367554,-0.02036605402827263,0.9738302971380327,0.9598219008753008,lexical_category,qwen,1801
