sample_id,graph_id,condition,phase,layer,transition,C_id,E_id,jaccard,center_cos,center_step,spread_l,spread_l1,spread_delta,R_l,R_l1,R_delta,rank_gap_l,rank_gap_l1,rank_gap_delta,center_backtrack_init,R_prev_delta,R_velocity_reversal,rank_gap_prev_delta,rank_gap_reversal,center_backtrack_prevprev,heuristic_operator,op_pc1,op_pc2,op_pc3,op_pc4,op_pc5,op_pc6,op_pc7,op_pc8,op_pc9,op_pc10,operator_cluster,weak_confidence,boundary_dist_l,boundary_dist_l1,boundary_dist_delta,correction_candidate,is_correction,unstable_reversal,reconstructive_reversal
396,49,true_compete_order_E_first,critical,10,L10_to_L11,7840,25462,0.5600624024960998,0.9398490786552428,0.060150921344757,0.8702680468559265,0.8674191236495972,-0.0028489232063293,0.5251373648643494,0.2799196243286133,-0.245217740535736,20104.0,10298.0,-9806.0,0.0185389518737792,-0.4254611134529114,0,-10392.0,0,-0.0174590945243835,Rotation,-0.1522988790017611,-0.360338538679832,0.451382366770616,-0.5211718870918902,-1.4271760899494494,-1.6231597218570233,-0.0759207622841494,0.2398852217098526,0.0304906447771988,-0.2763860424272377,1,0,0.5251373648643494,0.2799196243286133,-0.24521774053573608,0,0,0,0
396,49,true_compete_order_E_first,critical,11,L11_to_L12,7840,25462,0.6181229773462783,0.9416491389274596,0.0583508610725402,0.8674191236495972,0.8801940679550171,0.0127749443054199,0.2799196243286133,0.8685910701751709,0.5886714458465576,10298.0,34528.0,24230.0,-0.0339310765266418,-0.245217740535736,1,-9806.0,1,-0.0293660163879394,Regression,-0.2527065538110133,-0.0797292562302389,1.2070830202017977,1.6326475576313162,1.5934508648571009,-0.6305169268766174,0.2312618834606428,1.100122982508562,-1.0199555147829262,-0.0550801430154888,1,0,0.2799196243286133,0.8685910701751709,0.5886714458465576,1,1,0,0
396,49,true_compete_order_E_first,critical,12,L12_to_L13,7840,25462,0.5360983102918587,0.920194685459137,0.079805314540863,0.8801940679550171,0.8718616962432861,-0.0083323717117309,0.8685910701751709,0.2938450574874878,-0.5747460126876831,34528.0,10352.0,-24176.0,0.0034561157226562,0.5886714458465576,1,24230.0,1,-0.0221562981605529,Regression,-0.0488046069943306,0.3269805240870376,-0.679333803027358,-2.876409291347833,1.5254147960508575,-0.1093981204442139,-0.6287639087819319,0.7487035043465985,-0.1798018249178313,-0.2181184243873073,1,0,0.8685910701751709,0.2938450574874878,-0.5747460126876831,1,0,1,0
396,49,true_compete_order_E_first,critical,13,L13_to_L14,7840,25462,0.524390243902439,0.9176782965660096,0.0823217034339904,0.8718616962432861,0.8792327642440796,0.0073710680007934,0.2938450574874878,0.8727943897247314,0.5789493322372437,10352.0,36560.0,26208.0,-0.01649010181427,-0.5747460126876831,1,-24176.0,1,0.0095213651657104,Regression,-0.1512823704867511,-0.5727718373172687,1.0184171497563572,2.4217786038559974,1.4928753778315789,-1.3665956499818666,-0.0209867742639673,1.1052729374271286,-0.2169964638440095,-0.0269802181901548,1,0,0.2938450574874878,0.8727943897247314,0.5789493322372437,1,1,0,0
396,49,true_compete_order_E_first,critical,14,L14_to_L15,7840,25462,0.5625,0.870928943157196,0.1290710568428039,0.8792327642440796,0.8927448391914368,0.0135120749473571,0.8727943897247314,0.6898163557052612,-0.1829780340194702,36560.0,27518.0,-9042.0,-0.1486076712608337,0.5789493322372437,1,26208.0,1,-0.1344607472419738,Regression,1.2304314968091772,0.9552284431061788,-1.3127833208667374,-1.5916279158702984,1.874527201212817,0.2185660727188494,0.402733581868777,1.0362070239689718,-1.075450934744944,-0.2297538023207593,1,0,0.8727943897247314,0.6898163557052612,-0.18297803401947021,1,0,1,1
396,49,true_compete_order_E_first,critical,15,L15_to_L16,7840,25462,0.4858841010401188,0.8742976188659668,0.1257023811340332,0.8927448391914368,0.8880754113197327,-0.0046694278717041,0.6898163557052612,-0.3007071018218994,-0.9905234575271606,27518.0,-10958.0,-38476.0,0.0716063380241394,-0.1829780340194702,0,-9042.0,0,0.0235741138458251,Regression,0.8369431687180063,-0.6693703299126992,-0.2971348607640689,-2.618328812206306,-1.4469448667487312,-2.338254153474724,-0.1625994418519164,-0.2141752967791543,1.413411803983184,-0.2858390735272813,1,0,0.6898163557052612,0.3007071018218994,-0.3891092538833618,0,0,0,0
396,49,true_compete_order_E_first,critical,16,L16_to_L17,7840,25462,0.524390243902439,0.9166079163551332,0.0833920836448669,0.8880754113197327,0.8829466700553894,-0.0051287412643432,-0.3007071018218994,-0.6641993522644043,-0.3634922504425049,-10958.0,-26124.0,-15166.0,-0.0272656083106994,-0.9905234575271606,0,-38476.0,0,-0.0217891335487365,Rotation,1.1135515540678709,-2.052929166108439,1.5154473996084017,0.0281285984761454,-1.817925277258416,-2.539842112149386,-0.3456791661468729,-1.2783667361160096,0.79597596637244,-0.2283519603858139,1,0,0.3007071018218994,0.6641993522644043,0.3634922504425049,0,0,0,0
396,49,true_compete_order_E_first,critical,17,L17_to_L18,7840,25462,0.5267175572519084,0.8855111598968506,0.1144888401031494,0.8829466700553894,0.8932315111160278,0.0102848410606384,-0.6641993522644043,-1.017939567565918,-0.3537402153015136,-26124.0,-31253.0,-5129.0,-0.1333549618721008,-0.3634922504425049,0,-15166.0,0,-0.0612279772758483,Rotation,1.9753372737995156,-1.8930411935673648,1.1874866621286173,-0.349418151140669,-1.584729049111162,-0.6166769491716775,0.5295640622895578,-0.725668063788809,0.0923062125230508,-0.0539044275413045,1,0,0.6641993522644043,1.017939567565918,0.35374021530151367,0,0,0,0
396,49,true_compete_order_E_first,critical,18,L18_to_L19,7840,25462,0.4164305949008499,0.8567910194396973,0.1432089805603027,0.8932315111160278,0.8823214769363403,-0.0109100341796875,-1.017939567565918,-0.3795294761657715,0.6384100914001465,-31253.0,-16547.0,14706.0,0.0701071619987487,-0.3537402153015136,1,-5129.0,1,-0.0092793107032775,Regression,1.53669197626238,-2.0487389184007667,1.2943940721347718,0.9058797693729264,1.287373930619458,0.6143239462888764,-0.4968052638253724,0.875842378265088,1.2945516776141366,0.1817138774859437,1,0,1.017939567565918,0.3795294761657715,-0.6384100914001465,1,0,1,1
396,49,true_compete_order_E_first,critical,19,L19_to_L20,7840,25462,0.4492753623188406,0.8494912981987,0.1505087018013,0.8823214769363403,0.8862125873565674,0.003891110420227,-0.3795294761657715,0.0463095307350158,0.4258390069007873,-16547.0,256.0,16803.0,-0.1314308643341064,0.6384100914001465,0,14706.0,0,-0.0176619291305542,Reconstruction,1.7096678721937368,-0.4403052210096951,0.2162546565940452,0.171872887791961,-1.1890927326625251,1.610812703053696,0.6932305208999697,1.588062481089096,0.012982854675702,0.1440860009888969,1,0,0.3795294761657715,0.0463095307350158,-0.33321994543075567,0,0,0,0
