model,target,r2,corr,rmse,mae
M8_state_Ocont_bilinear,spread_l1,0.9999515180953911,0.9999760260577801,0.0003581349438213599,0.0002535784125208299
M8_state_Ocont_bilinear,rank_gap_l1,0.9999676245887213,0.9999839037628038,136.2972082782399,84.42630710478714
M9_state_plus_context,R_l1,0.8835221317128416,0.9399589742921797,0.8363998933770416,0.6053158175930846
M9_state_plus_context,boundary_dist_l1,0.8688306197494873,0.9321110541646952,0.7627770035739425,0.5409908444902958
M9_state_plus_context,spread_l1,0.8035611233159847,0.8964159871894156,0.02279662643395397,0.016872095988735854
M9_state_plus_context,rank_gap_l1,0.7608884572286494,0.8722896037200237,11713.308566344202,8124.184528995101
M10_state_Ocont_context,R_l1,0.9999926652426522,0.9999965797937971,0.006637203557576359,0.005082074796301313
M10_state_Ocont_context,boundary_dist_l1,0.9234431853565085,0.9609598713406015,0.5827379282166075,0.3947953643896916
M10_state_Ocont_context,spread_l1,0.999980475629786,0.9999905796142772,0.00022727170944552742,0.0001763449934274676
M10_state_Ocont_context,rank_gap_l1,0.9999964757821171,0.9999984213893532,44.96873685451974,35.32624582746617
D0_observed_transition_upper_bound,R_l1,0.999998510603541,0.9999993455728216,0.002990869199824659,0.0020306238819758756
D0_observed_transition_upper_bound,boundary_dist_l1,0.9999979188400574,0.9999991683576612,0.0030383240205921628,0.002009900109187012
D0_observed_transition_upper_bound,spread_l1,0.9999990227483406,0.9999996641388235,5.084638362896977e-05,3.8966932300767544e-05
D0_observed_transition_upper_bound,rank_gap_l1,0.9999995793484115,0.999999905633594,15.536048917595286,11.457225805689644
D1_all_available_diagnostic,R_l1,0.9999983434383769,0.999999262040571,0.0031542496234144837,0.0021609936595338108
D1_all_available_diagnostic,boundary_dist_l1,0.9999974989380832,0.9999989584628783,0.0033307618349119024,0.002241807163548462
D1_all_available_diagnostic,spread_l1,0.9999981009571096,0.9999992025784712,7.08800880376335e-05,5.386800915375746e-05
D1_all_available_diagnostic,rank_gap_l1,0.9999994470849668,0.9999998395205608,17.81182880857685,13.092305357048405
A0_full_RBTHO,R_l1,0.9999928454625151,0.9999966700371328,0.006555156182136748,0.005026801949391512
A0_full_RBTHO,boundary_dist_l1,0.9210712083903827,0.9597249199024973,0.5916966152868541,0.3972731934913813
A0_full_RBTHO,spread_l1,0.999981752444575,0.9999912198798951,0.00021971474701568572,0.00017283123969165785
A0_full_RBTHO,rank_gap_l1,0.9999966692289083,0.9999985182412175,43.71713640621501,34.64154412425731
Ablate_without_R,R_l1,0.9999638074744216,0.9999827640366302,0.014743537775752677,0.010505714259975412
Ablate_without_R,boundary_dist_l1,0.9210102949134367,0.9596935841442796,0.5919248928656048,0.3984506552633445
Ablate_without_R,spread_l1,0.999981557425822,0.9999911228456847,0.0002208857153465444,0.00017385027718275057
Ablate_without_R,rank_gap_l1,0.9999975210609117,0.9999991423750887,37.71483752697222,29.881301641310937
Ablate_without_B,R_l1,0.9999933269475887,0.9999969108504168,0.006330740760344821,0.004890027297603396
Ablate_without_B,boundary_dist_l1,0.7893714375957701,0.8884660405938617,0.966584863341316,0.6365271662428823
Ablate_without_B,spread_l1,0.9999817873637128,0.9999912372934486,0.00021950441956798317,0.00017289538861226707
Ablate_without_B,rank_gap_l1,0.9999966699763272,0.9999985185492452,43.712231108170016,34.64479972674811
Ablate_without_T,R_l1,0.9999656905115926,0.9999832129304393,0.01435487394010378,0.011247706378913957
Ablate_without_T,boundary_dist_l1,0.9210547551685555,0.9597164443144294,0.591758283584142,0.39757689797824747
Ablate_without_T,spread_l1,0.9997394037816713,0.9998734285988048,0.000830311238195512,0.0006536342331073595
Ablate_without_T,rank_gap_l1,0.9999743789894581,0.9999874760674687,121.24879772883547,95.86642898510435
Ablate_without_Hshape,R_l1,0.9918844479412835,0.9959347027263842,0.22077571292081802,0.1611414124946943
Ablate_without_Hshape,boundary_dist_l1,0.9135679859265226,0.9558083682524581,0.6191825018480513,0.43201888521125364
Ablate_without_Hshape,spread_l1,0.9998127984689464,0.9999069690304235,0.0007037389030692009,0.0004920916772404026
Ablate_without_Hshape,rank_gap_l1,0.9941076269730121,0.997049981472751,1838.7573840637135,1345.5261309100033
Ablate_without_Ocont,R_l1,0.8808567409729362,0.9385400701979851,0.8459155328899772,0.6096374624370057
Ablate_without_Ocont,boundary_dist_l1,0.8626544851271638,0.9287921771081986,0.7805282007953794,0.555778778875988
Ablate_without_Ocont,spread_l1,0.792333154724021,0.8901313126146755,0.023439073683213546,0.017207385113343125
Ablate_without_Ocont,rank_gap_l1,0.7600336321607712,0.8717994688704034,11734.227457700867,8123.877020648683
